Parameter,LengthScale,Relevance
Mb,5.695681650194777,0.2990517881851304
hr,7.726459761863193,0.22045074133839013
f1,8.032133901490948,0.21206117867479898
hb,16.008069232512913,0.10640282458077557
Kb,27.965974290771403,0.06090629150674939
A,31.070807739650856,0.05482006765631393
Kr,53.59987985565774,0.03177812687287563
x_r_start,172.22639515388505,0.009889911362901562
f0,367.1649377473626,0.004639069822064504
