method,target,attempt,candidate_rank,success,message,objective_value,optimization_time_s,surrogate_function_evaluations,true_simulator_calls_online,offline_dataset_calls,peak_y_pred,peak_y_std,max_abs_xr_pred,max_abs_xr_std,constraint_value_m,predicted_violation_m,predicted_mean_safety_violation_m,predicted_mean_safety_violation_mm,predicted_safety_violation_m,predicted_safety_violation_mm,tracking_cost,constraint_cost,peak_y_uncertainty_cost,max_abs_xr_uncertainty_cost,tracking_error_scaled,predicted_violation_scaled,peak_y_true,target_error_m,target_error_mm,target_error_pred_m,gp_peak_y_error_vs_true_m,gp_peak_y_error_vs_true_mm,gp_peak_y_error_signed_mm,gp_max_abs_xr_error_vs_true_mm,gp_max_abs_xr_error_signed_mm,reachability_gap_mm,residual_margin_mm,max_abs_xr_true,constraint_violation_abs_m,constraint_violation_abs_mm,feasible_abs,extra_reach_true,max_abs_xb_true,robot_limit_true,robot_limit_opt,lambda_constraint,lambda_uncertainty_peak_y,lambda_uncertainty_max_abs_xr,beta_constraint_std,Kb,Kr,Mb,hb,hr,f0,f1,A,x_r_start,Mr
GP_DE,0.55,1,1,False,Maximum number of iterations has been exceeded.,0.07782615721407521,39.72039318084717,13138,1,3000,0.5500052799640521,0.00809375157019802,0.4896278697512445,0.003356764483614759,0.4913062519930519,0.0,0.0,0.0,0.0,0.0,2.7878020391310745e-07,0.0,0.03275440724004146,0.045071471193829836,0.0005279964052085084,0.0,0.5479003998836822,0.0020996001163178235,2.0996001163178235,5.279964052085084e-06,0.0021048800803699086,2.1048800803699086,2.1048800803699086,0.39868025929135076,-0.39868025929135076,2.0996001163178235,9.973449989464145,0.49002655001053586,0.0,0.0,True,0.04790039988368222,0.18410104727823548,0.5,0.495,10.0,0.05,0.1,0.5,1000.0,3605.150894832233,20.0,0.1,0.2756190454024825,0.23640437485086707,3.181848174293105,0.09381007216897526,0.35,10.0
GP_DE,0.55,1,2,False,Maximum number of iterations has been exceeded.,0.07782738353069787,39.72039318084717,13138,1,3000,0.550008213948419,0.00809377406851513,0.489635544405827,0.003356788625499362,0.4913139387185767,0.0,0.0,0.0,0.0,0.0,6.746894862981432e-07,0.0,0.03275458933608399,0.04507211950512758,0.0008213948418989148,0.0,0.5479040241663379,0.002095975833662167,2.095975833662167,8.213948418989148e-06,0.002104189782081156,2.104189782081156,2.104189782081156,0.39956989534079,-0.39956989534079,2.095975833662167,9.964885698832193,0.4900351143011678,0.0,0.0,True,0.04790402416633788,0.1840769296120617,0.5,0.495,10.0,0.05,0.1,0.5,1000.0,3605.1508979803966,20.0,0.1,0.2756255638937014,0.2364073118931989,3.181856050959507,0.09379803534310001,0.3500290103038733,10.0
GP_DE,0.55,1,3,False,Maximum number of iterations has been exceeded.,0.07782765104705039,39.72039318084717,13138,1,3000,0.549998694444402,0.008093412186652226,0.48967820513225463,0.0033569321407637518,0.4913566712026365,0.0,0.0,0.0,0.0,0.0,1.704475419663791e-08,0.0,0.03275166041152538,0.04507597359077081,-0.0001305555598074548,0.0,0.5479252596656438,0.0020747403343562842,2.0747403343562842,1.3055555980745481e-06,0.0020734347787582097,2.0734347787582097,2.0734347787582097,0.41851770366591046,-0.41851770366591046,2.0747403343562842,9.90327716407946,0.49009672283592054,0.0,0.0,True,0.04792525966564376,0.18417728971290803,0.5,0.495,10.0,0.05,0.1,0.5,1000.0,3627.9010540825893,20.0,0.1,0.275409419513671,0.2387072768280624,3.180016546532989,0.09383374021191632,0.35002184981527346,10.0
GP_DE,0.55,1,4,False,Maximum number of iterations has been exceeded.,0.07782927155792502,39.72039318084717,13138,1,3000,0.550007190748607,0.008093807535954515,0.4908405427865539,0.0033568547136692065,0.4925189701433885,0.0,0.0,0.0,0.0,0.0,5.170686552907208e-07,0.0,0.032754860214537045,0.04507389427473268,0.0007190748606999975,0.0,0.5480663942761616,0.001933605723838494,1.933605723838494,7.190748606999975e-06,0.001940796472445494,1.940796472445494,1.940796472445494,0.2938219448332946,-0.2938219448332946,1.933605723838494,8.865635268612781,0.4911343647313872,0.0,0.0,True,0.04806639427616155,0.18402803267784001,0.5,0.495,10.0,0.05,0.1,0.5,1000.0,3602.7374606236876,20.0,0.1,0.2730689979617308,0.23639426877083164,3.194280141046314,0.09382381059635952,0.3500229941158402,10.0
GP_DE,0.55,1,5,False,Maximum number of iterations has been exceeded.,0.07782951285612649,39.72039318084717,13138,1,3000,0.5500004797485332,0.008093615991093305,0.4901526787923053,0.003356940595575803,0.4918311490900932,0.0,0.0,0.0,0.0,0.0,2.3015865503275733e-09,0.0,0.032753309905640626,0.04507620064889931,4.797485331220486e-05,0.0,0.5481498965512006,0.001850103448799434,1.850103448799434,4.797485331220486e-07,0.001850583197332556,1.850583197332556,1.850583197332556,0.26948995246517393,-0.26948995246517393,1.850103448799434,9.57783125522954,0.49042216874477046,0.0,0.0,True,0.04814989655120061,0.1839017461621078,0.5,0.495,10.0,0.05,0.1,0.5,1000.0,3613.1520763222707,20.0,0.1,0.27473098435708765,0.2461686322659989,3.1964815331022467,0.0938306107443151,0.35000775682582674,10.0
GP_DE,0.55,2,1,False,Maximum number of iterations has been exceeded.,0.07790412549491718,39.38426995277405,13152,1,3000,0.5500047954334087,0.008116121386012722,0.46102208908065795,0.0033529159830233916,0.4626985470721696,0.0,0.0,0.0,0.0,0.0,2.2996181577273232e-07,0.0,0.032935713176246544,0.04496818235685486,0.0004795433408699701,0.0,0.5478420787115958,0.0021579212884041965,2.1579212884041965,4.795433408699701e-06,0.002162716721812896,2.162716721812896,2.162716721812896,0.24951451655519374,0.24951451655519374,2.1579212884041965,39.227425435897246,0.46077257456410275,0.0,0.0,True,0.04784207871159585,0.17906253619709658,0.5,0.495,10.0,0.05,0.1,0.5,1000.0,2619.4020596750647,20.0,0.1,0.36347612929917067,0.25325619708952707,3.0710600989881054,0.09338303026380591,0.35,10.0
GP_DE,0.55,2,2,False,Maximum number of iterations has been exceeded.,0.07790442170682277,39.38426995277405,13152,1,3000,0.550001395663739,0.008116146825553207,0.4610252599588397,0.0033529271756586564,0.462701723546669,0.0,0.0,0.0,0.0,0.0,1.9478772721146933e-08,0.0,0.0329359196469687,0.04496848258108135,0.00013956637389123117,0.0,0.5478385073014269,0.002161492698573131,2.161492698573131,1.3956637389123117e-06,0.002162888362312043,2.162888362312043,2.162888362312043,0.24913311669227944,0.24913311669227944,2.161492698573131,39.22387315785259,0.4607761268421474,0.0,0.0,True,0.047838507301426914,0.17904850529450508,0.5,0.495,10.0,0.05,0.1,0.5,1000.0,2619.402060265339,20.0,0.1,0.36347454455233263,0.25325610289609984,3.0710600082011807,0.0933756629155259,0.35001194868448465,10.0
GP_DE,0.55,2,3,False,Maximum number of iterations has been exceeded.,0.07790442496257774,39.38426995277405,13152,1,3000,0.5500105328649062,0.008116792877338406,0.46092017947781644,0.0033526911669336875,0.4625965250612833,0.0,0.0,0.0,0.0,0.0,1.1094124313129552e-06,0.0,0.032941163306805736,0.044962152243340686,0.0010532864906154238,0.0,0.5476857804708644,0.002314219529135686,2.314219529135686,1.0532864906154238e-05,0.00232475239404184,2.32475239404184,2.32475239404184,0.3147814506206936,0.3147814506206936,2.314219529135686,39.39460197280425,0.46060539802719574,0.0,0.0,True,0.04768578047086436,0.17889397862368286,0.5,0.495,10.0,0.05,0.1,0.5,1000.0,2605.696115256598,20.0,0.1,0.36411369455059844,0.2488970642554593,3.0639179202404,0.09336956801629703,0.35002160893279577,10.0
GP_DE,0.55,2,4,False,Maximum number of iterations has been exceeded.,0.07790491674513383,39.38426995277405,13152,1,3000,0.5500026892919264,0.008115476569032661,0.4608443771740517,0.003353146449641147,0.46252095039887225,0.0,0.0,0.0,0.0,0.0,7.232291065250312e-08,0.0,0.03293047997125907,0.044974364450964116,0.0002689291926372128,0.0,0.5477024149288917,0.0022975850711083323,2.2975850711083323,2.6892919263721282e-06,0.0023002743630347045,2.3002743630347045,2.3002743630347045,0.2531009213934676,0.2531009213934676,2.2975850711083323,39.40872374734178,0.4605912762526582,0.0,0.0,True,0.04770241492889171,0.1790264186436348,0.5,0.495,10.0,0.05,0.1,0.5,1000.0,2627.071184774769,20.0,0.1,0.36458762499191,0.25151989285585463,3.0642353176175554,0.09341424215530718,0.3500112775701824,10.0
GP_DE,0.55,2,5,False,Maximum number of iterations has been exceeded.,0.07790529372893167,39.38426995277405,13152,1,3000,0.5499982579669924,0.008115782975575634,0.4608416965108301,0.0033530693673416608,0.462518231194501,0.0,0.0,0.0,0.0,0.0,3.034678999649546e-08,0.0,0.03293296665332165,0.04497229672882002,-0.00017420330076234336,0.0,0.5477658737589974,0.0022341262410026097,2.2341262410026097,1.7420330076234336e-06,0.0022323842079949863,2.2323842079949863,2.2323842079949863,0.2599693891690569,0.2599693891690569,2.2341262410026097,39.41827287833893,0.46058172712166107,0.0,0.0,True,0.047765873758997435,0.1790007204027809,0.5,0.495,10.0,0.05,0.1,0.5,1000.0,2622.7455892457997,20.0,0.1,0.36458922164878244,0.2530150642516733,3.0660196099600365,0.09339181796932515,0.3500384188710046,10.0
