method,n_targets,mean_error_mm,max_error_mm,feasibility_rate_percent,mean_constraint_violation_mm,max_constraint_violation_mm,mean_max_xr_m,max_max_xr_m,mean_extra_reach_m,max_extra_reach_m,mean_optimization_time_s,mean_function_evaluations
baseline,4,3.7279307221768643,7.502460450422244,50.0,13.293782617120332,47.71279329681977,0.5076905088135774,0.5477127932968198,0.11002329950303424,0.1978228533875841,7.207277774810791,13085.5
constraint_aware,4,12.008585126632692,34.66244107138428,100.0,0.0,0.0,0.4899224418232329,0.4945451910736404,0.10163663973764267,0.16533755892861568,16.112668871879578,13096.0
