Parameter,LengthScale,Relevance
f1,4.713656993994743,0.38749732699853406
hr,6.765865212601183,0.26996244059947605
Mb,12.543445348019828,0.14561625094888728
Kr,16.641168851328047,0.10975968706760296
A,41.02494542467532,0.04452241110020596
Kb,86.93760813256185,0.021009658820792827
hb,132.3238663696964,0.013803477299082332
x_r_start,304.3091042316517,0.006002217679857794
f0,999.9999999999998,0.0018265294855609087
