Parameter,LengthScale,Relevance
f1,4.096023980432764,0.39425441773062775
hr,5.589795672872545,0.2888970624191595
Mb,11.813975433338655,0.13669196779088277
Kr,15.912351361418288,0.1014856643582983
A,37.24095020689373,0.04336289864905959
Kb,87.82002274636051,0.018388466535476187
x_r_start,203.81679233736887,0.00792317223177164
hb,218.774107793353,0.007381474735308107
f0,999.9999999999998,0.0016148755494162078
