dataset,samples,peak_y_mean_m,peak_y_max_m,feasible_abs_samples,feasible_abs_extra_reach,feasible_abs_high_outreach,max_feasible_abs_peak_y_m,max_feasible_abs_extra_reach_m,violation_abs_rate_percent
uniform,2000,0.5107827637965242,0.8101891497190006,1129,240,5,0.646218834544577,0.1462188345445769,43.55
targeted_augmented,1000,0.6734205094734407,1.0447164511311025,355,355,264,0.8369152144358788,0.3369152144358788,64.5
augmented,3000,0.5649953456888297,1.0447164511311025,1484,595,269,0.8369152144358788,0.3369152144358788,50.53333333333333
