Kr,hr,f0,f1,A,x_r_start,u_Kr,u_hr,u_f0,u_f1,u_A,u_x_r_start,peak_y_true,target_error_m,target_error_mm,reachability_gap_m,reachability_gap_mm,max_abs_xr_true,constraint_violation_abs_m,constraint_violation_abs_mm,residual_margin_m,residual_margin_mm,feasible_abs,tracking_cost,constraint_cost,J_true,run_label,method,target,iteration,phase,kernel,acquisition,seed,total_budget,initial_points,simulation_time_s,gp_fit_time_s,acquisition_time_s,iteration_time_s,acquisition_score,candidate_pool_size,candidate_pool_global,candidate_pool_local,best_J_so_far,best_feasible_error_so_far_mm,best_feasible_margin_so_far_mm,is_current_best_J
4159.796679732415,0.3089298301861576,0.13984419855956987,2.7460004893137446,0.10204042409111592,0.36837091711990766,0.7599419084949757,0.5969423719604504,0.11384056731305672,0.5820001631045815,0.40134746970386415,0.3674183423981534,0.5838669925895876,0.06613300741041239,66.13300741041239,0.06613300741041239,66.13300741041239,0.500366576632892,0.0003665766328919684,0.3665766328919684,-0.0003665766328919684,-0.3665766328919684,False,43.7357466914566,0.05375137111296519,43.789498062569564,main,BO,0.65,1,initial_lhs,matern,ei,13347,100,20,0.42410689999815077,0.0,0.0,0.42415039998013526,,0,0,0,43.789498062569564,,,True
3239.456244414998,0.2586711324048039,0.3033018596034541,2.363834023917423,0.0995108860145807,0.3700279738536001,0.49698749840428513,0.45334609258515385,0.580862456009869,0.45461134130580766,0.3170295338193571,0.40055947707200146,0.5939691875402314,0.0560308124597686,56.0308124597686,0.0560308124597686,56.0308124597686,0.5046189326042549,0.004618932604254944,4.618932604254944,-0.004618932604254944,-4.618932604254944,False,31.3945194490176,8.533815361059743,39.928334810077345,main,BO,0.65,2,initial_lhs,matern,ei,13347,100,20,0.40862679993733764,0.0,0.0,0.4086726000532508,,0,0,0,39.928334810077345,,,True
2842.0869316683284,0.21921485439506105,0.37945831635667304,3.7015369550528447,0.09042299704338294,0.3924452144220574,0.38345340904809383,0.34061386970017443,0.7984523324476374,0.9005123183509482,0.014099901446098318,0.848904288441147,0.5836648548086727,0.06633514519132733,66.33514519132733,0.06633514519132733,66.33514519132733,0.5555712738915249,0.05557127389152494,55.57127389152494,-0.05557127389152494,-55.57127389152494,False,44.00351487554477,1235.2665927707524,1279.2701076462972,main,BO,0.65,3,initial_lhs,matern,ei,13347,100,20,0.452077699941583,0.0,0.0,0.4521234000567347,,0,0,0,39.928334810077345,,,False
3641.708735568769,0.19108709783166605,0.42092535489785354,3.333292875901561,0.10155526634288917,0.397375252121318,0.6119167815910769,0.26024885094761724,0.9169295854224387,0.7777642919671871,0.38517554476297244,0.9475050424263604,0.6154345510947481,0.03456544890525193,34.56544890525193,0.03456544890525193,34.56544890525193,0.6008888527954689,0.10088885279546889,100.88885279546889,-0.10088885279546889,-100.88885279546889,False,11.947702580215816,4071.424247354316,4083.3719499345316,main,BO,0.65,4,initial_lhs,matern,ei,13347,100,20,0.47806320001836866,0.0,0.0,0.4781028999714181,,0,0,0,39.928334810077345,,,False
4581.159922758572,0.4422556741447937,0.10422576932545934,2.077946303012104,0.1162386153782202,0.3799908377612118,0.8803314065024491,0.9778733546994106,0.012073626644169532,0.359315434337368,0.8746205126073401,0.599816755224235,0.6283265293461835,0.02167347065381653,21.67347065381653,0.02167347065381653,21.67347065381653,0.5034935613993262,0.003493561399326217,3.493561399326217,-0.003493561399326217,-3.493561399326217,False,4.697393301818463,4.881988500344862,9.579381802163326,main,BO,0.65,5,initial_lhs,matern,ei,13347,100,20,0.33139279996976256,0.0,0.0,0.3314359000651166,,0,0,0,9.579381802163326,,,True
1864.446251523916,0.10878043200882853,0.38305123548563447,1.8131773952027426,0.11830500741187384,0.3889044446324002,0.10412750043540456,0.02508694859665292,0.8087178156732413,0.27105913173424756,0.9435002470624617,0.778088892648004,0.7013450557276597,0.05134505572765968,51.345055727659684,0.0,0.0,0.5696465207387384,0.06964652073873845,69.64652073873845,-0.06964652073873845,-69.64652073873845,False,26.36314747676478,1940.2551404046098,1966.6182878813747,main,BO,0.65,6,initial_lhs,matern,ei,13347,100,20,0.33003119996283203,0.0,0.0,0.3300762999569997,,0,0,0,9.579381802163326,,,False
4444.372018840557,0.4214313121059372,0.2704489386360498,1.159054820074667,0.11077314293242128,0.36258660696830464,0.8412491482401592,0.9183751774455349,0.48699696753157085,0.0530182733582224,0.6924380977473764,0.2517321393660929,0.6197551180125525,0.03024488198744757,30.24488198744757,0.03024488198744757,30.24488198744757,0.4818362914045056,0.0,0.0,0.018163708595494377,18.163708595494377,True,9.147528864346304,0.0,9.147528864346304,main,BO,0.65,7,initial_lhs,matern,ei,13347,100,20,0.3095043000066653,0.0,0.0,0.30955120001453906,,0,0,0,9.147528864346304,30.24488198744757,18.163708595494377,True
1525.9672643361046,0.1341235581748022,0.2572813865280863,2.019651940874587,0.10894986059087858,0.3593900773677109,0.007419218381744192,0.0974958804994349,0.44937539008024646,0.3398839802915291,0.6316620196959529,0.18780154735421864,0.6499751460778666,2.485392213347204e-05,0.02485392213347204,2.485392213347204e-05,0.02485392213347204,0.5730811171052129,0.07308111710521292,73.08111710521293,-0.07308111710521292,-73.08111710521293,False,6.1771744541669136e-06,2136.3398709383378,2136.339877115512,main,BO,0.65,8,initial_lhs,matern,ei,13347,100,20,0.31283529999200255,0.0,0.0,0.3128840000135824,,0,0,0,9.147528864346304,30.24488198744757,18.163708595494377,False
2603.9667708197476,0.3195627989780832,0.4139547966366638,2.8090506440856293,0.09317870829341268,0.3731529951315178,0.3154190773770708,0.6273222827945235,0.8970137046761822,0.6030168813618764,0.1059569431137561,0.4630599026303558,0.5775278928443248,0.0724721071556752,72.4721071556752,0.0724721071556752,72.4721071556752,0.49509167518841996,0.0,0.0,0.004908324811580045,4.908324811580044,True,52.52206315583668,0.0,52.52206315583668,main,BO,0.65,9,initial_lhs,matern,ei,13347,100,20,0.37324760004412383,0.0,0.0,0.37329199991654605,,0,0,0,9.147528864346304,30.24488198744757,18.163708595494377,False
2527.2043199869104,0.15923305195800475,0.22358515694453812,1.7262241770751603,0.09529003758105488,0.3770116074339938,0.29348694856768864,0.16923729130858495,0.35310044841296606,0.2420747256917201,0.1763345860351628,0.5402321486798767,0.6109630045291222,0.0390369954708778,39.0369954708778,0.0390369954708778,39.0369954708778,0.4978936630702792,0.0,0.0,0.002106336929720787,2.106336929720787,True,15.23887015393334,0.0,15.23887015393334,main,BO,0.65,10,initial_lhs,matern,ei,13347,100,20,0.34902269998565316,0.0,0.0,0.34906559996306896,,0,0,0,9.147528864346304,30.24488198744757,18.163708595494377,False
