method,run_label,target,peak_y_true,target_error_mm,reachability_gap_mm,max_abs_xr_true,constraint_violation_abs_mm,residual_margin_mm,feasible_abs,J_true,tracking_cost,constraint_cost,best_iteration,n_true_simulator_evaluations,kernel,acquisition,seed,Kr,hr,f0,f1,A,x_r_start,optimization_time_s,sensitivity_type,sensitivity_value,budget_total_evaluations
BO,main,0.65,0.6409169564416943,9.083043558305693,9.083043558305693,0.48963434947857504,0.0,10.365650521424962,True,0.8250168028207854,0.8250168028207854,0.0,34,100,matern,ei,13347,4003.197439102846,0.4496827790340565,0.4252032938377358,1.1662931873051257,0.11917698310922942,0.3608767053857931,47.65965879999567,kernel,matern,100
BO,kernel_sensitivity,0.65,0.658049403912227,8.049403912226971,0.0,0.4923405443066946,0.0,7.659455693305395,True,0.6479290334217487,0.6479290334217487,0.0,84,100,rbf,ei,15346,2945.4693430060843,0.21990969857703951,0.44893964164025635,1.0102336897447017,0.11786072859196633,0.354731806739673,61.36010110005736,kernel,rbf,100
