method,run_label,target,peak_y_true,target_error_mm,reachability_gap_mm,max_abs_xr_true,constraint_violation_abs_mm,residual_margin_mm,feasible_abs,J_true,tracking_cost,constraint_cost,best_iteration,n_true_simulator_evaluations,kernel,acquisition,seed,Kr,hr,f0,f1,A,x_r_start,optimization_time_s,sensitivity_type,sensitivity_value,budget_total_evaluations
BO,main,0.65,0.6409169564416943,9.083043558305693,9.083043558305693,0.48963434947857504,0.0,10.365650521424962,True,0.8250168028207854,0.8250168028207854,0.0,34,100,matern,ei,13347,4003.197439102846,0.4496827790340565,0.4252032938377358,1.1662931873051257,0.11917698310922942,0.3608767053857931,47.65965879999567,acquisition,ei,100
BO,acquisition_sensitivity,0.65,0.6504999845093586,0.4999845093586197,0.0,0.49173816204443416,0.0,8.261837955565843,True,0.0024998450959857967,0.0024998450959857967,0.0,94,100,matern,lcb,16346,2120.553481427708,0.35522714266916966,0.3569759926481234,1.0,0.11859104957678938,0.35190536628581565,958.5053616999649,acquisition,lcb,100
