method,run_label,target,peak_y_true,target_error_mm,reachability_gap_mm,max_abs_xr_true,constraint_violation_abs_mm,residual_margin_mm,feasible_abs,J_true,tracking_cost,constraint_cost,best_iteration,n_true_simulator_evaluations,kernel,acquisition,seed,Kr,hr,f0,f1,A,x_r_start,optimization_time_s
BO,main,0.55,0.5491693857397677,0.830614260232343,0.830614260232343,0.47003253517574795,0.0,29.967464824252055,True,0.006899200493013223,0.006899200493013223,0.0,47,100,matern,ei,13345,3813.5784397970847,0.21888168020150633,0.21773128568869704,2.3175110373601475,0.09,0.35,54.688878200016916
BO,main,0.6,0.5991206682425593,0.8793317574407045,0.8793317574407045,0.49248418047112147,0.0,7.515819528878531,True,0.007732243396437579,0.007732243396437579,0.0,13,100,matern,ei,13346,3928.9369238350614,0.2440469242376595,0.2511164433062967,2.0733078355333734,0.10301530361282897,0.3668941590669017,57.15379899996333
BO,main,0.65,0.6409169564416943,9.083043558305693,9.083043558305693,0.48963434947857504,0.0,10.365650521424962,True,0.8250168028207854,0.8250168028207854,0.0,34,100,matern,ei,13347,4003.197439102846,0.4496827790340565,0.4252032938377358,1.1662931873051257,0.11917698310922942,0.3608767053857931,47.65965879999567
BO,main,0.7,0.6376759347572813,62.3240652427186,62.3240652427186,0.4968589722735309,0.0,3.1410277264691255,True,38.842891083786455,38.842891083786455,0.0,67,100,matern,ei,13348,1889.7513687861858,0.4499037390205781,0.3151258183386814,1.267659362754192,0.11654891102625997,0.3633177980910438,53.3925749999471
BO,main,0.75,0.6674105594505431,82.58944054945694,82.58944054945694,0.49859458189914413,0.0,1.4054181008558708,True,68.21015690272282,68.21015690272282,0.0,95,100,matern,ei,13349,2273.310565331296,0.23041980330921127,0.31771900103039774,1.0,0.12,0.353215381745747,54.79048740002327
