method,run_label,target,peak_y_true,target_error_mm,reachability_gap_mm,max_abs_xr_true,constraint_violation_abs_mm,residual_margin_mm,feasible_abs,J_true,tracking_cost,constraint_cost,best_iteration,n_true_simulator_evaluations,kernel,acquisition,seed,Kr,hr,f0,f1,A,x_r_start,optimization_time_s,sensitivity_type,sensitivity_value,budget_total_evaluations
BO,budget_sweep,0.65,0.6505348576889319,0.5348576889319112,0.0,0.49641911543383854,0.0,3.5808845661614574,True,0.002860727474095851,0.002860727474095851,0.0,16,25,matern,ei,17370,4608.29517226112,0.27741693878050006,0.44990678907696335,1.0,0.11411100571617042,0.3709955796192259,26.73239340004511,budget,25,25
BO,budget_sweep,0.65,0.650221292947491,0.22129294749095862,0.0,0.4995814990600672,0.0,0.4185009399327866,True,0.0004897056860923617,0.0004897056860923617,0.0,12,50,matern,ei,17395,1500.0,0.22702637772585904,0.3861733117671766,1.0,0.10226092784700333,0.3637100476069136,26.39480720006395,budget,50,50
BO,main,0.65,0.6409169564416943,9.083043558305693,9.083043558305693,0.48963434947857504,0.0,10.365650521424962,True,0.8250168028207854,0.8250168028207854,0.0,34,100,matern,ei,13347,4003.197439102846,0.4496827790340565,0.4252032938377358,1.1662931873051257,0.11917698310922942,0.3608767053857931,47.65965879999567,budget,100,100
