case,target_y_ref,disturbance_time_s,disturbance_on_xr_m,final_y,final_error_mm,mean_abs_error_mm,max_abs_error_mm,max_abs_error_after_disturbance_mm,mean_abs_error_0p5s_after_disturbance_mm,max_abs_error_0p5s_after_disturbance_mm,recovery_time_1mm_s,recovery_time_5mm_s,u_min_used,u_max_used,n_solver_failures
nominal,0.592779,2.0,0.05,0.5927789914598145,-8.540185447714066e-06,3.7993664540696717,137.35199999999992,0.0006307091460211467,7.93748859594079e-05,0.0003327263686792037,0.0,0.0,0.455427,0.6154273111928169,0
disturbance_only,0.592779,2.0,0.05,0.5927790549281888,5.492818888619411e-05,4.447990003860546,137.35199999999992,49.99943235544679,0.0002742728943678809,0.0014298098379716961,0.18000000000000016,0.1200000000000001,0.455427,0.6199757293518822,0
disturbance_plus_noise,0.592779,2.0,0.05,0.5930505144890681,0.27151448906814757,5.157604270895605,137.35199999999992,48.968510617498296,0.7320380074621158,2.505077365486996,2.96,0.18000000000000016,0.455427,0.6200151868507137,0
