time,dxb,dxr,xb,xr,y,u,tracking_error_m,tracking_error_mm
0.0,0.0,0.0,0.0,0.455427,0.455427,0.47542709591052523,-0.13735199999999992,-137.35199999999992
0.02,-0.021825376376705508,0.1342964293166009,-0.0002382119568436888,0.4568789014217104,0.4566406894648667,0.49542718738989605,-0.13613831053513326,-136.13831053513326
0.04,-0.054145547549143636,0.34063300449869116,-0.0010353835169046328,0.4618339976761393,0.4607986141592347,0.5154273006973071,-0.13198038584076527,-131.98038584076528
0.06,-0.08765187170971578,0.5671066253773889,-0.0025042029910918254,0.4711925172933438,0.468688314302252,0.5354273080876024,-0.12409068569774795,-124.09068569774794
0.08,-0.11571400644498275,0.7759737654584873,-0.004597413459881658,0.48495482385116034,0.48035741039127866,0.5554273104773172,-0.11242158960872128,-112.42158960872129
0.1,-0.1344530801428092,0.9442567800339123,-0.007162937483929383,0.5025152344201966,0.49535229693626726,0.5754273110772484,-0.09742670306373269,-97.42670306373269
0.12,-0.14241056660942358,1.0621053429043217,-0.009996115335666031,0.5229438639124318,0.5129477485767657,0.595427311182551,-0.07983125142323422,-79.83125142323422
0.14,-0.13999066395635817,1.129875094768618,-0.01288277722870584,0.5452213558407181,0.5323385786120123,0.6154273111928119,-0.060440421387987664,-60.44042138798766
0.16,-0.12882676928905368,1.1547459241224067,-0.015630182876258863,0.5684093680354905,0.5527791851592316,0.6101275586270186,-0.03999981484076831,-39.99981484076831
0.18,-0.08357545143121115,0.9776158996616742,-0.01778416688702046,0.5899175334060975,0.5721333665190771,0.590127558630388,-0.020645633480922854,-20.645633480922854
0.2,-0.0049343816661739925,0.590239685762262,-0.018658494169576413,0.6055588790423513,0.5869003848727748,0.5701275586302247,-0.005878615127225095,-5.878615127225095
0.22,0.08479633502554973,0.11474563174705965,-0.017815953150188555,0.6123887469295644,0.5945727937793758,0.5721064369010105,0.0017937937793758296,1.7937937793758296
0.24,0.14462475601599312,-0.20683537774253669,-0.01547634981648468,0.6112363759584432,0.5957600261419584,0.5920922058575542,0.0029810261419584982,2.9810261419584982
0.26,0.1562969541002267,-0.2592863531021634,-0.012445404159626453,0.6064699223730988,0.5940245182134724,0.6024175595226373,0.0012455182134724074,1.2455182134724074
0.28,0.1453065603396283,-0.1879040973173849,-0.00942350681886425,0.6019783426587865,0.5925548358399222,0.6004436549665021,-0.00022416416007775553,-0.22416416007775553
0.3,0.13434387130356873,-0.1255233648353098,-0.006623603576748716,0.5988377068086645,0.5922141032319158,0.5939171891379359,-0.0005648967680841332,-0.5648967680841332
0.32,0.12945654017292574,-0.10848140026686126,-0.003978824458862058,0.5964725771821947,0.5924937527233326,0.5886994391585516,-0.0002852472766673442,-0.2852472766673442
0.34,0.12702130895673658,-0.11567905058485506,-0.001404748970678056,0.5941913251759383,0.5927865762052602,0.5859486801649096,7.57620526026237e-06,0.00757620526026237
0.36,0.12284637261033482,-0.1217774303945176,0.0011031825673206543,0.5917761913220108,0.5928793738893314,0.5844613252211789,0.00010037388933148428,0.10037388933148428
0.38,0.11562141615785371,-0.11793664508773594,0.003495673162309635,0.5893450758879507,0.5928407490502603,0.5831049476595908,6.174905026035127e-05,0.06174905026035127
0.4,0.1060604220869551,-0.10718389120231198,0.005718783566023711,0.5870669043833018,0.5927856879493255,0.5815784583459775,6.687949325567821e-06,0.006687949325567821
0.42,0.09520298088900181,-0.09454569867379181,0.00773656931433289,0.5850275682447691,0.592764137559102,0.5800800815693331,-1.486244089798916e-05,-0.01486244089798916
0.44,0.08362278043895532,-0.08234680580389986,0.00952907943028234,0.5832401916503805,0.5927692710806629,0.5788427553701668,-9.728919337037567e-06,-0.009728919337037567
0.46,0.07149221839404984,-0.07053300844777244,0.011083593791608275,0.5816964520193669,0.5927800458109752,0.5779510100365728,1.0458109752642386e-06,0.0010458109752642386
0.48,0.05888578217977003,-0.05844729729255471,0.012389773606674846,0.5803956385281154,0.5927854121347902,0.5773805839389257,6.412134790245716e-06,0.006412134790245716
0.5,0.04594822088341266,-0.04584500268835834,0.013439505059514922,0.5793459060218443,0.5927854110813593,0.5770849863861235,6.411081359347648e-06,0.006411081359347648
