final_y,peak_y,final_error_m,final_error_mm,mean_abs_error_m,mean_abs_error_mm,max_abs_error_m,max_abs_error_mm,u_min_used,u_max_used,n_failures,mean_abs_error_after_0p5s_mm,max_abs_error_after_0p5s_mm,overshoot_m,overshoot_mm,settling_time_1mm_s,run_id,Kb_plant,Mb_plant,hb_plant,Kr_plant,hr_plant
0.5927789204832283,0.5960294458616547,-7.951677161166515e-08,-7.951677161166515e-05,0.00367658177790688,3.67658177790688,0.13735199999999992,137.35199999999992,0.47542709591052523,0.6154273301206181,0,0.01398691821804167,0.1010576992901413,0.0032504458616547938,3.2504458616547938,0.3,0,2164.373629133578,49.08317659628078,0.22151587519468297,3688.375490211616,0.37796417077787425
0.5927789864361775,0.597606093963225,-1.3563822398587888e-08,-1.3563822398587888e-05,0.003902569148472402,3.902569148472402,0.13735199999999992,137.35199999999992,0.47542709591052523,0.6154273485042895,0,0.004103405563077852,0.02799825995636329,0.004827093963225004,4.827093963225004,0.28,1,2285.3734109820534,53.91709552985529,0.21716385831661722,3093.6993202921067,0.4239534425540395
0.5927790243075962,0.5945576068473262,2.430759626914636e-08,2.430759626914636e-05,0.00368013081633712,3.68013081633712,0.13735199999999992,137.35199999999992,0.47542709591052523,0.6154273202555859,0,0.006534479953558731,0.04001335710246412,0.001778606847326225,1.778606847326225,0.26,2,1922.4788145395487,56.40147483272903,0.2086319072048399,3819.368903464197,0.4230533373579394
0.5927791438618407,0.5939494935029349,1.4386184077341824e-07,0.00014386184077341824,0.003733362407463097,3.733362407463097,0.13735199999999992,137.35199999999992,0.47542709591052523,0.6154273438912171,0,0.0023142597096488856,0.013568180866840862,0.0011704935029349661,1.1704935029349661,0.26,3,1836.343233070866,50.81877180523752,0.17382903536625052,3824.455927030893,0.44735788774253177
0.5927790159394589,0.5937113767416061,1.5939458974933984e-08,1.5939458974933984e-05,0.0037484959980221204,3.7484959980221206,0.13735199999999992,137.35199999999992,0.47542709591052523,0.615427327806428,0,0.0016601179796994462,0.012866496364227764,0.0009323767416061779,0.9323767416061779,0.22,4,2154.852644051224,47.81788952194802,0.22824188146369417,3892.870527748881,0.46630045302515005
0.5927780743960773,0.5964787915581602,-9.256039226190893e-07,-0.0009256039226190893,0.003963727594174991,3.9637275941749914,0.13735199999999992,137.35199999999992,0.47542709591052523,0.6208573336579788,0,0.017151720243198325,0.102055430528325,0.003699791558160248,3.699791558160248,0.28,5,1816.7832247111803,49.50081505590551,0.17262822594723373,3121.044141704943,0.45399202934054084
0.5927789522499027,0.5961041629083609,-4.7750097209586784e-08,-4.7750097209586784e-05,0.003810059598994011,3.8100595989940103,0.13735199999999992,137.35199999999992,0.47542709591052523,0.6154273431779961,0,0.0018007731541023748,0.01778070799984821,0.0033251629083609346,3.3251629083609346,0.28,6,2146.85729354469,57.01264598651314,0.1895495214882891,3346.8680891516165,0.42642842081545357
0.5927787281123932,0.5965685215959493,-2.718876067620002e-07,-0.0002718876067620002,0.003952474186999924,3.952474186999924,0.13735199999999992,137.35199999999992,0.47542709591052523,0.6225699561042394,0,0.012496312974964029,0.07749101913490097,0.0037895215959493633,3.7895215959493633,0.28,7,1813.6828154505713,44.44882258003207,0.19854229557355604,3196.907057626694,0.45228329428127106
0.5927788804105992,0.5952620957714744,-1.1958940071554736e-07,-0.00011958940071554736,0.003911745997336765,3.911745997336765,0.13735199999999992,137.35199999999992,0.47542709591052523,0.6155845923578522,0,0.012534833066534766,0.09025518122307563,0.0024830957714744306,2.4830957714744306,0.28,8,1962.2911513233983,54.99017294086755,0.21201590612013496,3286.180703325373,0.4732562987605911
0.592778598703703,0.5960467816600241,-4.012962969701661e-07,-0.0004012962969701661,0.003694535668555416,3.6945356685554156,0.13735199999999992,137.35199999999992,0.47542709591052523,0.615427324367258,0,0.015551294495140741,0.10119917003637013,0.0032677816600241716,3.2677816600241716,0.3,9,2182.858614498081,48.312175685452615,0.18729968623581464,3672.8387876224056,0.38384827172808567
0.5927789961146958,0.5951615866602195,-3.885304189488181e-09,-3.885304189488181e-06,0.0038275680991653677,3.827568099165368,0.13735199999999992,137.35199999999992,0.47542709591052523,0.6178566903198784,0,0.0036396688498916184,0.025234479054336845,0.00238258666021951,2.38258666021951,0.28,10,1819.944921485065,42.610434046265084,0.21721546265012828,3654.4061652449154,0.4568474301540752
0.5927789481601734,0.5991776428502107,-5.183982654255459e-08,-5.183982654255459e-05,0.0038644314669935937,3.8644314669935937,0.13735199999999992,137.35199999999992,0.47542709591052523,0.6154273702008738,0,0.0063423922675521546,0.043073215674427345,0.006398642850210745,6.398642850210745,0.34,11,2168.4374186131804,49.383736633075095,0.20412447175717363,3105.904441698226,0.3805918643750604
0.5927790000933552,0.5943156609680896,9.335521244935308e-11,9.335521244935308e-08,0.0037487898853312664,3.748789885331267,0.13735199999999992,137.35199999999992,0.47542709591052523,0.6154273455535699,0,0.00014614191922738577,0.000968502443909891,0.001536660968089687,1.536660968089687,0.26,12,2101.0417770742824,49.56644309214698,0.20391416638887133,3759.026577372489,0.44775217244314025
0.5927787157831294,0.5981505383259484,-2.842168705941006e-07,-0.0002842168705941006,0.003954684885686689,3.954684885686689,0.13735199999999992,137.35199999999992,0.47542709591052523,0.6163030176965235,0,0.007674259986878429,0.04489824839759571,0.0053715383259484994,5.3715383259484994,0.3,13,2032.1476403947972,50.8881074111812,0.18823700588375672,2992.0584846034494,0.422188727673795
0.5927792079416201,0.5987200325872283,2.079416201450357e-07,0.0002079416201450357,0.00382406080172601,3.82406080172601,0.13735199999999992,137.35199999999992,0.47542709591052523,0.6154273152011535,0,0.009574297762828064,0.06342548368909462,0.005941032587228334,5.941032587228334,0.32,14,1828.7508036917175,48.627929655869536,0.22120418439608996,3204.2511464231775,0.37333248288316945
