epoch,train_loss,train_peak_y_loss,train_max_abs_xr_loss,val_loss,val_peak_y_loss,val_max_abs_xr_loss
1,0.9681628500261614,0.9439844931325605,0.9923412069197624,0.8941208124160767,0.7741005420684814,1.0141410827636719
2,0.8240211817526049,0.7455448796672206,0.9024974665334148,0.6767738461494446,0.4814264178276062,0.8721212148666382
3,0.5423608441506663,0.40048481187512797,0.6842368946921441,0.396524041891098,0.22867102921009064,0.5643771290779114
4,0.3321107183733294,0.23041164250143112,0.4338097923224972,0.26358628273010254,0.16759204864501953,0.35958054661750793
5,0.25289491804376724,0.18916599404427312,0.316623832429609,0.22352339327335358,0.14901232719421387,0.2980344593524933
6,0.21980540190012224,0.17031677067279816,0.2692940326467637,0.1970495581626892,0.13819049298763275,0.2559086084365845
7,0.2007991404783341,0.16241766440291558,0.23918062063955492,0.18117864429950714,0.12846854329109192,0.23388871550559998
8,0.18420721133870463,0.15053802848823608,0.21787638577722734,0.16687875986099243,0.11885988712310791,0.21489766240119934
9,0.16819726171032076,0.13791123032569885,0.19848330150688848,0.15412554144859314,0.11228472739458084,0.19596636295318604
10,0.155757267148264,0.12962358492997386,0.1818909433580214,0.14627639949321747,0.10676515102386475,0.1857876479625702
11,0.1465301234875956,0.1229517892483742,0.1701084584478409,0.13437725603580475,0.09785474836826324,0.17089977860450745
12,0.1370448628740926,0.11610659223891073,0.15798313531183428,0.1268237978219986,0.09363900870084763,0.16000857949256897
13,0.13040466294173272,0.11103054857061755,0.14977877947591967,0.11958597600460052,0.08766764402389526,0.1515042930841446
14,0.11925869603310862,0.09963863739563573,0.13887875286802168,0.11257568001747131,0.08092106133699417,0.14423030614852905
15,0.11425507837726225,0.09683417829294358,0.13167598146584727,0.1085820347070694,0.07975034415721893,0.13741372525691986
16,0.10548860603763212,0.08884542555578294,0.12213178399589754,0.10366789996623993,0.07650617510080338,0.1308296024799347
17,0.10126987243852308,0.08465269111817883,0.11788705460006191,0.09760609269142151,0.06842094659805298,0.12679123878479004
18,0.09241520769653781,0.07630018733682171,0.10853023226222684,0.09116291999816895,0.061312828212976456,0.12101301550865173
19,0.08845878055980129,0.07133435992704283,0.10558320257452226,0.08783550560474396,0.059196408838033676,0.11647459119558334
20,0.08400429304568999,0.0694463717480821,0.09856221488406582,0.08241194486618042,0.0547240786254406,0.11009980738162994
21,0.07710896468450947,0.06295722831160791,0.09126070237928821,0.07932476699352264,0.05154284089803696,0.10710669308900833
22,0.07311034442916993,0.059312069968831156,0.08690861888950871,0.07481520622968674,0.04926590994000435,0.10036450624465942
23,0.06905665152495907,0.056357556233002294,0.08175574639631857,0.0727449357509613,0.04748912528157234,0.09800075739622116
24,0.06530433484623509,0.052677309921672265,0.07793135904977398,0.0750216618180275,0.04617934674024582,0.10386396944522858
25,0.0643404156209961,0.051910890987323176,0.07676993719031734,0.06850288808345795,0.04578965902328491,0.09121612459421158
26,0.06057339810555981,0.050253762893619075,0.07089303337758587,0.06551341712474823,0.04141874611377716,0.0896080881357193
27,0.05719118685491623,0.04732558221345948,0.06705679125603169,0.06225704029202461,0.039908044040203094,0.08460605144500732
28,0.053701842444077615,0.04417245114041913,0.0632312344086747,0.05999061092734337,0.03972107172012329,0.08026014268398285
29,0.051832676354435184,0.04297446759958421,0.0606908863109927,0.057433802634477615,0.037145309150218964,0.07772229611873627
30,0.05003826896990499,0.04216073134974126,0.057915805628703486,0.05473697930574417,0.0359203964471817,0.07355356216430664
31,0.0472215760138727,0.03959978185594082,0.05484337047223122,0.0532580241560936,0.03500429168343544,0.07151175290346146
32,0.04556613163121285,0.03854642862514142,0.052585835598649516,0.05254185199737549,0.03491351380944252,0.07017020136117935
33,0.04574418927152311,0.0390692969123202,0.052419082532005924,0.05069940537214279,0.033243924379348755,0.06815489381551743
34,0.043262018251322934,0.03811898863603992,0.04840504768634996,0.04826356843113899,0.032499659806489944,0.06402747333049774
35,0.04134667562621255,0.036121109440442056,0.04657223976908192,0.04810892790555954,0.03235624358057976,0.06386160105466843
36,0.04036397877479753,0.036013371521426786,0.04471458524705902,0.04858185350894928,0.03676008805632591,0.06040361523628235
37,0.039693027193988525,0.03582600846646294,0.043560045801343455,0.04589314013719559,0.031478241086006165,0.06030804663896561
38,0.038753377093422796,0.034294933681526495,0.043211820865831065,0.0444280169904232,0.030491134151816368,0.05836489424109459
39,0.036742677611689416,0.032179904861315604,0.04130545012172191,0.04415420442819595,0.030412470921874046,0.05789594724774361
40,0.03504099570695431,0.031264430092227076,0.038817561622108185,0.04315600171685219,0.02935749664902687,0.05695449933409691
41,0.03418758259184899,0.030861336197103222,0.03751382826557083,0.042268842458724976,0.029473669826984406,0.05506401136517525
42,0.033482358520550114,0.03004404929496588,0.03692066831694495,0.04160550981760025,0.029024457558989525,0.05418655276298523
43,0.032615175771136436,0.02983071655035019,0.035399635953287927,0.04038339853286743,0.027913155034184456,0.052853647619485855
44,0.03121881117864001,0.028535844577896978,0.03390177795963903,0.039664216339588165,0.02779681235551834,0.05153161659836769
45,0.03152031505540494,0.02881095227935622,0.03422967674991777,0.03809506446123123,0.026874521747231483,0.04931561276316643
46,0.03067052412417627,0.028986831165609822,0.03235421744325469,0.038072675466537476,0.027213148772716522,0.04893220588564873
47,0.030816763579364744,0.02824065308537214,0.03339287227079753,0.037413667887449265,0.02627520076930523,0.04855213686823845
48,0.029931066197253043,0.027016291575085734,0.03284584093959101,0.03706791624426842,0.026357077062129974,0.04777876287698746
49,0.027882530083579403,0.02643187602441157,0.029333184503259196,0.03624563291668892,0.026189414784312248,0.04630185291171074
50,0.02783778021412511,0.026031660096299265,0.029643900572292266,0.036178212612867355,0.02648918144404888,0.04586724191904068
51,0.02767904715672616,0.02591797832639948,0.029440114995644938,0.03505963459610939,0.025415558367967606,0.04470371827483177
52,0.027085492357371316,0.02577106675673877,0.02839991771766255,0.03550508990883827,0.025518478825688362,0.04549170285463333
53,0.026215234320730932,0.025116972234700958,0.027313495325225014,0.035561077296733856,0.02523142099380493,0.04589074105024338
54,0.025548570549055453,0.02464331647441272,0.026453824743868842,0.03435704857110977,0.02505132555961609,0.043662767857313156
55,0.025216536265948126,0.023905537361579555,0.026527536732535207,0.03418304771184921,0.024975324049592018,0.04339076578617096
56,0.025066828415278467,0.02410282750403689,0.02603082962694668,0.034187864512205124,0.02511702850461006,0.04325869679450989
57,0.024658946500670527,0.023281220827371843,0.02603667334563309,0.03405648469924927,0.024812396615743637,0.0433005653321743
58,0.023979197706907027,0.023060211581328222,0.024898184944064386,0.032661307603120804,0.02325819618999958,0.042064420878887177
59,0.02370536020926891,0.022963994453030247,0.024446725875379577,0.032954730093479156,0.02333611249923706,0.042573343962430954
60,0.02370621065699285,0.022965002564653274,0.024447419560484348,0.032818716019392014,0.024035872891545296,0.04160156100988388
61,0.023682053801753828,0.022922551289441123,0.024441555352701295,0.03166540339589119,0.0227669607847929,0.04056384041905403
62,0.023238778084276185,0.02296231401663634,0.02351524194161738,0.03175938129425049,0.022595155984163284,0.04092361032962799
63,0.022134656567246683,0.021327094925988103,0.022942217968163953,0.031192313879728317,0.02246840111911297,0.039916228502988815
64,0.021689894188555978,0.021165578505925594,0.022214209480631734,0.030980266630649567,0.022011544555425644,0.03994898125529289
65,0.0217898967826078,0.020968297736779336,0.02261149624903356,0.030284635722637177,0.02170870639383793,0.038860563188791275
66,0.02118242607121506,0.020686406972667864,0.02167844462899431,0.030786102637648582,0.021846408024430275,0.03972579911351204
67,0.02152644503380983,0.02099594260535894,0.022056947492303386,0.030414966866374016,0.02230040915310383,0.038529518991708755
68,0.02090507424286296,0.02012654829529985,0.021683600550938036,0.030493900179862976,0.02190764807164669,0.039080146700143814
69,0.020542067415531603,0.02034694995851286,0.020737183791014455,0.03031548485159874,0.021152760833501816,0.03947820886969566
70,0.02063511041623931,0.020511338577395486,0.020758882225040468,0.029832012951374054,0.020922159776091576,0.03874186798930168
71,0.020290565887285818,0.01992031808702215,0.02066081395793346,0.029624976217746735,0.020924050360918045,0.03832590579986572
72,0.020218336293774265,0.019902203111879287,0.020534469956351865,0.029979825019836426,0.020433060824871063,0.03952658921480179
73,0.020368036904161977,0.020630701985811035,0.020105371371872963,0.03229445591568947,0.024967219680547714,0.03962169215083122
74,0.019603230930384127,0.019708981617323814,0.019497480273487106,0.028734656050801277,0.020512454211711884,0.03695685788989067
75,0.019118761133042075,0.018761659176239082,0.01947586322503705,0.02849237434566021,0.020727168768644333,0.03625758737325668
76,0.019044434110964497,0.01916548345358141,0.018923384918560906,0.028353754431009293,0.019536884501576424,0.037170618772506714
77,0.018705053405175285,0.018605072051286697,0.018805033767655972,0.028082750737667084,0.019887851551175117,0.0362776443362236
78,0.018950817836148125,0.019435326959336956,0.018466308352447326,0.027869822457432747,0.019703032448887825,0.03603660687804222
79,0.018827443041147723,0.019213622571119377,0.018441263856666702,0.027243386954069138,0.020048029720783234,0.03443874046206474
80,0.01831264337224345,0.01813793620995937,0.018487351285594124,0.02737375535070896,0.01914311572909355,0.03560439124703407
81,0.01792940479372778,0.01779680365636464,0.01806200629160289,0.028180932626128197,0.018835043534636497,0.03752681612968445
82,0.017660801449129657,0.017533817613917972,0.01778778445816809,0.027498463168740273,0.018661929294466972,0.03633499890565872
83,0.017655259268658775,0.017943787478631543,0.01736673099860068,0.0268718171864748,0.01865486614406109,0.03508877009153366
84,0.0173039328787596,0.017560333824686466,0.01704753164742743,0.025758011266589165,0.01809152588248253,0.0334245041012764
85,0.017358938802874858,0.017384798175865603,0.01733307900928682,0.026006272062659264,0.018689999356865883,0.03332255035638809
86,0.016936834120462017,0.017055123698927702,0.016818543670759085,0.0277760848402977,0.018039053305983543,0.037513118237257004
87,0.017052423899933215,0.017075123175257636,0.017029725856358004,0.02622147463262081,0.019366873428225517,0.033076073974370956
88,0.017531641488594395,0.017375927733918353,0.017687356279742335,0.026471374556422234,0.018150078132748604,0.03479267284274101
89,0.016853222353083473,0.01706487801106226,0.016641566394678047,0.025702815502882004,0.018181011080741882,0.03322461619973183
90,0.016756671090279857,0.01717906766721318,0.016334274723645178,0.025289829820394516,0.017904333770275116,0.03267532214522362
91,0.017077603497572483,0.017580836861123963,0.01657437040440498,0.025303365662693977,0.01778269372880459,0.032824043184518814
92,0.016091882882098996,0.01635763088181134,0.015826135272941282,0.024752220138907433,0.017375731840729713,0.03212870657444
93,0.016028712533654704,0.01627617796522475,0.015781247567745946,0.025332562625408173,0.01737768016755581,0.033287450671195984
