quantity,mean_mm,std_mm,min_mm,p05_mm,p50_mm,p95_mm,max_mm
peak_y_std,8.195052011680664,0.14402272681552702,8.000755578772196,8.044565430383562,8.1578688632012,8.463310331504832,9.45890831873749
max_abs_xr_std,3.472059888282158,0.1658448804888405,3.28310899985441,3.329703646364602,3.4182815395230755,3.7856713644974382,5.1668184596909335
