run_label,target,candidate_rank,source_start_id,source_start_type,objective_value,tracking_cost,constraint_cost,peak_y_pred,max_abs_xr_pred,predicted_safety_violation_mm,peak_y_true,max_abs_xr_true,target_error_m,target_error_mm,reachability_gap_mm,constraint_violation_abs_m,constraint_violation_abs_mm,feasible_abs,nn_peak_y_error_vs_true_m,nn_peak_y_error_vs_true_mm,nn_peak_y_error_signed_mm,nn_max_abs_xr_error_vs_true_mm,nn_max_abs_xr_error_signed_mm,max_xr,min_xr,max_xb,min_xb,max_abs_xb,extra_reach,u_min,u_max,n_params_near_lower_bound,n_params_near_upper_bound,n_params_near_any_bound,Kr,u_Kr,hr,u_hr,f0,u_f0,f1,u_f1,A,u_A,x_r_start,u_x_r_start
main,0.55,1,6,random,0.0,0.0,0.0,0.550000011920929,0.46471428871154785,0.0,0.5531807728879323,0.46272999241509116,0.0031807728879322816,3.1807728879322816,0.0,0.0,0.0,True,0.003180760967003371,3.180760967003371,-3.180760967003371,1.984296296456689,1.984296296456689,0.46272999241509116,0.25790446143483414,0.18022245993147235,-0.180190523781753,0.18022245993147235,0.053180772887932326,0.048491161316633224,0.9546585083007812,0,0,0,3920.0439453125,0.6914411187171936,0.43413046002388,0.9546585083007812,0.11697190999984741,0.048491161316633224,3.092287302017212,0.6974291205406189,0.0956389456987381,0.18796490132808685,0.3603171706199646,0.20634353160858154
main,0.55,2,14,random,0.0,0.0,0.0,0.550000011920929,0.4794720411300659,0.0,0.5460301756572391,0.47789214213733067,0.003969824342760941,3.9698243427609414,3.9698243427609414,0.0,0.0,True,0.003969836263689852,3.969836263689852,3.969836263689852,1.5798989927352514,1.5798989927352514,0.47789214213733067,0.22353037418061097,0.18308779728625146,-0.1809615596010158,0.18308779728625146,0.0460301756572391,0.014227218925952911,0.9095293879508972,1,0,1,3357.572509765625,0.5307350158691406,0.3144882321357727,0.6128235459327698,0.41833528876304626,0.9095293879508972,3.593149185180664,0.8643831014633179,0.09484793990850449,0.16159795224666595,0.3507113456726074,0.014227218925952911
main,0.55,3,20,random,0.0,0.0,0.0,0.550000011920929,0.460929811000824,0.0,0.5510595298643667,0.4599460527789467,0.0010595298643666373,1.0595298643666373,0.0,0.0,0.0,True,0.0010595179434377267,1.0595179434377267,-1.0595179434377267,0.9837582218772956,0.9837582218772956,0.4599460527789467,0.2607635353153106,0.17705780365434973,-0.17730856026186306,0.17730856026186306,0.05105952986436668,0.09636549651622772,0.9631702303886414,0,0,0,4618.0107421875,0.8908601999282837,0.4371095597743988,0.9631702303886414,0.22912722826004028,0.36893489956855774,2.9405899047851562,0.6468633413314819,0.09289097040891647,0.09636549651622772,0.36035454273223877,0.20709073543548584
main,0.55,4,30,random,0.0,0.0,0.0,0.550000011920929,0.46235302090644836,0.0,0.5507940882042779,0.45970795943279563,0.000794088204277843,0.794088204277843,0.0,0.0,0.0,True,0.0007940762833489323,0.7940762833489323,-0.7940762833489323,2.6450614736527323,2.6450614736527323,0.45970795943279563,0.2459944594735455,0.18798986205306933,-0.1871268300786653,0.18798986205306933,0.05079408820427789,0.05701965093612671,0.9735784530639648,0,0,0,4608.04833984375,0.8880137801170349,0.44075244665145874,0.9735784530639648,0.22997301816940308,0.3713515102863312,3.4636058807373047,0.8212019801139832,0.10016457736492157,0.3388192057609558,0.3528509736061096,0.05701965093612671
main,0.55,5,25,random,0.0,0.0,0.0,0.550000011920929,0.4591066837310791,0.0,0.5494672509598004,0.45715254796646415,0.0005327490401996204,0.5327490401996204,0.5327490401996204,0.0,0.0,True,0.0005327609611285311,0.5327609611285311,0.5327609611285311,1.9541357646149504,1.9541357646149504,0.45715254796646415,0.24415410810504187,0.18617276452636689,-0.1851525784808811,0.18617276452636689,0.049467250959800424,0.013046804815530777,0.9225863218307495,1,0,1,4212.51171875,0.7750033736228943,0.42290520668029785,0.9225863218307495,0.26086682081222534,0.45961952209472656,3.0809266567230225,0.6936421990394592,0.09763742238283157,0.25458067655563354,0.3506523370742798,0.013046804815530777
main,0.55,6,23,random,0.0,0.0,0.0,0.550000011920929,0.4773061275482178,0.0,0.5504916253598535,0.47398976600057663,0.0004916253598534759,0.4916253598534759,0.0,0.0,0.0,True,0.0004916134389245652,0.4916134389245652,-0.4916134389245652,3.3163615476411445,3.3163615476411445,0.47398976600057663,0.23081160402447662,0.17805513342446636,-0.1784730707177259,0.1784730707177259,0.05049162535985352,0.04802343621850014,0.9781458377838135,0,0,0,2331.554931640625,0.23758713901042938,0.3240719139575958,0.6402055025100708,0.43160828948020935,0.9474523067474365,3.9344375133514404,0.9781458377838135,0.09457027167081833,0.15234220027923584,0.35240116715431213,0.04802343621850014
main,0.55,7,18,random,0.0,0.0,0.0,0.550000011920929,0.45630723237991333,0.0,0.5485223017719226,0.4544487254593889,0.0014776982280774176,1.4776982280774176,1.4776982280774176,0.0,0.0,True,0.0014777101490063282,1.4777101490063282,1.4777101490063282,1.8585069205244165,1.8585069205244165,0.4544487254593889,0.24776153543702703,0.18284760554927448,-0.18421746501002537,0.18421746501002537,0.04852230177192263,0.02077900990843773,0.978538453578949,0,0,0,4006.517333984375,0.7161478400230408,0.4424884617328644,0.978538453578949,0.23914098739624023,0.3975456953048706,3.0397567749023438,0.6799189448356628,0.09702201187610626,0.2340669333934784,0.35103893280029297,0.02077900990843773
main,0.55,8,35,random,0.0,0.0,0.0,0.550000011920929,0.4667181968688965,0.0,0.5468115599806717,0.46583231710231293,0.003188440019328387,3.188440019328387,3.188440019328387,0.0,0.0,True,0.0031884519402572975,3.1884519402572975,3.1884519402572975,0.8858797665835527,0.8858797665835527,0.46583231710231293,0.2649441067348992,0.1636160636921327,-0.16072267726265035,0.1636160636921327,0.04681155998067166,0.04830856993794441,0.9900951385498047,0,2,2,2202.697509765625,0.20077070593833923,0.44653329253196716,0.9900951385498047,0.24679306149482727,0.41940876841545105,3.950957775115967,0.9836525917053223,0.09144926071166992,0.04830856993794441,0.3652498722076416,0.30499735474586487
main,0.55,9,46,random,0.0,0.0,0.0,0.550000011920929,0.48670509457588196,0.0,0.5496530018283436,0.48663272705805666,0.00034699817165639857,0.34699817165639857,0.34699817165639857,0.0,0.0,True,0.00034701009258530924,0.34701009258530924,0.34701009258530924,0.07236751782530026,0.07236751782530026,0.48663272705805666,0.2440375308760456,0.174345499119017,-0.17352026754057556,0.174345499119017,0.049653001828343646,0.02877439744770527,0.884897768497467,0,0,0,4123.6953125,0.7496272921562195,0.3192466199398041,0.6264188885688782,0.39025720953941345,0.8293063640594482,3.654693365097046,0.884897768497467,0.09086323529481888,0.02877439744770527,0.36533480882644653,0.30669596791267395
main,0.55,10,49,random,0.0,0.0,0.0,0.550000011920929,0.4513762295246124,0.0,0.5483101304062621,0.4498324897548552,0.0016898695937379582,1.6898695937379582,1.6898695937379582,0.0,0.0,True,0.0016898815146668689,1.6898815146668689,1.6898815146668689,1.5437397697572464,1.5437397697572464,0.4498324897548552,0.25619470648959947,0.1776205508938151,-0.17756676344043784,0.1776205508938151,0.048310130406262086,0.009213408455252647,0.9212481379508972,2,0,2,4234.1865234375,0.7811961770057678,0.42243683338165283,0.9212481379508972,0.10322469472885132,0.009213408455252647,2.013218879699707,0.33773958683013916,0.0904136374592781,0.013787814415991306,0.35297608375549316,0.059521615505218506
