target,peak_y_true,peak_y_pred,target_error_mm,reachability_gap_mm,nn_peak_y_error_signed_mm,nn_peak_y_error_vs_true_mm,max_abs_xr_true,max_abs_xr_pred,nn_max_abs_xr_error_signed_mm,predicted_safety_violation_mm,constraint_violation_abs_mm,feasible_abs,source_start_type,n_total_starts,predicted_feasible_start_rate_percent,predicted_good_tracking_10mm_rate_percent,close_to_best_5pct_rate_percent,surrogate_function_evaluations,optimization_time_s
0.55,0.5504010103689039,0.550000011920929,0.40101036890383135,0.0,-0.4009984479749207,0.4009984479749207,0.4682417926338108,0.4652577042579651,-2.9840883758457393,0.0,0.0,True,random,100,86.0,57.99999999999999,12.0,60100,0.6286220550537109
0.6,0.596963258267057,0.6000000238418579,3.0367417329429935,3.0367417329429935,3.036765574800926,3.036765574800926,0.4814861580501614,0.48107025027275085,-0.415907777410518,0.0,0.0,True,random,100,60.0,84.0,34.0,60100,0.7248072624206543
0.65,0.6503911012882333,0.6499089598655701,0.3911012882332754,0.0,-0.48214142266322924,0.48214142266322924,0.4983225596299289,0.4950021803379059,-3.3203792920230013,0.002175569534301758,0.0,True,random,100,11.0,44.0,2.0,60100,0.6416893005371094
0.7,0.6679897386653184,0.6655703783035278,32.010261334681545,32.010261334681545,-2.419360361790579,2.419360361790579,0.49777840849822974,0.4965234696865082,-1.254938811721562,1.5234649181365967,0.0,True,random,100,5.0,0.0,2.0,60100,0.7057023048400879
0.75,0.6705026652515305,0.6712683439254761,79.49733474846954,79.49733474846954,0.7656786739456134,0.7656786739456134,0.4993006244348631,0.4993268847465515,0.026260311688397486,4.326879978179932,0.0,True,random,100,6.0,0.0,1.0,60100,0.6379332542419434
