run_label,target,start_id,start_type,objective_value,tracking_cost,constraint_cost,peak_y_pred,max_abs_xr_pred,target_error_pred_m,target_error_pred_mm,predicted_safety_violation_m,predicted_safety_violation_mm,predicted_violation_m,u_min,u_max,n_params_near_lower_bound,n_params_near_upper_bound,n_params_near_any_bound,learning_rate,adam_steps,n_random_starts,optimization_time_s_all_starts,Kr,u_Kr,hr,u_hr,f0,u_f0,f1,u_f1,A,u_A,x_r_start,u_x_r_start
main,0.55,0,random,3.1238603591918945,3.1238603591918945,0.0,0.567674458026886,0.4761536717414856,0.01767444610595703,17.67444610595703,0.0,0.0,0.0,0.03636939451098442,0.6871442794799805,0,0,0,0.03,800,200,1.5329952239990234,2668.54833984375,0.33387091755867004,0.34050050377845764,0.6871442794799805,0.11272928863763809,0.03636939451098442,2.3177874088287354,0.4392624795436859,0.0944807231426239,0.14935734868049622,0.3591602146625519,0.18320441246032715
main,0.55,1,random,0.44202297925949097,0.44202297925949097,0.0,0.5566484928131104,0.48821452260017395,0.0066484808921813965,6.6484808921813965,0.0,0.0,0.0,0.08396842330694199,0.9422542452812195,0,0,0,0.03,800,200,1.5329952239990234,4797.8896484375,0.9422542452812195,0.27938470244407654,0.5125277042388916,0.2006615698337555,0.28760451078414917,2.8964457511901855,0.6321485638618469,0.09251905232667923,0.08396842330694199,0.3638221323490143,0.27644267678260803
main,0.55,2,random,1.7745492458343506,1.7745492458343506,0.0,0.5633212327957153,0.4897882342338562,0.013321220874786377,13.321220397949219,0.0,0.0,0.0,0.011259626597166061,0.9755542874336243,1,0,1,0.03,800,200,1.5329952239990234,1787.536865234375,0.08215340971946716,0.3043934404850006,0.5839812755584717,0.34567275643348694,0.7019221782684326,3.9266629219055176,0.9755542874336243,0.10177096724510193,0.39236554503440857,0.3505629897117615,0.011259626597166061
main,0.55,3,random,2.3833982944488525,2.3833982944488525,0.0,0.5654382705688477,0.48554322123527527,0.015438258647918701,15.43825912475586,0.0,0.0,0.0,0.1309610903263092,0.9128860831260681,0,0,0,0.03,800,200,1.5329952239990234,2714.9130859375,0.34711799025535583,0.3167213797569275,0.6192039847373962,0.4195101261138916,0.9128860831260681,3.309969425201416,0.7699897885322571,0.09669578075408936,0.2231927216053009,0.3565480411052704,0.1309610903263092
main,0.55,4,random,0.19640181958675385,0.19640181958675385,0.0,0.5544317364692688,0.4727539122104645,0.004431724548339844,4.431724548339844,0.0,0.0,0.0,0.03794689103960991,0.9679867625236511,0,0,0,0.03,800,200,1.5329952239990234,2219.97119140625,0.20570607483386993,0.36349284648895264,0.7528367638587952,0.2935982048511505,0.5531377196311951,3.9039602279663086,0.9679867625236511,0.09113840758800507,0.03794689103960991,0.3631247580051422,0.2624951899051666
main,0.55,5,random,0.2568889558315277,0.2568889558315277,0.0,0.5550684332847595,0.4806668162345886,0.005068421363830566,5.068421363830566,0.0,0.0,0.0,0.18602238595485687,0.9137402772903442,0,0,0,0.03,800,200,1.5329952239990234,4698.0908203125,0.9137402772903442,0.3984380066394806,0.8526800274848938,0.1651078462600708,0.18602238595485687,3.63108229637146,0.8770274519920349,0.09565043449401855,0.188347727060318,0.3707692623138428,0.4153854548931122
main,0.55,6,random,0.0,0.0,0.0,0.550000011920929,0.46471428871154785,0.0,0.0,0.0,0.0,0.0,0.048491161316633224,0.9546585083007812,0,0,0,0.03,800,200,1.5329952239990234,3920.0439453125,0.6914411187171936,0.43413046002388,0.9546585083007812,0.11697190999984741,0.048491161316633224,3.092287302017212,0.6974291205406189,0.0956389456987381,0.18796490132808685,0.3603171706199646,0.20634353160858154
main,0.55,7,random,19.35373306274414,19.35373306274414,0.0,0.5939928889274597,0.48390379548072815,0.04399287700653076,43.99287796020508,0.0,0.0,0.0,0.03093949519097805,0.8753600120544434,0,0,0,0.03,800,200,1.5329952239990234,3082.01806640625,0.45200514793395996,0.2914363443851471,0.5469609498977661,0.4063760042190552,0.8753600120544434,1.9975175857543945,0.33250585198402405,0.09092818945646286,0.03093949519097805,0.37550103664398193,0.5100204348564148
main,0.55,8,random,4.254814147949219,4.254814147949219,0.0,0.5706272125244141,0.47736087441444397,0.020627200603485107,20.627201080322266,0.0,0.0,0.0,0.05624067410826683,0.7695710062980652,0,0,0,0.03,800,200,1.5329952239990234,4193.49853515625,0.7695710062980652,0.2856673300266266,0.5304781198501587,0.16409409046173096,0.18312597274780273,2.5149824619293213,0.5049941539764404,0.09942217171192169,0.31407222151756287,0.3528120219707489,0.05624067410826683
main,0.55,9,random,7.81991720199585,7.81991720199585,0.0,0.5779641270637512,0.4785704016685486,0.027964115142822266,27.964115142822266,0.0,0.0,0.0,0.15768536925315857,0.9885009527206421,0,1,1,0.03,800,200,1.5329952239990234,2051.89892578125,0.15768536925315857,0.43983906507492065,0.9709687829017639,0.44597533345222473,0.9885009527206421,3.132253646850586,0.7107512354850769,0.09897403419017792,0.29913440346717834,0.36655786633491516,0.33115750551223755
