run_label,target,step,best_objective,median_objective,mean_objective,best_peak_y_pred,best_max_abs_xr_pred,learning_rate,n_random_starts,adam_steps
main,0.55,0,0.04451364278793335,129.88546752929688,1472.27880859375,0.5521098375320435,0.4701422452926636,0.01,100,600
main,0.55,10,0.0013389226514846087,80.79439544677734,1222.619384765625,0.5503659248352051,0.45438769459724426,0.01,100,600
main,0.55,20,0.0009915655246004462,63.137542724609375,1015.190185546875,0.5496851205825806,0.47151562571525574,0.01,100,600
main,0.55,30,0.00012238160707056522,43.67205810546875,842.3484497070312,0.5501106381416321,0.4692692756652832,0.01,100,600
main,0.55,40,2.9672619348275475e-06,36.08393096923828,707.34619140625,0.5499827861785889,0.47123971581459045,0.01,100,600
main,0.55,50,0.0001696145482128486,31.4228572845459,594.0838623046875,0.5501302480697632,0.4711253345012665,0.01,100,600
main,0.55,60,8.185452315956354e-06,26.62183380126953,496.486572265625,0.5500286221504211,0.4542645215988159,0.01,100,600
main,0.55,70,3.007016857736744e-07,24.142820358276367,409.5414123535156,0.5499945282936096,0.46891486644744873,0.01,100,600
main,0.55,80,1.3787725947622675e-06,21.341800689697266,343.21075439453125,0.5499882698059082,0.4712172746658325,0.01,100,600
main,0.55,90,2.5326939976366702e-06,18.6064453125,287.86260986328125,0.550015926361084,0.4542592763900757,0.01,100,600
main,0.55,100,5.403677505455562e-08,17.353973388671875,242.62039184570312,0.5500023365020752,0.4712066650390625,0.01,100,600
main,0.55,110,3.696243311424041e-07,15.434028625488281,209.40020751953125,0.5499939322471619,0.45425039529800415,0.01,100,600
main,0.55,120,3.552713678800501e-09,14.4161376953125,182.98272705078125,0.5500006079673767,0.4712078273296356,0.01,100,600
main,0.55,130,9.094947017729282e-09,12.97086238861084,160.2875518798828,0.5499990582466125,0.46890586614608765,0.01,100,600
main,0.55,140,1.4210854715202004e-10,11.824763298034668,140.29232788085938,0.5499998927116394,0.45425277948379517,0.01,100,600
main,0.55,150,1.7408297026122455e-09,10.84162425994873,122.66002655029297,0.5499995946884155,0.47120851278305054,0.01,100,600
main,0.55,160,0.0,10.24802303314209,107.47625732421875,0.550000011920929,0.4689056873321533,0.01,100,600
main,0.55,170,3.552713678800501e-11,9.407575607299805,93.8488998413086,0.5499999523162842,0.47120827436447144,0.01,100,600
main,0.55,180,1.4210854715202004e-10,8.62254524230957,81.38208770751953,0.5499998927116394,0.4712083041667938,0.01,100,600
main,0.55,190,0.0,8.015348434448242,70.62565612792969,0.550000011920929,0.45425283908843994,0.01,100,600
main,0.55,200,0.0,7.567919731140137,61.11744689941406,0.550000011920929,0.47120824456214905,0.01,100,600
main,0.55,210,0.0,7.216513633728027,53.5400505065918,0.550000011920929,0.4689056873321533,0.01,100,600
main,0.55,220,0.0,6.911328315734863,47.39927673339844,0.550000011920929,0.45425283908843994,0.01,100,600
main,0.55,230,0.0,6.606845855712891,42.610782623291016,0.550000011920929,0.4689056873321533,0.01,100,600
main,0.55,240,0.0,6.118224143981934,38.377010345458984,0.550000011920929,0.4689056873321533,0.01,100,600
main,0.55,250,0.0,5.670528411865234,34.651947021484375,0.550000011920929,0.4689056873321533,0.01,100,600
main,0.55,260,0.0,5.264493942260742,31.419252395629883,0.550000011920929,0.4689056873321533,0.01,100,600
main,0.55,270,0.0,4.834546089172363,28.55457305908203,0.550000011920929,0.4689056873321533,0.01,100,600
main,0.55,280,0.0,4.542738914489746,25.96622085571289,0.550000011920929,0.4689056873321533,0.01,100,600
main,0.55,290,0.0,4.245739459991455,23.61266326904297,0.550000011920929,0.4689056873321533,0.01,100,600
main,0.55,300,0.0,4.068527698516846,21.592042922973633,0.550000011920929,0.4689056873321533,0.01,100,600
main,0.55,310,0.0,3.8969712257385254,19.843618392944336,0.550000011920929,0.4689056873321533,0.01,100,600
main,0.55,320,0.0,3.731055974960327,18.27781105041504,0.550000011920929,0.4689056873321533,0.01,100,600
main,0.55,330,0.0,3.5472917556762695,16.852027893066406,0.550000011920929,0.4689056873321533,0.01,100,600
main,0.55,340,0.0,3.2610249519348145,15.556235313415527,0.550000011920929,0.4689056873321533,0.01,100,600
main,0.55,350,0.0,3.1098175048828125,14.377840995788574,0.550000011920929,0.4689056873321533,0.01,100,600
main,0.55,360,0.0,2.965869426727295,13.29012680053711,0.550000011920929,0.4689056873321533,0.01,100,600
main,0.55,370,0.0,2.8196730613708496,12.213288307189941,0.550000011920929,0.4689056873321533,0.01,100,600
main,0.55,380,0.0,2.654705047607422,11.21694564819336,0.550000011920929,0.4689056873321533,0.01,100,600
main,0.55,390,0.0,2.4985475540161133,10.340340614318848,0.550000011920929,0.4689056873321533,0.01,100,600
main,0.55,400,0.0,2.295013904571533,9.582772254943848,0.550000011920929,0.4689056873321533,0.01,100,600
main,0.55,410,0.0,2.0477182865142822,8.918540000915527,0.550000011920929,0.4689056873321533,0.01,100,600
main,0.55,420,0.0,1.8186923265457153,8.332954406738281,0.550000011920929,0.4689056873321533,0.01,100,600
main,0.55,430,0.0,1.658045768737793,7.812757968902588,0.550000011920929,0.4689056873321533,0.01,100,600
main,0.55,440,0.0,1.5584745407104492,7.351442813873291,0.550000011920929,0.4689056873321533,0.01,100,600
main,0.55,450,0.0,1.486177682876587,6.949960708618164,0.550000011920929,0.4689056873321533,0.01,100,600
main,0.55,460,0.0,1.4172804355621338,6.588240146636963,0.550000011920929,0.4689056873321533,0.01,100,600
main,0.55,470,0.0,1.3527014255523682,6.266941070556641,0.550000011920929,0.4689056873321533,0.01,100,600
