method,run_label,target,peak_y_true,target_error_mm,reachability_gap_mm,max_abs_xr_true,constraint_violation_abs_mm,residual_margin_mm,feasible_abs,J_true,tracking_cost,constraint_cost,best_iteration,n_true_simulator_evaluations,kernel,acquisition,seed,Kr,hr,f0,f1,A,x_r_start,optimization_time_s,kernel_label,acquisition_label,gp_alpha,alpha_label,initial_points,candidate_pool_global,candidate_pool_local,pi_xi
BO,final_BO_PI_RBF_alpha1em08_budget200_target0550_seed2026,0.55,0.5498823286720425,0.1176713279575913,0.1176713279575913,0.4964623498680485,0.0,3.537650131951509,True,0.000138465414233,0.000138465414233,0.0,131,200,rbf,pi,2026,4302.396303137581,0.2066815423189598,0.4175780082743549,2.9125449679196898,0.091011402531972,0.354035317058976,172.79770509921946,RBF,PI,1e-08,1e-08,20,4000,1000,0.01
BO,final_BO_PI_RBF_alpha1em08_budget200_target0550_seed2027,0.55,0.5500071686072762,0.0071686072761201,0.0,0.4897370841606225,0.0,10.262915839377497,True,5.138893027924233e-07,5.138893027924233e-07,0.0,89,200,rbf,pi,2027,3013.919186253924,0.2407713536066308,0.280481090720705,2.6756260480419947,0.09,0.35,161.6289742984809,RBF,PI,1e-08,1e-08,20,4000,1000,0.01
BO,final_BO_PI_RBF_alpha1em08_budget200_target0600_seed2026,0.6,0.6004584605837509,0.4584605837508748,0.0,0.4729505883669996,0.0,27.0494116330004,True,0.0021018610685319,0.0021018610685319,0.0,174,200,rbf,pi,2026,3133.553613876149,0.1998147654996563,0.2053282070377307,1.5423456499964834,0.1017226619225945,0.3562032521595307,177.38471390260383,RBF,PI,1e-08,1e-08,20,4000,1000,0.01
BO,final_BO_PI_RBF_alpha1em08_budget200_target0600_seed2027,0.6,0.5998419936748779,0.1580063251220842,0.1580063251220842,0.4771188477010685,0.0,22.88115229893145,True,0.0002496599877858,0.0002496599877858,0.0,37,200,rbf,pi,2027,2984.437523535723,0.16921072875308,0.188185628137122,1.200982737173293,0.0927939564447272,0.3688346988215478,167.48909130180255,RBF,PI,1e-08,1e-08,20,4000,1000,0.01
BO,final_BO_PI_RBF_alpha1em08_budget200_target0650_seed2026,0.65,0.6500784489717036,0.0784489717036152,0.0,0.4935237047533848,0.0,6.476295246615138,True,6.154241161354619e-05,6.154241161354619e-05,0.0,91,200,rbf,pi,2026,3951.749223655128,0.21567142259698,0.3294292718085768,1.180070401855517,0.1191150172460838,0.3600722361609698,167.92389909783378,RBF,PI,1e-08,1e-08,20,4000,1000,0.01
BO,final_BO_PI_RBF_alpha1em08_budget200_target0650_seed2027,0.65,0.6500696442427069,0.0696442427068344,0.0,0.4946596249483211,0.0,5.340375051678892,True,4.850320542208463e-05,4.850320542208463e-05,0.0,133,200,rbf,pi,2027,2535.651477431743,0.1060949392315741,0.1383738690660296,1.561781923294997,0.12,0.35,168.10522620053962,RBF,PI,1e-08,1e-08,20,4000,1000,0.01
BO,final_BO_PI_RBF_alpha1em08_budget200_target0700_seed2026,0.7,0.6713718433816569,28.62815661834306,28.62815661834306,0.4998498234713299,0.0,0.1501765286701095,True,8.195713513643796,8.195713513643796,0.0,147,200,rbf,pi,2026,1879.472420794939,0.2548120573842631,0.445044810230648,1.0363663285219449,0.1199606955884727,0.35,164.9012178988196,RBF,PI,1e-08,1e-08,20,4000,1000,0.01
BO,final_BO_PI_RBF_alpha1em08_budget200_target0700_seed2027,0.7,0.6651060645865783,34.89393541342167,34.89393541342167,0.4998150704752194,0.0,0.1849295247805527,True,12.17586728636043,12.17586728636043,0.0,196,200,rbf,pi,2027,3610.04406158385,0.2153831188956054,0.3978143507794875,1.0,0.12,0.3634913342382799,166.99465970136225,RBF,PI,1e-08,1e-08,20,4000,1000,0.01
BO,final_BO_PI_RBF_alpha1em08_budget200_target0750_seed2026,0.75,0.6698239281208869,80.17607187911312,80.17607187911312,0.4989889277408303,0.0,1.011072259169632,True,64.28202501964715,64.28202501964715,0.0,157,200,rbf,pi,2026,1841.43329651788,0.2632955518962478,0.4499999999999999,1.0,0.1190638973543821,0.35,164.65271750069223,RBF,PI,1e-08,1e-08,20,4000,1000,0.01
BO,final_BO_PI_RBF_alpha1em08_budget200_target0750_seed2027,0.75,0.6727249600721297,77.27503992787032,77.27503992787032,0.4957736514032591,0.0,4.22634859674087,True,59.71431795853953,59.71431795853953,0.0,135,200,rbf,pi,2027,2646.526732705452,0.103765087931347,0.4499999999999999,1.0,0.12,0.35,168.14344579866156,RBF,PI,1e-08,1e-08,20,4000,1000,0.01
