Kr,hr,f0,f1,A,x_r_start,u_Kr,u_hr,u_f0,u_f1,u_A,u_x_r_start,peak_y_true,target_error_m,target_error_mm,reachability_gap_m,reachability_gap_mm,max_abs_xr_true,constraint_violation_abs_m,constraint_violation_abs_mm,residual_margin_m,residual_margin_mm,feasible_abs,tracking_cost,constraint_cost,J_true,run_label,method,target,iteration,phase,kernel,acquisition,seed,total_budget,initial_points,simulation_time_s,gp_fit_time_s,acquisition_time_s,iteration_time_s,acquisition_score,candidate_pool_size,candidate_pool_global,candidate_pool_local,best_J_so_far,best_feasible_error_so_far_mm,best_feasible_margin_so_far_mm,is_current_best_J,kernel_label,acquisition_label,gp_alpha,alpha_label
2126.2718478640268,0.323969608000304,0.2635439404002198,2.111501581324144,0.1006475200292895,0.3895259122926632,0.1789348136754361,0.6399131657151546,0.4672684011434851,0.370500527108048,0.3549173343096512,0.790518245853265,0.622471932584355,0.0724719325843549,72.47193258435492,0.0,0.0,0.514540225676249,0.014540225676249,14.54022567624902,-0.014540225676249,-14.54022567624902,False,52.52181012511283,84.5672650865005,137.08907521161333,final_RS_budget200_target0550_seed2026,RandomSearch,0.55,1,random,none,none,2026,200,0,0.3372456999495625,0.0,0.0,0.3373065001796931,,0,0,0,137.08907521161333,,,True,none,none,,none
4668.003428370109,0.162073617138067,0.3284746809397961,1.894908302066708,0.1190088660048717,0.3959925080268639,0.905143836677174,0.1773531918230486,0.652784802685132,0.2983027673555692,0.9669622001623904,0.9198501605372782,0.6678154311968197,0.1178154311968197,117.8154311968197,0.0,0.0,0.5358766925860597,0.0358766925860597,35.87669258605975,-0.0358766925860597,-35.87669258605975,False,138.80475828092557,514.8548283658537,653.6595866467792,final_RS_budget200_target0550_seed2026,RandomSearch,0.55,2,random,none,none,2026,200,0,0.4923742001410573,0.0,0.0,0.4924358001444489,,0,0,0,137.08907521161333,,,False,none,none,,none
3725.54781450628,0.3634562339776803,0.2803037937128231,3.47768577512671,0.103451416362003,0.3669406226656881,0.6358708041446514,0.7527320970790866,0.5151536963223518,0.82589525837557,0.4483805454001032,0.3388124533137618,0.5774767657565465,0.0274767657565464,27.47676575654645,0.0,0.0,0.4915543985664757,0.0,0.0,0.0084456014335242,8.445601433524242,True,7.549726564401237,0.0,7.549726564401237,final_RS_budget200_target0550_seed2026,RandomSearch,0.55,3,random,none,none,2026,200,0,0.466620999854058,0.0,0.0,0.4666722000110894,,0,0,0,7.549726564401237,27.47676575654645,8.445601433524242,True,none,none,,none
2472.6472542505567,0.1792165698951912,0.2840358951708369,2.2927361820532943,0.1098954186141778,0.3506420241183403,0.277899215500159,0.2263330568434034,0.5258168433452484,0.4309120606844314,0.6631806204725954,0.0128404823668065,0.6094055922798914,0.0594055922798913,59.405592279891394,0.0,0.0,0.529849050491302,0.029849050491302,29.849050491302044,-0.029849050491302,-29.849050491302044,False,35.29024394124691,356.3863260929195,391.6765700341664,final_RS_budget200_target0550_seed2026,RandomSearch,0.55,4,random,none,none,2026,200,0,0.4159679999575019,0.0,0.0,0.416020100004971,,0,0,0,7.549726564401237,27.47676575654645,8.445601433524242,False,none,none,,none
3066.956655385523,0.2278132803963369,0.1683891599550439,2.7845976130181587,0.1030593946785193,0.3649995751872575,0.4477019015387208,0.3651808011323914,0.195397599871554,0.5948658710060528,0.4353131559506445,0.2999915037451498,0.5896833780381259,0.0396833780381258,39.683378038125824,0.0,0.0,0.5341116823019275,0.0341116823019275,34.11168230192752,-0.0341116823019275,-34.11168230192752,False,15.747704925168073,465.4427477870539,481.190452712222,final_RS_budget200_target0550_seed2026,RandomSearch,0.55,5,random,none,none,2026,200,0,0.4613754001911729,0.0,0.0,0.4614242000970989,,0,0,0,7.549726564401237,27.47676575654645,8.445601433524242,False,none,none,,none
2232.9564243267687,0.4061184200172628,0.3791118104325014,2.820129030054937,0.1003530173600187,0.3973409895489824,0.2094161212362195,0.8746240571921795,0.7974623155214327,0.606709676684979,0.3451005786672921,0.9468197909796484,0.6126201284434322,0.0626201284434321,62.62012844343212,0.0,0.0,0.5100286421941675,0.0100286421941675,10.028642194167547,-0.0100286421941675,-10.028642194167547,False,39.21280486271936,40.22946570345507,79.44227056617443,final_RS_budget200_target0550_seed2026,RandomSearch,0.55,6,random,none,none,2026,200,0,0.4644916001707315,0.0,0.0,0.4645368999335915,,0,0,0,7.549726564401237,27.47676575654645,8.445601433524242,False,none,none,,none
3471.8208107589094,0.2514669588669832,0.4151573596514777,1.958025411705587,0.1108798461040135,0.3656910163631185,0.5633773745025455,0.432762739619952,0.9004495990042221,0.3193418039018624,0.6959948701337834,0.3138203272623701,0.6228014184001787,0.0728014184001786,72.80141840017862,0.0,0.0,0.4993476527775167,0.0,0.0,0.0006523472224833,0.6523472224833071,True,53.00046521077866,0.0,53.00046521077866,final_RS_budget200_target0550_seed2026,RandomSearch,0.55,7,random,none,none,2026,200,0,0.4491890999488532,0.0,0.0,0.4492368998471647,,0,0,0,7.549726564401237,27.47676575654645,8.445601433524242,False,none,none,,none
2415.4356620913,0.3452943113252994,0.1797621926175752,2.4793309689546423,0.1074008535906166,0.3594453182377229,0.2615530463118,0.7008408895008554,0.2278919789073576,0.4931103229848808,0.5800284530205562,0.1889063647544584,0.5962134975856619,0.0462134975856618,46.21349758566184,0.0,0.0,0.4912300648967074,0.0,0.0,0.0087699351032926,8.769935103292603,True,21.356873590999733,0.0,21.356873590999733,final_RS_budget200_target0550_seed2026,RandomSearch,0.55,8,random,none,none,2026,200,0,0.3713119998574257,0.0,0.0,0.3713581999763846,,0,0,0,7.549726564401237,27.47676575654645,8.445601433524242,False,none,none,,none
4059.342304254557,0.2919690726186206,0.3175261408690781,2.116432950390489,0.102605797797619,0.3747414838958528,0.7312406583584447,0.5484830646246303,0.6215032596259377,0.3721443167968299,0.4201932599206338,0.4948296779170562,0.6026664901246608,0.0526664901246607,52.66649012466074,0.0,0.0,0.4960822059873528,0.0,0.0,0.0039177940126471,3.917794012647136,True,27.73759182050987,0.0,27.73759182050987,final_RS_budget200_target0550_seed2026,RandomSearch,0.55,9,random,none,none,2026,200,0,0.4447647999040782,0.0,0.0,0.4448198000900447,,0,0,0,7.549726564401237,27.47676575654645,8.445601433524242,False,none,none,,none
3144.8981934215944,0.3364737279973681,0.3020121265736697,2.248811928977399,0.0900540706082045,0.3897015530387752,0.4699709124061698,0.6756392228496231,0.5771775044961992,0.4162706429924663,0.001802353606819,0.7940310607755042,0.5898639273536515,0.0398639273536514,39.863927353651405,0.0,0.0,0.4978753107854863,0.0,0.0,0.0021246892145136,2.124689214513697,True,15.89132704057197,0.0,15.89132704057197,final_RS_budget200_target0550_seed2026,RandomSearch,0.55,10,random,none,none,2026,200,0,0.4183511999435723,0.0,0.0,0.4184030001051724,,0,0,0,7.549726564401237,27.47676575654645,8.445601433524242,False,none,none,,none
