method,run_label,target,peak_y_true,target_error_mm,reachability_gap_mm,max_abs_xr_true,constraint_violation_abs_mm,residual_margin_mm,feasible_abs,J_true,tracking_cost,constraint_cost,best_iteration,n_true_simulator_evaluations,kernel,acquisition,seed,Kr,hr,f0,f1,A,x_r_start,optimization_time_s
RandomSearch,final_RS_budget200_target0550_seed2026,0.55,0.552188926523059,2.188926523058909,0.0,0.4681594986479171,0.0,31.84050135208283,True,0.0479139932335076,0.0479139932335076,0.0,152,200,none,none,2026,1786.6870105377689,0.4185686454982245,0.2241149119826448,3.974163211892688,0.0939405526878656,0.3620924899665589,92.52531070169061
RandomSearch,final_RS_budget200_target0550_seed2027,0.55,0.5500301411320248,0.030141132024708,0.0,0.4842480596382316,0.0,15.751940361768357,True,9.084878397308798e-06,9.084878397308798e-06,0.0,41,200,none,none,2027,2801.594099309902,0.293018619988779,0.4085965723043561,3.6860997166319898,0.0950191911273686,0.3504375232796837,88.6002737970557
RandomSearch,final_RS_budget200_target0600_seed2026,0.6,0.5999523811898733,0.0476188101267149,0.0476188101267149,0.4817184472296036,0.0,18.28155277039639,True,2.267551077884133e-05,2.267551077884133e-05,0.0,145,200,none,none,2026,4114.549263715988,0.1445237430582364,0.3715567528681577,1.44574212275182,0.0925943129752387,0.3778603927340774,89.00801620143466
RandomSearch,final_RS_budget200_target0600_seed2027,0.6,0.6002147511415867,0.2147511415867553,0.0,0.4899333806552281,0.0,10.066619344771876,True,0.0004611805281281,0.0004611805281281,0.0,96,200,none,none,2027,2002.260011606294,0.1970113777276378,0.4318368787600247,1.8201734289810745,0.0947295629473598,0.3598767021540247,83.5070688999258
RandomSearch,final_RS_budget200_target0650_seed2026,0.65,0.6438606401959437,6.139359804056332,6.139359804056332,0.4962316755530688,0.0,3.768324446931148,True,0.3769173880366261,0.3769173880366261,0.0,63,200,none,none,2026,4422.9960697264505,0.2700765424492183,0.4368405052900644,1.4338471146200489,0.1167546529269966,0.3679773059466171,85.68549630139023
RandomSearch,final_RS_budget200_target0650_seed2027,0.65,0.6522681252400331,2.2681252400330587,0.0,0.4998720861332122,0.0,0.1279138667877322,True,0.0514439210447502,0.0514439210447502,0.0,132,200,none,none,2027,2281.084792122,0.1796737117425936,0.1129943908844652,1.197564763911663,0.113374160695624,0.3619104849298905,85.78890720079653
RandomSearch,final_RS_budget200_target0700_seed2026,0.7,0.6438606401959437,56.13935980405627,56.13935980405627,0.4962316755530688,0.0,3.768324446931148,True,31.516277192092883,31.516277192092883,0.0,63,200,none,none,2026,4422.9960697264505,0.2700765424492183,0.4368405052900644,1.4338471146200489,0.1167546529269966,0.3679773059466171,82.01496890070848
RandomSearch,final_RS_budget200_target0700_seed2027,0.7,0.65232043932248,47.67956067752,47.67956067752,0.4939954549503377,0.0,6.004545049662302,True,22.73340506401311,22.73340506401311,0.0,123,200,none,none,2027,2895.603409376692,0.1367893013354081,0.4210729762605664,1.4374157181682263,0.1179682921348301,0.3549881023772936,83.05395170184784
RandomSearch,final_RS_budget200_target0750_seed2026,0.75,0.6438606401959437,106.13935980405633,106.13935980405633,0.4962316755530688,0.0,3.768324446931148,True,112.65563699614924,112.65563699614924,0.0,63,200,none,none,2026,4422.9960697264505,0.2700765424492183,0.4368405052900644,1.4338471146200489,0.1167546529269966,0.3679773059466171,80.91050789924338
RandomSearch,final_RS_budget200_target0750_seed2027,0.75,0.65232043932248,97.67956067752004,97.67956067752004,0.4939954549503377,0.0,6.004545049662302,True,95.41296574153316,95.41296574153316,0.0,123,200,none,none,2027,2895.603409376692,0.1367893013354081,0.4210729762605664,1.4374157181682263,0.1179682921348301,0.3549881023772936,82.6257247000467
