Kr,hr,f0,f1,A,x_r_start,u_Kr,u_hr,u_f0,u_f1,u_A,u_x_r_start,peak_y_true,target_error_m,target_error_mm,reachability_gap_m,reachability_gap_mm,max_abs_xr_true,constraint_violation_abs_m,constraint_violation_abs_mm,residual_margin_m,residual_margin_mm,feasible_abs,tracking_cost,constraint_cost,J_true,run_label,method,target,iteration,phase,kernel,acquisition,seed,total_budget,initial_points,simulation_time_s,gp_fit_time_s,acquisition_time_s,iteration_time_s,acquisition_score,candidate_pool_size,candidate_pool_global,candidate_pool_local,best_J_so_far,best_feasible_error_so_far_mm,best_feasible_margin_so_far_mm,is_current_best_J
2126.2718478640268,0.32396960800030405,0.2635439404002198,2.111501581324144,0.10064752002928953,0.38952591229266326,0.17893481367543618,0.6399131657151546,0.4672684011434851,0.37050052710804804,0.3549173343096512,0.790518245853265,0.622471932584355,0.07247193258435491,72.47193258435492,0.0,0.0,0.514540225676249,0.014540225676249019,14.540225676249019,-0.014540225676249019,-14.540225676249019,False,52.52181012511283,84.5672650865005,137.08907521161333,random_main,RandomSearch,0.55,1,random,none,none,2026,100,0,0.39299119997303933,0.0,0.0,0.39308579999487847,,0,0,0,137.08907521161333,,,True
4668.003428370109,0.16207361713806703,0.32847468093979615,1.8949083020667077,0.1190088660048717,0.3959925080268639,0.9051438366771739,0.17735319182304865,0.652784802685132,0.29830276735556926,0.9669622001623905,0.9198501605372782,0.6678154311968197,0.1178154311968197,117.8154311968197,0.0,0.0,0.5358766925860597,0.035876692586059744,35.87669258605975,-0.035876692586059744,-35.87669258605975,False,138.80475828092557,514.8548283658537,653.6595866467792,random_main,RandomSearch,0.55,2,random,none,none,2026,100,0,0.529654800076969,0.0,0.0,0.5297146999510005,,0,0,0,137.08907521161333,,,False
3725.54781450628,0.36345623397768034,0.2803037937128231,3.47768577512671,0.10345141636200308,0.3669406226656881,0.6358708041446514,0.7527320970790866,0.5151536963223518,0.82589525837557,0.4483805454001032,0.33881245331376186,0.5774767657565465,0.02747676575654645,27.47676575654645,0.0,0.0,0.49155439856647576,0.0,0.0,0.008445601433524241,8.445601433524242,True,7.549726564401237,0.0,7.549726564401237,random_main,RandomSearch,0.55,3,random,none,none,2026,100,0,0.46465490001719445,0.0,0.0,0.4647096999688074,,0,0,0,7.549726564401237,27.47676575654645,8.445601433524242,True
2472.6472542505567,0.1792165698951912,0.28403589517083694,2.2927361820532943,0.10989541861417786,0.35064202411834033,0.27789921550015906,0.22633305684340344,0.5258168433452484,0.43091206068443144,0.6631806204725954,0.012840482366806572,0.6094055922798914,0.059405592279891395,59.405592279891394,0.0,0.0,0.529849050491302,0.029849050491302043,29.849050491302044,-0.029849050491302043,-29.849050491302044,False,35.29024394124691,356.3863260929195,391.6765700341664,random_main,RandomSearch,0.55,4,random,none,none,2026,100,0,0.4011156000196934,0.0,0.0,0.4011704999720678,,0,0,0,7.549726564401237,27.47676575654645,8.445601433524242,False
3066.956655385523,0.22781328039633697,0.16838915995504392,2.7845976130181587,0.10305939467851934,0.3649995751872575,0.4477019015387208,0.3651808011323914,0.19539759987155403,0.5948658710060528,0.43531315595064457,0.2999915037451498,0.5896833780381259,0.03968337803812583,39.683378038125824,0.0,0.0,0.5341116823019275,0.034111682301927515,34.111682301927516,-0.034111682301927515,-34.111682301927516,False,15.747704925168073,465.4427477870539,481.190452712222,random_main,RandomSearch,0.55,5,random,none,none,2026,100,0,0.44281570008024573,0.0,0.0,0.442860999959521,,0,0,0,7.549726564401237,27.47676575654645,8.445601433524242,False
2232.9564243267687,0.40611842001726284,0.3791118104325014,2.820129030054937,0.10035301736001875,0.39734098954898245,0.20941612123621955,0.8746240571921795,0.7974623155214327,0.606709676684979,0.34510057866729216,0.9468197909796484,0.6126201284434322,0.06262012844343212,62.62012844343212,0.0,0.0,0.5100286421941675,0.010028642194167547,10.028642194167547,-0.010028642194167547,-10.028642194167547,False,39.21280486271936,40.22946570345507,79.44227056617443,random_main,RandomSearch,0.55,6,random,none,none,2026,100,0,0.34950260003097355,0.0,0.0,0.3495508999330923,,0,0,0,7.549726564401237,27.47676575654645,8.445601433524242,False
3471.8208107589094,0.2514669588669832,0.4151573596514777,1.958025411705587,0.1108798461040135,0.3656910163631185,0.5633773745025455,0.43276273961995204,0.9004495990042221,0.3193418039018624,0.6959948701337834,0.3138203272623701,0.6228014184001787,0.07280141840017862,72.80141840017862,0.0,0.0,0.4993476527775167,0.0,0.0,0.0006523472224833071,0.6523472224833071,True,53.00046521077866,0.0,53.00046521077866,random_main,RandomSearch,0.55,7,random,none,none,2026,100,0,0.42611929995473474,0.0,0.0,0.4261665000813082,,0,0,0,7.549726564401237,27.47676575654645,8.445601433524242,False
2415.4356620913,0.3452943113252994,0.1797621926175752,2.4793309689546423,0.10740085359061669,0.3594453182377229,0.2615530463118,0.7008408895008554,0.22789197890735768,0.4931103229848808,0.5800284530205562,0.18890636475445843,0.5962134975856619,0.046213497585661845,46.21349758566184,0.0,0.0,0.4912300648967074,0.0,0.0,0.008769935103292603,8.769935103292603,True,21.356873590999733,0.0,21.356873590999733,random_main,RandomSearch,0.55,8,random,none,none,2026,100,0,0.36398519994691014,0.0,0.0,0.3640340999700129,,0,0,0,7.549726564401237,27.47676575654645,8.445601433524242,False
4059.3423042545564,0.2919690726186206,0.31752614086907816,2.1164329503904895,0.10260579779761901,0.3747414838958528,0.7312406583584447,0.5484830646246303,0.6215032596259377,0.3721443167968299,0.42019325992063383,0.49482967791705623,0.6026664901246608,0.052666490124660736,52.66649012466074,0.0,0.0,0.49608220598735286,0.0,0.0,0.0039177940126471356,3.9177940126471356,True,27.73759182050987,0.0,27.73759182050987,random_main,RandomSearch,0.55,9,random,none,none,2026,100,0,0.44503389997407794,0.0,0.0,0.4450807999819517,,0,0,0,7.549726564401237,27.47676575654645,8.445601433524242,False
3144.8981934215944,0.3364737279973681,0.3020121265736697,2.248811928977399,0.09005407060820457,0.38970155303877524,0.46997091240616984,0.6756392228496231,0.5771775044961992,0.4162706429924663,0.0018023536068190182,0.7940310607755042,0.5898639273536515,0.03986392735365141,39.863927353651405,0.0,0.0,0.4978753107854863,0.0,0.0,0.0021246892145136975,2.1246892145136975,True,15.89132704057197,0.0,15.89132704057197,random_main,RandomSearch,0.55,10,random,none,none,2026,100,0,0.3958411000203341,0.0,0.0,0.3958890000358224,,0,0,0,7.549726564401237,27.47676575654645,8.445601433524242,False
