method,mean_error_mm,std_error_mm,max_error_mm,mean_violation_mm,max_violation_mm,feasibility_rate_percent,mean_extra_reach_m,max_extra_reach_m,mean_optimization_time_s,total_optimization_time_s,mean_n_evaluations,total_n_evaluations,optimizer_internal_successful_runs,validated_successful_runs,validated_success_rate_percent,n_targets
Powell Multi-Start,4.465224112897108,3.1562290399663957,7.298073639177227,0.0,0.0,100.0,0.08040015831322105,0.1349655006669076,94.83325521151225,284.49976563453674,77519.0,232557,3,3,100.0,3
Differential Evolution,4.729673024157203,2.8441687049167887,7.321237913936129,0.0,0.0,100.0,0.08015115225180021,0.13481907216051803,7.358388106028239,22.075164318084717,5848.333333333333,17545,0,3,100.0,3
Random Search,7.19553309056927,8.950103835647843,17.316501563392485,0.0,0.0,100.0,0.08456499297631255,0.14032428753693027,1.7830135822296143,5.349040746688843,1500.0,4500,3,2,66.66666666666666,3
