method,target,optimizer_internal_success,validated_success,message,objective_value,n_evaluations,optimization_time_s,Kb,Kr,Mb,hb,hr,f0,f1,A,x_r_start,gp_peak_y_pred,gp_peak_y_std,gp_max_xr_pred,gp_max_xr_std,y_sim,error_sim,error_sim_mm,max_xr_sim,max_xb_sim,extra_reach,constraint_violation,constraint_violation_mm,feasible
Random Search,0.52,True,False,Completed random search,0.0001748915042941972,1500,1.6996617317199707,1000.0,3086.501262388535,20.0,0.1,0.3934277106610795,0.12612037090925912,3.4032283978235274,0.09112004258532475,0.3514035005956978,0.5324856267008898,0.011025174056462191,0.45427005771134105,0.003917807381511693,0.5373165015633925,0.017316501563392483,17.316501563392485,0.4543856948111684,0.16978501303929408,0.0373165015633925,0.0,0.0,True
Powell Multi-Start,0.52,True,True,Optimization terminated successfully.,2.07306638871011e-05,22746,26.162269115447998,1000.0,4981.669160225799,20.0,0.1,0.2572396628647727,0.10000046096865729,3.999999444037165,0.09000042465441944,0.3500000000020156,0.520281370026121,0.011427396699971015,0.4950000131255921,0.00461234302407127,0.5272980736391772,0.007298073639177227,7.298073639177227,0.4945719068628203,0.1707654379724616,0.027298073639177245,0.0,0.0,True
Differential Evolution,0.52,False,True,Maximum number of iterations has been exceeded.,2.075499614341738e-05,5839,6.992441177368164,1000.0,4994.310804912001,20.0,0.1,0.25867653634967747,0.10091555757839671,3.997359968842135,0.0900014809644792,0.3500098357234232,0.520313348554854,0.011427585843526092,0.49433772606153553,0.004622447609037024,0.5273212379139361,0.0073212379139361294,7.321237913936129,0.49389658716590973,0.1707039257505355,0.027321237913936147,0.0,0.0,True
Random Search,0.58,True,True,Completed random search,1.8578498631345592e-05,1500,1.7948358058929443,1000.0,3865.5082518030104,20.0,0.1,0.23034970371489594,0.2794958100098082,1.5638741138918861,0.0946560343288148,0.3537822381849245,0.5799775488517631,0.010908787991218178,0.4611706161811115,0.003815091772648591,0.5760541898286149,0.003945810171385067,3.945810171385067,0.45932526496024734,0.1978254641405693,0.0760541898286149,0.0,0.0,True
Powell Multi-Start,0.58,True,True,Optimization terminated successfully.,1.8232728209015838e-05,92598,110.8783860206604,1000.0,3521.6749607748793,20.0,0.1,0.31784933323211173,0.25278493577729977,2.224658787635662,0.09977963984637683,0.3573400618218999,0.5800038964063651,0.01081451687513858,0.4757237610014501,0.003713884060211649,0.5789369006335783,0.0010630993664216826,1.0630993664216826,0.4773661312136923,0.20038095161985936,0.07893690063357828,0.0,0.0,True
Differential Evolution,0.58,False,True,Maximum number of iterations has been exceeded.,1.823407835528151e-05,5853,8.080177307128906,1000.0,3486.542952758273,20.0,0.1,0.31293330685836207,0.25365394242722583,2.2819683224989475,0.10042852822700978,0.3567050689160135,0.5800034975104681,0.010814344509761067,0.4776075351739898,0.0037190295678634668,0.5783131466809465,0.001686853319053494,1.686853319053494,0.47966095897736133,0.19974906487615876,0.07831314668094647,0.0,0.0,True
Random Search,0.64,True,True,Completed random search,2.3058669258603853e-05,1500,1.8545432090759277,1000.0,3849.336683481107,20.0,0.1,0.11870198533718779,0.2197585113006198,1.0482883347810463,0.1146260086896326,0.3558594965873972,0.63959196332647,0.011983434355858911,0.4869047104202485,0.0051995586110388636,0.6403242875369303,0.0003242875369302567,0.3242875369302567,0.4861414381040165,0.247913980171512,0.14032428753693027,0.0,0.0,True
Powell Multi-Start,0.64,True,True,Optimization terminated successfully.,1.827072856985078e-05,117213,147.45911049842834,1000.0,2974.6768910345486,20.0,0.1,0.3006969725410604,0.3503972406219151,1.5194010706927725,0.11188417776494126,0.36759219352938066,0.6399869287678739,0.010831028114625331,0.4950000252399956,0.0036711902463428567,0.6349655006669076,0.005034499333092413,5.034499333092413,0.49466681094365333,0.23107267742209286,0.1349655006669076,0.0,0.0,True
Differential Evolution,0.64,False,True,Maximum number of iterations has been exceeded.,1.8265398499772283e-05,5853,7.0025458335876465,1000.0,3101.1974222873573,20.0,0.1,0.2977788032307101,0.34286540629776313,1.5303831620719162,0.11230942836776515,0.36749728650389907,0.6399956094478165,0.010829183913208314,0.49496736898790633,0.0036734060186980324,0.634819072160518,0.005180927839481986,5.180927839481986,0.49451690457690034,0.23143641404268983,0.13481907216051803,0.0,0.0,True
