method,target,nominal_Kb,nominal_Kr,nominal_Mb,nominal_hb,nominal_hr,nominal_f0,nominal_f1,nominal_A,nominal_x_r_start,nominal_Mr,nominal_peak_y,nominal_target_error_mm,nominal_max_abs_xr,nominal_residual_margin_mm,nominal_feasible_abs
NN+Adam safe,0.65,1000.0,2823.03564453125,20.0,0.1,0.1172497346997261,0.4409545361995697,1.109592318534851,0.1116335690021514,0.3569131195545196,10.0,0.6497231042951805,0.2768957048194798,0.4902292534488906,9.770746551109378,True
NN+Adam safe,0.75,1000.0,2534.451171875,20.0,0.1,0.10133808106184,0.4493398070335388,1.0038635730743408,0.1195716634392738,0.3504621684551239,10.0,0.6743117878700304,75.68821212996957,0.4970457383434047,2.9542616565952917,True
