target,noise_level,noise_std_percent,uncertain_parameter,output_metric,pearson_correlation,abs_pearson_correlation
0.75,0.05,5.0,Mb,delta_peak_y_mm,-0.6172012433671991,0.6172012433671991
0.75,0.05,5.0,hb,delta_peak_y_mm,-0.544756712419044,0.544756712419044
0.75,0.05,5.0,Mr,delta_peak_y_mm,0.5431132925109535,0.5431132925109535
0.75,0.05,5.0,Kb,delta_peak_y_mm,0.11610953285276286,0.11610953285276286
0.75,0.05,5.0,Mb,max_abs_xr,-0.5588708903501296,0.5588708903501296
0.75,0.05,5.0,Kb,max_abs_xr,0.5447117259271764,0.5447117259271764
0.75,0.05,5.0,Mr,max_abs_xr,0.5111127166411643,0.5111127166411643
0.75,0.05,5.0,hb,max_abs_xr,-0.24448426115958555,0.24448426115958555
0.75,0.05,5.0,Mb,peak_y,-0.6172012433671988,0.6172012433671988
0.75,0.05,5.0,hb,peak_y,-0.544756712419044,0.544756712419044
0.75,0.05,5.0,Mr,peak_y,0.5431132925109533,0.5431132925109533
0.75,0.05,5.0,Kb,peak_y,0.11610953285276285,0.11610953285276285
0.75,0.05,5.0,Mb,residual_margin_mm,0.5588708903501297,0.5588708903501297
0.75,0.05,5.0,Kb,residual_margin_mm,-0.544711725927176,0.544711725927176
0.75,0.05,5.0,Mr,residual_margin_mm,-0.5111127166411644,0.5111127166411644
0.75,0.05,5.0,hb,residual_margin_mm,0.2444842611595855,0.2444842611595855
0.75,0.05,5.0,Mb,target_error_mm,0.617201243367199,0.617201243367199
0.75,0.05,5.0,hb,target_error_mm,0.544756712419044,0.544756712419044
0.75,0.05,5.0,Mr,target_error_mm,-0.5431132925109535,0.5431132925109535
0.75,0.05,5.0,Kb,target_error_mm,-0.11610953285276285,0.11610953285276285
0.75,0.1,10.0,Mb,constraint_violation_mm,-0.4635724093924631,0.4635724093924631
0.75,0.1,10.0,Kb,constraint_violation_mm,0.37677298488996125,0.37677298488996125
0.75,0.1,10.0,Mr,constraint_violation_mm,0.3191961877342651,0.3191961877342651
0.75,0.1,10.0,hb,constraint_violation_mm,-0.20359100695593932,0.20359100695593932
0.75,0.1,10.0,Mb,delta_max_abs_xr_mm,-0.6013697291935209,0.6013697291935209
0.75,0.1,10.0,Kb,delta_max_abs_xr_mm,0.5293153393807558,0.5293153393807558
0.75,0.1,10.0,Mr,delta_max_abs_xr_mm,0.49184847852670227,0.49184847852670227
0.75,0.1,10.0,hb,delta_max_abs_xr_mm,-0.24430263678325864,0.24430263678325864
0.75,0.1,10.0,Mb,delta_peak_y_mm,-0.6252565607788821,0.6252565607788821
0.75,0.1,10.0,Mr,delta_peak_y_mm,0.5560552243401894,0.5560552243401894
0.75,0.1,10.0,hb,delta_peak_y_mm,-0.5303931364448327,0.5303931364448327
0.75,0.1,10.0,Kb,delta_peak_y_mm,0.10824441126337744,0.10824441126337744
0.75,0.1,10.0,Mb,max_abs_xr,-0.6013697291935215,0.6013697291935215
0.75,0.1,10.0,Kb,max_abs_xr,0.5293153393807563,0.5293153393807563
0.75,0.1,10.0,Mr,max_abs_xr,0.4918484785267027,0.4918484785267027
0.75,0.1,10.0,hb,max_abs_xr,-0.2443026367832587,0.2443026367832587
0.75,0.1,10.0,Mb,peak_y,-0.6252565607788823,0.6252565607788823
0.75,0.1,10.0,Mr,peak_y,0.5560552243401894,0.5560552243401894
0.75,0.1,10.0,hb,peak_y,-0.5303931364448325,0.5303931364448325
0.75,0.1,10.0,Kb,peak_y,0.1082444112633775,0.1082444112633775
0.75,0.1,10.0,Mb,residual_margin_mm,0.6013697291935209,0.6013697291935209
0.75,0.1,10.0,Kb,residual_margin_mm,-0.5293153393807558,0.5293153393807558
0.75,0.1,10.0,Mr,residual_margin_mm,-0.49184847852670227,0.49184847852670227
0.75,0.1,10.0,hb,residual_margin_mm,0.2443026367832586,0.2443026367832586
0.75,0.1,10.0,Mb,target_error_mm,0.5838083151755066,0.5838083151755066
0.75,0.1,10.0,Mr,target_error_mm,-0.5517551577609868,0.5517551577609868
0.75,0.1,10.0,hb,target_error_mm,0.48009761959021213,0.48009761959021213
0.75,0.1,10.0,Kb,target_error_mm,-0.09012128785973254,0.09012128785973254
