method,target,parameter,parameter_group,peak_y_range_mm,max_abs_delta_peak_y_mm,delta_peak_y_minus10_mm,delta_peak_y_minus5_mm,delta_peak_y_plus5_mm,delta_peak_y_plus10_mm,local_slope_peak_y_mm_per_percent,max_abs_xr_range_mm,max_abs_delta_max_abs_xr_mm,delta_max_abs_xr_minus10_mm,delta_max_abs_xr_minus5_mm,delta_max_abs_xr_plus5_mm,delta_max_abs_xr_plus10_mm,local_slope_max_abs_xr_mm_per_percent,local_slope_residual_margin_mm_per_percent,target_error_range_mm,max_target_error_mm,min_residual_margin_mm,residual_margin_minus10_mm,residual_margin_plus10_mm,worst_margin_perturbation_percent,worst_margin_tested_value,worst_margin_peak_y,worst_margin_max_abs_xr,worst_margin_target_error_mm,worst_margin_feasible_abs,max_constraint_violation_mm,feasibility_rate_percent,n_infeasible_points,n_tested_points,n_clipped_points,risk_label
NN+Adam safe,0.65,A,controllable,15.737738314580362,7.868869251230093,-7.86886906335027,-3.9344344692954225,3.9344346242802253,7.868869251230093,0.7868869093575648,7.1653787014095975,3.582689370922598,-3.582689330486999,-1.7913446372381236,1.791344696313868,3.582689370922598,0.35826893335519916,-0.35826893335519927,7.86886906335027,8.14576476816975,6.188057180186779,13.353435881596376,6.188057180186779,10.0,0.11463356900215141,0.6575919735464106,0.4938119428198132,7.591973546410613,True,0.0,100.0,0,5,0,safe
NN+Adam safe,0.65,f0,controllable,1.30807414076628,1.0484877300716011,-1.0484877300716011,-0.512553908773361,0.2595864106946788,0.2595864106946788,0.07721403194680398,0.09775357682334507,0.0808703154783208,-0.0808703154783208,-0.037461108832959056,0.01688326134502427,0.01688326134502427,0.0054344370177983325,-0.005434437017798288,1.30807414076628,1.325383434891081,9.753863289764354,9.851616866587698,9.753863289764354,5.0,0.45,0.6499826907058752,0.49024613671023565,0.017309294124800978,True,0.0,100.0,0,5,2,safe
NN+Adam safe,0.65,f1,controllable,11.938704453361758,8.675788787312122,3.2629156660496372,3.2629156660496372,-4.1029967300756365,-8.675788787312122,-0.7365912396125274,1.0180256788053232,0.676796753877662,0.3412289249276612,0.3412289249276612,-0.3350632709367418,-0.676796753877662,-0.0676292195864403,0.06762921958644022,8.675788787312122,8.952684492131603,9.429517626181717,9.429517626181717,10.44754330498704,-10.0,1.0,0.6529860199612302,0.4905704823738183,2.9860199612301574,True,0.0,100.0,0,5,2,safe
NN+Adam safe,0.65,x_r_start,controllable,9.999999976542329,4.999999988464898,-4.99999998807743,-2.499999994086788,2.4999999941854867,4.999999988464898,0.49999999882722745,9.99999999928669,4.999999999655835,-4.999999999630855,-2.499999999816982,2.4999999998240874,4.999999999655835,0.49999999996410693,-0.49999999996410693,4.99999998807743,5.27689569289691,4.770746551453541,14.770746550740233,4.770746551453541,10.0,0.3619131195545196,0.6547231042836454,0.49522925344854646,4.7231042836454185,True,0.0,100.0,0,5,0,safe
NN+Adam safe,0.65,Kr,controllable,10.76295030748986,6.0234776167367166,6.0234776167367166,2.8223640828335395,-2.5046111693147743,-4.739472690753144,-0.5326975252148314,5.942650056467991,3.382835942338014,3.382835942338014,1.5575412837115499,-1.359310346094933,-2.559814114129977,-0.2916851629806483,0.2916851629806484,5.469686207097757,5.746581911917237,6.387910608771364,6.387910608771364,12.330560665239354,-10.0,2473.03564453125,0.6557465819119173,0.49361208939122864,5.746581911917237,True,0.0,100.0,0,5,0,safe
NN+Adam safe,0.65,hr,controllable,3.2717401246195044,2.2332259706822066,1.0385141539372977,1.0385141539372977,-1.095680562192669,-2.2332259706822066,-0.21341947161299668,1.1409398612423627,0.7625348446640978,0.37840501657826486,0.37840501657826486,-0.3822943709576032,-0.7625348446640978,-0.07606993875358681,0.07606993875358672,2.2332259706822066,2.5101216755016864,9.392341534531113,9.392341534531113,10.533281395773475,-10.0,0.1,0.6507616184491178,0.4906076584654689,0.761618449117818,True,0.0,100.0,0,5,2,safe
NN+Adam safe,0.65,Kb,physical_model,12.799078332073055,6.699961209777561,-6.699961209777561,-3.143316741100799,2.746106814526028,6.099117122295494,0.5889423555626827,5.098581136326552,2.6066620978199007,-2.4919190385066514,-1.2131063507476725,1.3239954791640085,2.6066620978199007,0.2537101829911681,-0.2537101829911682,6.699961209777561,6.9768569145970405,7.164084453289476,12.262665589616029,7.164084453289476,10.0,1100.0,0.655822221417476,0.4928359155467105,5.8222214174760145,True,0.0,100.0,0,5,0,safe
NN+Adam safe,0.65,Mb,physical_model,43.17842774498215,23.26946141233732,23.26946141233732,11.264051657967622,-10.406896741468664,-19.90896633264483,-2.1670948399436285,4.9966430030154445,2.78499811085936,2.78499811085936,1.3128970776478122,-1.1684271702219196,-2.211644892156084,-0.24813242478697317,0.24813242478697325,22.71567000269836,22.99256570751784,6.985748440250017,6.985748440250017,11.982391443265461,-10.0,18.0,0.6729925657075179,0.49301425155975,22.99256570751784,True,0.0,100.0,0,5,0,safe
NN+Adam safe,0.65,hb,physical_model,37.67359698474404,20.32604303027896,20.32604303027896,9.812773766908588,-9.16025060543657,-17.347553954465077,-1.8973024372345157,2.122242923724482,1.1707515873890517,1.1707515873890517,0.5667402115015485,-0.4992483916289592,-0.9514913363354305,-0.10659886031305077,0.10659886031305063,19.772251620640002,20.049147325459483,8.599994963720325,8.599994963720325,10.722237887444807,-10.0,0.09000000000000001,0.6700491473254595,0.4914000050362797,20.049147325459483,True,0.0,100.0,0,5,0,safe
NN+Adam safe,0.65,Mr,physical_model,38.811270575626054,19.56807881122269,-19.56807881122269,-9.99779638921594,9.529091617260455,19.243191764403367,1.9526888006476397,4.519631514482092,2.2722890712698063,-2.2473424432122857,-1.0980669536023169,1.1879062292094456,2.2722890712698063,0.22859731828117624,-0.22859731828117624,19.568078811222687,19.844974516042168,7.498457479839571,12.018088994321662,7.498457479839571,10.0,11.0,0.6689662960595839,0.49250154252016043,18.966296059583886,True,0.0,100.0,0,5,0,safe
