target_index,y_target,y_gp_pred,y_gp_std,y_sim,error_gp,error_sim,error_gp_vs_sim,extra_reach,max_xr,max_xb,constraint_violation,feasible,n_feasible_candidates,n_attempts,selection_reason,optimization_time,success,seed,param_Kb,param_Kr,param_Mb,param_hb,param_hr,param_f0,param_f1,param_A,param_x_r_start
0,0.52,0.5201766657830783,0.011435768556861974,0.5274615635050381,0.00017666578307828917,0.007461563505038127,0.007284897721959838,0.027461563505038145,0.49782780553201145,0.17090648034313483,0.0,True,5,5,best feasible simulation error,2.5034561157226562,True,1002,1000.0,4982.126496267258,20.0,0.1,0.25067507263149796,0.10069811656172259,3.9991106129525793,0.09,0.35
1,0.58,0.5800031803095623,0.01081929663133815,0.5799127430808564,3.180309562367256e-06,8.725691914357459e-05,9.043722870594184e-05,0.07991274308085639,0.4939879888005291,0.20149273849033913,0.0,True,4,5,best feasible simulation error,1.8591012954711914,True,1100,1000.0,3662.593104319886,20.0,0.1,0.28123963203271735,0.24820866754027673,2.5281152752266722,0.10118226205734344,0.36001208199170015
2,0.6,0.600001856578332,0.010784535203501193,0.5971882128524342,1.8565783320712015e-06,0.002811787147565803,0.002813643725897874,0.09718821285243417,0.48661283156153995,0.20675563910953978,0.0,True,5,5,best feasible simulation error,2.3271377086639404,True,1201,1000.0,3342.270048922885,20.0,0.1,0.3066671177623165,0.2829278364750399,2.0292355504474804,0.10213971653418215,0.3656780347429402
3,0.62,0.6200001571618067,0.010786272326569434,0.6159634971969388,1.571618066797953e-07,0.004036502803061226,0.004036659964867906,0.11596349719693877,0.48870064596182283,0.21506963709763413,0.0,True,5,5,best feasible simulation error,2.2698044776916504,True,1303,1000.0,2950.19838671802,20.0,0.1,0.30333026591028484,0.28664313279644316,1.703699796515802,0.10496855984962392,0.3698172405431865
