label,percentile,target,iteration,is_initial,y_sim,error_m,error_mm,squared_error,Kr,hr,f0,f1,A,x_r_start,best_error_m,best_error_mm,de_y_sim,de_error_m,de_error_mm
target3_p50,50,0.592779,1,True,0.6413121038454989,0.048533103845498915,48.533103845498914,0.0023554621688779815,210.76153620757796,0.6561121560247948,0.0022199880592877314,6.011842379658445,0.1990582265211235,0.42048755296726487,0.048533103845498915,48.533103845498914,0.593118,0.00033900000000008923,0.33900000000008923
target3_p50,50,0.592779,2,True,0.5183486811170216,0.07443031888297835,74.43031888297836,0.005539872369021844,707.041546024727,0.9213935694723047,0.0019531675036512097,3.384729843473103,0.1462920197576742,0.36146470022302796,0.048533103845498915,48.533103845498914,0.593118,0.00033900000000008923,0.33900000000008923
target3_p50,50,0.592779,3,True,0.6375243740224154,0.04474537402241541,44.745374022415405,0.0020021484964058475,4194.506091160474,1.017723838672917,0.004611019943160943,9.140932894750655,0.16445415212984166,0.4587236548779165,0.04474537402241541,44.745374022415405,0.593118,0.00033900000000008923,0.33900000000008923
target3_p50,50,0.592779,4,True,0.5546406979266947,0.038138302073305264,38.13830207330526,0.0014545300850346806,2634.460725723635,0.23683356008779352,0.00825949313731548,6.951831822309092,0.10029301975605097,0.40213757757355606,0.038138302073305264,38.13830207330526,0.593118,0.00033900000000008923,0.33900000000008923
target3_p50,50,0.592779,5,True,0.6362641811859417,0.0434851811859418,43.4851811859418,0.0018909609827741868,1188.5920864338566,0.8805361292148032,0.0075579462063102365,8.56933736394894,0.13845710507932452,0.4863390209351509,0.038138302073305264,38.13830207330526,0.593118,0.00033900000000008923,0.33900000000008923
target3_p50,50,0.592779,6,True,0.6532391141838225,0.06046011418382258,60.460114183822576,0.003655425407120864,1695.0665436051697,0.103249026756579,0.00670743289544323,7.6406782057755915,0.11530444188724193,0.3162105728183143,0.038138302073305264,38.13830207330526,0.593118,0.00033900000000008923,0.33900000000008923
target3_p50,50,0.592779,7,True,0.676100899357565,0.08332189935756507,83.32189935756506,0.006942538912552202,2486.3384623856186,0.5524295073774066,0.0058153597444396245,4.631130203722243,0.1756284808112767,0.46334643607884324,0.038138302073305264,38.13830207330526,0.593118,0.00033900000000008923,0.33900000000008923
target3_p50,50,0.592779,8,True,0.4757352454417098,0.11704375455829014,117.04375455829013,0.013699240481101263,4656.8701000188985,0.7687633358617959,0.0032360627966187515,9.436664949752238,0.12612521620969827,0.3342334379213951,0.038138302073305264,38.13830207330526,0.593118,0.00033900000000008923,0.33900000000008923
target3_p50,50,0.592779,9,True,0.572552367136311,0.020226632863688976,20.226632863688977,0.0004091166770024629,3685.577203052262,0.386024751639069,0.0008920908795496429,4.394846411174296,0.18213075622497862,0.34670298286815937,0.020226632863688976,20.226632863688977,0.593118,0.00033900000000008923,0.33900000000008923
target3_p50,50,0.592779,10,True,0.5932746670402713,0.0004956670402713748,0.49566704027137476,2.4568581481138465e-07,3184.4689644730956,0.42192709689780317,0.009545673382217044,5.401881162832975,0.15860203001872344,0.39770939852928056,0.0004956670402713748,0.49566704027137476,0.593118,0.00033900000000008923,0.33900000000008923
target3_p50,50,0.592779,11,False,0.554705910723366,0.038073089276634,38.073089276634,0.0014495601270665427,777.8124435686412,0.8743359011830512,0.0012454712563633517,5.730438131095704,0.1998609515011916,0.33851816464618195,0.0004956670402713748,0.49566704027137476,0.593118,0.00033900000000008923,0.33900000000008923
target3_p50,50,0.592779,12,False,0.5482504932318557,0.04452850676814424,44.52850676814424,0.0019827879150006674,1751.2338011068516,0.946551185976985,0.009207160224738263,3.153510600273309,0.10982564105470008,0.4286456934180366,0.0004956670402713748,0.49566704027137476,0.593118,0.00033900000000008923,0.33900000000008923
target3_p50,50,0.592779,13,False,0.55098838312015,0.04179061687984997,41.79061687984997,0.0017464556591984014,2840.927597174569,0.5603744671257928,0.009471434435396943,5.967875468422183,0.1544898814072852,0.36674723997691117,0.0004956670402713748,0.49566704027137476,0.593118,0.00033900000000008923,0.33900000000008923
target3_p50,50,0.592779,14,False,0.5338681244528144,0.05891087554718555,58.91087554718555,0.003470491257735984,3524.687709784887,0.822335716875563,0.009985629227187003,5.553592993453919,0.12196393995984063,0.3963726023879498,0.0004956670402713748,0.49566704027137476,0.593118,0.00033900000000008923,0.33900000000008923
target3_p50,50,0.592779,15,False,0.6749444045716777,0.08216540457167776,82.16540457167775,0.006751153708427484,733.233323215567,0.42233024238901595,0.009335483880371172,9.852747620320002,0.18604789594200932,0.4289022002273267,0.0004956670402713748,0.49566704027137476,0.593118,0.00033900000000008923,0.33900000000008923
target3_p50,50,0.592779,16,False,0.6513276066243319,0.05854860662433192,58.548606624331924,0.0034279393376507638,4765.988663311716,0.9783058738565458,0.009933622243806292,8.172680342188322,0.1622057495227272,0.4746940215631909,0.0004956670402713748,0.49566704027137476,0.593118,0.00033900000000008923,0.33900000000008923
target3_p50,50,0.592779,17,False,0.6567591259707222,0.06398012597072222,63.98012597072223,0.004093456519229485,823.5452160080657,0.13779890835025746,0.0055652400333342684,5.303229039217301,0.14381099471782277,0.37999186688853315,0.0004956670402713748,0.49566704027137476,0.593118,0.00033900000000008923,0.33900000000008923
target3_p50,50,0.592779,18,False,0.5565898591678271,0.03618914083217284,36.18914083217284,0.0013096539141708395,670.8498725472878,0.49385811281707404,0.009440027950934774,3.865638456665917,0.16269958583336347,0.34288477431962716,0.0004956670402713748,0.49566704027137476,0.593118,0.00033900000000008923,0.33900000000008923
target3_p50,50,0.592779,19,False,0.7779233375713809,0.18514433757138093,185.14433757138093,0.03427842573474546,1646.022075621298,0.11521747289802611,0.009163976768749808,3.8684283136153828,0.1596483751668027,0.3477009998880302,0.0004956670402713748,0.49566704027137476,0.593118,0.00033900000000008923,0.33900000000008923
target3_p50,50,0.592779,20,False,0.6289063093301706,0.03612730933017061,36.12730933017061,0.0013051824794378323,3155.9764731973455,0.5622646223517369,0.001028735552517775,6.259497241567612,0.1510902728932309,0.4502721173310823,0.0004956670402713748,0.49566704027137476,0.593118,0.00033900000000008923,0.33900000000008923
target3_p50,50,0.592779,21,False,0.5928182680665791,3.9268066579167815e-05,0.039268066579167815,1.5419810528659563e-09,3482.193395963857,0.43035881226420136,0.009748381102507945,5.1851155121253685,0.11213105562341644,0.45542734978755484,3.9268066579167815e-05,0.039268066579167815,0.593118,0.00033900000000008923,0.33900000000008923
target3_p50,50,0.592779,22,False,0.6272510454561456,0.034472045456145683,34.472045456145686,0.0011883219179305742,1302.9118891313985,0.22503677352890009,0.002773803066595328,5.900387458380583,0.10298809081348831,0.4766737788338984,3.9268066579167815e-05,0.039268066579167815,0.593118,0.00033900000000008923,0.33900000000008923
target3_p50,50,0.592779,23,False,0.5723325503341273,0.020446449665872612,20.446449665872613,0.0004180573039390623,4031.259885136212,0.480853019986355,0.009638405726572015,8.65122596240039,0.18756702960603822,0.3517860554202022,3.9268066579167815e-05,0.039268066579167815,0.593118,0.00033900000000008923,0.33900000000008923
target3_p50,50,0.592779,24,False,0.6547939477888483,0.06201494778884831,62.0149477888483,0.0038458537492535817,4270.688362811474,0.2948107346460581,0.007872963004084441,3.074657103286057,0.1800079591571906,0.42361802476207705,3.9268066579167815e-05,0.039268066579167815,0.593118,0.00033900000000008923,0.33900000000008923
target3_p50,50,0.592779,25,False,0.6616964480144133,0.06891744801441335,68.91744801441335,0.004749614640819366,2487.840968572628,0.28657265725979775,0.009922975094275524,6.766939241353385,0.1539663499362257,0.46407566514697,3.9268066579167815e-05,0.039268066579167815,0.593118,0.00033900000000008923,0.33900000000008923
target3_p50,50,0.592779,26,False,0.4757045578809422,0.11707444211905776,117.07444211905776,0.013706424997488607,3590.0831812550723,0.2528266968606092,0.0024388737396760602,5.463867505459913,0.1158546692820881,0.3058496414229771,3.9268066579167815e-05,0.039268066579167815,0.593118,0.00033900000000008923,0.33900000000008923
target3_p50,50,0.592779,27,False,0.7836835850213009,0.19090458502130092,190.90458502130093,0.03644456058215511,549.097875527564,0.13541363313763646,0.002943856438484942,3.0142856810833747,0.17079745738290258,0.41809058526312204,3.9268066579167815e-05,0.039268066579167815,0.593118,0.00033900000000008923,0.33900000000008923
target3_p50,50,0.592779,28,False,0.9149986252965436,0.3222196252965437,322.2196252965437,0.10382548692624502,148.741203729338,0.1574315539155358,0.007112829615560147,6.65089655764884,0.194461623406481,0.4299894438277324,3.9268066579167815e-05,0.039268066579167815,0.593118,0.00033900000000008923,0.33900000000008923
target3_p50,50,0.592779,29,False,0.6207660761754255,0.027987076175425507,27.987076175425507,0.00078327643284907,404.5883139653923,1.0604545943930588,0.0020787256917050288,4.123824985646647,0.12901699095158772,0.4906185025329776,3.9268066579167815e-05,0.039268066579167815,0.593118,0.00033900000000008923,0.33900000000008923
target3_p50,50,0.592779,30,False,0.5388944701522451,0.053884529847754825,53.88452984775483,0.0029035425569135806,132.0067631800373,0.5674015458148092,0.009767277589295542,5.752495488848997,0.10080918424296792,0.42449823692791855,3.9268066579167815e-05,0.039268066579167815,0.593118,0.00033900000000008923,0.33900000000008923
target3_p50,50,0.592779,31,False,0.59403722413636,0.0012582241363600088,1.2582241363600088,1.5831279773188902e-06,4160.973754762128,0.3578949848970767,0.0019190170985625495,5.046023070388607,0.17268871845832623,0.3824994413933012,3.9268066579167815e-05,0.039268066579167815,0.593118,0.00033900000000008923,0.33900000000008923
target3_p50,50,0.592779,32,False,0.6195022864636658,0.02672328646366584,26.72328646366584,0.000714134039419146,397.3929377984861,0.37185046210975703,0.009120726917991616,8.262958869768045,0.1413172865307376,0.414376688727766,3.9268066579167815e-05,0.039268066579167815,0.593118,0.00033900000000008923,0.33900000000008923
target3_p50,50,0.592779,33,False,0.6929774693410385,0.1001984693410386,100.1984693410386,0.010039733258287052,4764.78449175406,1.0878435994084397,0.00940146289832512,6.110461922234462,0.18453577892256337,0.4921741648501205,3.9268066579167815e-05,0.039268066579167815,0.593118,0.00033900000000008923,0.33900000000008923
target3_p50,50,0.592779,34,False,0.7556452602711371,0.16286626027113715,162.86626027113715,0.026525418734705788,2118.324933071891,0.11790237567612008,0.00017603121389747834,3.139638959714031,0.10233843102482547,0.47362612757719463,3.9268066579167815e-05,0.039268066579167815,0.593118,0.00033900000000008923,0.33900000000008923
