model,description,peak_y_rmse_mm,peak_y_mae_mm,peak_y_r2,peak_y_high_outreach_n,peak_y_high_outreach_rmse_mm,peak_y_high_outreach_mae_mm,max_abs_xr_rmse_mm,max_abs_xr_mae_mm,max_abs_xr_r2,constraint_accuracy_percent,false_feasible_percent,false_infeasible_percent,near_boundary_n,near_boundary_rmse_mm,near_boundary_mae_mm,near_boundary_accuracy_percent,near_boundary_false_feasible_percent
GP pair,Two independent Gaussian Processes,13.1472602840915,5.6793827769901,0.9813464964619084,175,21.442244176132387,8.640520076665453,3.9679584724279193,1.702863288040572,0.994890430336681,98.83333333333331,0.5,0.6666666666666601,214.0,1.959210088007726,1.1781495956869894,96.72897196261684,1.4018691588785
NN multi-output,One PyTorch MLP with two outputs,15.502470114624176,6.184765353509502,0.97406467482924,175,26.78641569716233,10.798073993433581,4.385534145559292,2.2668984962673977,0.9937584122362186,97.5,1.0,1.5,214.0,2.4083293222803674,1.6767265153261055,92.99065420560748,2.803738317757
