feature,importance,rank
A,0.4922894946353584,1
Mb,0.24692168312326634,2
hb,0.09094701060574963,3
hr,0.07668366707399644,4
x_r_start,0.05048903209038603,5
f1,0.017156849444355686,6
Kb,0.013232552597483113,7
Kr,0.006641559552463983,8
f0,0.005638150876940479,9
