model,train_rmse_m,train_mae_m,train_r2,test_rmse_m,test_mae_m,test_r2,high_rmse_m,high_mae_m,high_r2,high_n,mean_error_m,std_error_m,max_abs_error_m,mean_pred_std_m,train_time_s,prediction_time_s,has_uncertainty,train_rmse_mm,train_mmae_mm,test_rmse_mm,test_mmae_mm,high_rmse_mm,high_mmae_mm,mean_error_mm,std_error_mm,max_abs_error_mm,mean_pred_std_mm
Gaussian Process,0.008711638559169808,0.004125338482041445,0.9929349913023329,0.01631357641182423,0.007362635128076065,0.9759963078651542,0.015471665888315491,0.00790958982630166,0.9479705917516001,110,0.0015132277977181392,0.01624324219411387,0.18371923232014276,0.013686297841798723,,0.1018531322479248,True,8.711638559169808,4.125338482041445,16.31357641182423,7.3626351280760645,15.471665888315492,7.90958982630166,1.5132277977181392,16.24324219411387,183.71923232014277,13.686297841798723
Random Forest,0.010103344293265568,0.006917524128876003,0.9904973811650445,0.028512118649126825,0.01874221019647886,0.9266772636369509,0.0353808353582101,0.025354858417379895,0.7279110559101488,110,-4.562553017639255e-05,0.028512082143766385,0.15436189467403116,,0.6696624755859375,0.14739608764648438,False,10.103344293265568,6.917524128876003,28.512118649126826,18.742210196478858,35.3808353582101,25.354858417379894,-0.04562553017639255,28.512082143766385,154.36189467403116,
