Model,peak_y RMSE [mm],peak_y R2,High-outreach RMSE [mm],max_abs_xr RMSE [mm],max_abs_xr R2,Constraint accuracy [%],False feasible [%],Near-boundary RMSE [mm],Near-boundary false feasible [%]
GP pair,13.147,0.981,21.442,3.701,0.996,99.0,0.333,2.169,0.935
NN multi-output,15.502,0.974,26.786,4.386,0.994,97.5,1.0,2.408,2.804
