model,batch_size,mean_time_ms,std_time_ms,time_per_sample_us
GP pair,1,0.4115399904549122,0.011540317532220156,411.5399904549122
NN multi-output,1,0.32560001127421856,0.007580981029500259,325.60001127421856
GP pair,1000,124.62714007124305,5.010626836423358,124.62714007124305
NN multi-output,1000,0.8565799798816442,0.029778254163266557,0.8565799798816442
GP pair,10000,1157.4591600801796,29.946258377104645,115.74591600801796
NN multi-output,10000,5.3489599376916885,0.23073915868462422,0.5348959937691689
