method,n_targets,feasible_targets,feasibility_rate_percent,mean_target_error_mm,median_target_error_mm,max_target_error_mm,mean_true_max_abs_xr_m,max_true_max_abs_xr_m,mean_residual_margin_mm,min_residual_margin_mm,mean_constraint_violation_abs_mm,max_constraint_violation_abs_mm,offline_simulator_calls,online_simulator_calls_total,online_simulator_calls_per_target_mean,total_simulator_calls_equivalent,total_optimization_time_s,mean_optimization_time_s_per_target,mean_surrogate_function_evaluations,total_surrogate_function_evaluations,reachable_targets,high_targets,mean_error_reachable_targets_mm,max_error_reachable_targets_mm,mean_error_high_targets_mm,max_error_high_targets_mm
GP+DE beta=0.5,5,5,100.0,25.44394332086799,6.806405094409551,82.03034778221463,0.4863428100093608,0.4961694687224863,13.657189990639262,3.8305312775137046,0.0,0.0,3000,125,25.0,3125,196.26350283622742,39.25270056724548,13171.6,65858.0,0.55-0.65,0.70-0.75,3.4090544042772635,6.806405094409551,58.49627669575408,82.03034778221463
NN+Adam safe,5,5,100.0,20.433972751488838,0.2768957048181475,75.68821212996801,0.48406193141185627,0.4970457383434024,15.938068588143784,2.954261656597623,0.0,0.0,3000,250,50.0,3250,7.150393724441528,1.4300787448883057,160200.0,801000.0,0.55-0.65,0.70-0.75,0.20038715532733062,0.2768957048181475,50.784351145731094,75.68821212996801
BO mean,5,5,100.0,22.18626038972653,0.3082334544364795,78.72555590349172,0.4918879672889084,0.49983244697327467,8.112032711091633,0.16755302672535888,0.0,0.0,0,2000,400.0,2000,840.0108254000079,168.0021650800016,,0.0,0.55-0.65,0.70-0.75,0.14823334308618666,0.3082334544364795,55.24330095968705,78.72555590349172
Random Search mean,5,5,100.0,31.852676361403912,4.203742522044696,101.90946024078818,0.49006174088640736,0.4980518808431405,9.938259113592556,1.9481191568594958,0.0,0.0,0,2000,400.0,2000,426.86011315206997,85.372022630414,,0.0,0.55-0.65,0.70-0.75,1.814820441814413,4.203742522044696,76.90946024078815,101.90946024078818
