method,reachable_targets,high_targets,mean_error_reachable_targets_mm,max_error_reachable_targets_mm,mean_error_high_targets_mm,max_error_high_targets_mm
GP+DE beta=0.5,0.55-0.65,0.70-0.75,3.4090544042772635,6.806405094409551,58.49627669575408,82.03034778221463
NN+Adam safe,0.55-0.65,0.70-0.75,0.20038715532733062,0.2768957048181475,50.784351145731094,75.68821212996801
BO mean,0.55-0.65,0.70-0.75,0.14823334308618666,0.3082334544364795,55.24330095968705,78.72555590349172
Random Search mean,0.55-0.65,0.70-0.75,1.814820441814413,4.203742522044696,76.90946024078815,101.90946024078818
