quantity,mean_mm,std_mm,min_mm,p05_mm,p50_mm,p95_mm,max_mm
peak_y_std,8.195052011680664,0.14402272681552702,8.000755578772196,8.044565430383562,8.1578688632012,8.463310331504832,9.45890831873749
max_abs_xr_std,3.235512988951835,0.2701740954324833,2.754121073904147,2.9355673095552635,3.171345237535129,3.773832273282576,4.967070514195875
