Kb,Kr,Mb,hb,hr,f0,f1,A,x_r_start,peak_y_pred,peak_y_std,max_abs_xr_pred,max_abs_xr_std
1000.0,2126.2718478640268,20.0,0.1,0.32396960800030405,0.2635439404002198,2.111501581324144,0.10064752002928953,0.38952591229266326,0.6196352114148879,0.008075998400209918,0.5130458177757863,0.003386017508525326
1000.0,4668.003428370109,20.0,0.1,0.16207361713806703,0.32847468093979615,1.8949083020667077,0.1190088660048717,0.3959925080268639,0.6638912250517477,0.00838944077990368,0.5357036648172184,0.003679155196202519
1000.0,3725.54781450628,20.0,0.1,0.36345623397768034,0.2803037937128231,3.47768577512671,0.10345141636200308,0.3669406226656881,0.5799565389183238,0.008068067304343502,0.49006983920177627,0.0033624865934620616
1000.0,2472.6472542505567,20.0,0.1,0.1792165698951912,0.28403589517083694,2.2927361820532943,0.10989541861417786,0.35064202411834033,0.6057555639194371,0.008088883825437501,0.5275149931320585,0.003343057899236981
1000.0,3066.956655385523,20.0,0.1,0.22781328039633697,0.16838915995504392,2.7845976130181587,0.10305939467851934,0.3649995751872575,0.5919152588354205,0.008042593392855561,0.5316148275433591,0.0033668727311764557
1000.0,2232.9564243267687,20.0,0.1,0.40611842001726284,0.3791118104325014,2.820129030054937,0.10035301736001875,0.39734098954898245,0.6138004822941442,0.008124122653572268,0.509795840760121,0.0033681721992217693
1000.0,3471.8208107589094,20.0,0.1,0.2514669588669832,0.4151573596514777,1.958025411705587,0.1108798461040135,0.3656910163631185,0.6194076197926452,0.008048744150156729,0.4977333723067494,0.0033297483860940573
1000.0,2415.4356620913,20.0,0.1,0.3452943113252994,0.1797621926175752,2.4793309689546423,0.10740085359061669,0.3594453182377229,0.596415564562644,0.008060285380107009,0.49051137192581706,0.003350974202287241
1000.0,4059.3423042545564,20.0,0.1,0.2919690726186206,0.31752614086907816,2.1164329503904895,0.10260579779761901,0.3747414838958528,0.6004690200781967,0.008028310684640258,0.49533147930993815,0.0033341672566096422
1000.0,3144.8981934215944,20.0,0.1,0.3364737279973681,0.3020121265736697,2.248811928977399,0.09005407060820457,0.38970155303877524,0.5888964197875259,0.008096721298421589,0.49678040359378595,0.0033592589804827106
1000.0,3317.8447740051743,20.0,0.1,0.21429063233394452,0.2749842578439179,1.2803378004838541,0.11714112217660058,0.3994868083792252,0.695992407015666,0.008196969039727855,0.5340353716711532,0.0034298341035599775
1000.0,1705.5732613045404,20.0,0.1,0.2253809265069835,0.3555226022366792,1.942714393653648,0.10701149275093347,0.3708285481157515,0.632838938349073,0.008111837173336021,0.5278075359543036,0.003417760756985796
1000.0,4209.742551708063,20.0,0.1,0.43546254033741183,0.41093839921083686,2.8628063956001486,0.09480822938004209,0.39735310416558317,0.5962704802992996,0.008231380821250618,0.5002484395624178,0.003490849988156644
1000.0,1582.7135003512162,20.0,0.1,0.20419830974730152,0.19856472258520852,3.015477945168114,0.10462089198217533,0.35464442743787233,0.5987562014237767,0.008213073882086204,0.5559072933023398,0.00351977987266027
1000.0,1545.0026071072562,20.0,0.1,0.31151051137077324,0.2720191663193241,2.8041463640212037,0.10692071591596602,0.394522955414984,0.6387595276877385,0.00814475153328321,0.5344685077152015,0.0034326269182635405
1000.0,4714.389002547088,20.0,0.1,0.16589000638582774,0.42974230431468696,3.3631798789683507,0.10917078756668899,0.3829803633745475,0.6087103441885384,0.008118322654056292,0.5912610316347147,0.00338658133217234
1000.0,3411.210804652249,20.0,0.1,0.4210421548749942,0.18164212217004855,2.7979479768087425,0.11442729185614951,0.3567380725810565,0.595820835778195,0.008128277738007113,0.48327045658714624,0.0033864526583602503
1000.0,3654.2789602560347,20.0,0.1,0.24099171643535086,0.368112719513199,1.2031430818616218,0.1082044314310261,0.39285393449933237,0.6640342272895615,0.00811393460891554,0.5153901915782233,0.003376166676814961
1000.0,3699.217518270817,20.0,0.1,0.21246819340873224,0.3295286195726612,2.0144585282080323,0.1100577836523027,0.35641722007210264,0.6040212146596499,0.008061839853820807,0.48967646704867923,0.003334944664683439
