method,target,attempt,success,message,objective_value,optimization_time_s,surrogate_function_evaluations,true_simulator_calls_online,offline_dataset_calls,peak_y_pred,peak_y_std,max_abs_xr_pred,max_abs_xr_std,constraint_value_m,predicted_violation_m,predicted_safety_violation_m,predicted_safety_violation_mm,tracking_cost,constraint_cost,peak_y_uncertainty_cost,max_abs_xr_uncertainty_cost,tracking_error_scaled,predicted_violation_scaled,peak_y_true,target_error_m,target_error_mm,target_error_pred_m,gp_peak_y_error_vs_true_m,gp_peak_y_error_vs_true_mm,gp_peak_y_error_signed_mm,gp_max_abs_xr_error_vs_true_mm,gp_max_abs_xr_error_signed_mm,reachability_gap_mm,max_abs_xr_true,constraint_violation_abs_m,constraint_violation_abs_mm,feasible_abs,extra_reach_true,max_abs_xb_true,robot_limit_true,robot_limit_opt,lambda_constraint,lambda_uncertainty_peak_y,lambda_uncertainty_max_abs_xr,beta_constraint_std,Kb,Kr,Mb,hb,hr,f0,f1,A,x_r_start,Mr
GP_DE,0.55,1,False,Maximum number of iterations has been exceeded.,0.07808849118341574,46.90667223930359,13096,1,3000,0.5500040366667662,0.008134482548049144,0.45791957194149957,0.003354229608806315,0.45791957194149957,0.0,0.0,0.0,1.62946785812052e-07,0.0,0.03308490316225805,0.04500342507437186,0.00040366667661828615,0.0,0.5487408340362243,0.0012591659637757324,1.2591659637757324,4.0366667661828615e-06,0.0012632026305419153,1.2632026305419153,1.2632026305419153,0.5271878025049914,0.5271878025049914,1.2591659637757324,0.4573923841389946,0.0,0.0,True,0.04874083403622431,0.18310124279751408,0.5,0.495,10.0,0.05,0.1,0.0,1000.0,3455.577184545128,20.0,0.1,0.4125727968131361,0.27571443413034347,3.3153554116689095,0.09674140912129126,0.3509562617206742,10.0
GP_DE,0.55,2,False,Maximum number of iterations has been exceeded.,0.07815479844999385,40.77464747428894,13159,1,3000,0.5500049695466179,0.008134843541427876,0.4742766633902053,0.0033565872461587586,0.4742766633902053,0.0,0.0,0.0,2.4696393587316367e-07,0.0,0.033087839721755406,0.04506671176430256,0.0004969546617883402,0.0,0.5592531946974643,0.009253194697464218,9.253194697464217,4.9695466178834025e-06,0.009248225150846334,9.248225150846334,-9.248225150846334,3.6658471299857998,-3.6658471299857998,0.0,0.4779425105201911,0.0,0.0,True,0.05925319469746426,0.1900142997990427,0.5,0.495,10.0,0.05,0.1,0.0,1000.0,3498.424361720483,20.0,0.1,0.18088952294200145,0.21878784067185833,2.256009323257853,0.09224824531866654,0.35,10.0
GP_DE,0.55,3,False,Maximum number of iterations has been exceeded.,0.07808860116954572,42.97571015357971,13103,1,3000,0.5500040778329454,0.008134373286200376,0.4579915808801981,0.0033542667046131437,0.4579915808801981,0.0,0.0,0.0,1.6628721529896832e-07,0.0,0.03308401437962515,0.04500442050270528,0.0004077832945315052,0.0,0.5487600068732112,0.0012399931267887965,1.2399931267887965,4.077832945315052e-06,0.0012440709597341115,1.2440709597341115,1.2440709597341115,0.5216502379096211,0.5216502379096211,1.2399931267887965,0.45746993064228847,0.0,0.0,True,0.04876000687321125,0.18294147359973018,0.5,0.495,10.0,0.05,0.1,0.0,1000.0,3455.0886550377236,20.0,0.1,0.41251904197560574,0.27524653891906703,3.3140094744780897,0.09664628696102955,0.3511308905450574,10.0
GP_DE,0.55,4,False,Maximum number of iterations has been exceeded.,0.07808844490427837,41.91709327697754,13124,1,3000,0.5500040879375623,0.0081348977060207,0.45794958303978156,0.0033541018711509348,0.45794958303978156,0.0,0.0,0.0,1.6711233512740185e-07,0.0,0.03308828034371043,0.044999997448232805,0.00040879375622360214,0.0,0.5487576004156217,0.0012423995843783286,1.2423995843783286,4.0879375622360214e-06,0.0012464875219405647,1.2464875219405647,1.2464875219405647,0.549334692053205,0.549334692053205,1.2423995843783286,0.45740024834772836,0.0,0.0,True,0.048757600415621716,0.18298492338026043,0.5,0.495,10.0,0.05,0.1,0.0,1000.0,3453.13749012349,20.0,0.1,0.4128486268113279,0.2751517015962629,3.3146136516737905,0.0966839774241622,0.3510770293975288,10.0
GP_DE,0.55,5,False,Maximum number of iterations has been exceeded.,0.07782654973374532,41.12061524391174,13166,1,3000,0.5500052331284772,0.008094197421022981,0.4901087668979959,0.0033566448997533684,0.4901087668979959,0.0,0.0,0.0,2.7385633657952347e-07,0.0,0.03275801594524754,0.0450682599321612,0.0005233128477111215,0.0,0.5479544159129036,0.0020455840870964304,2.0455840870964304,5.233128477111215e-06,0.0020508172155735416,2.0508172155735416,2.0508172155735416,0.32697148776184015,-0.32697148776184015,2.0455840870964304,0.4904357383857577,0.0,0.0,True,0.047954415912903614,0.18394021455405615,0.5,0.495,10.0,0.05,0.1,0.0,1000.0,3577.0521403564103,20.0,0.1,0.2745953893265284,0.23618515547173927,3.1886073871268246,0.09375707388709735,0.35,10.0
GP_DE,0.6,1,False,Maximum number of iterations has been exceeded.,0.07474458721573954,44.48814392089844,13250,1,3000,0.600001086161488,0.008001309199158892,0.4897954966188129,0.0032685662364406584,0.4897954966188129,0.0,0.0,0.0,1.1797467779560175e-08,0.0,0.03201047445027236,0.0427341009679994,0.00010861614879731363,0.0,0.6023290300303739,0.00232903003037388,2.32903003037388,1.0861614879731363e-06,0.0023279438688859067,2.3279438688859067,-2.3279438688859067,0.4881016430929308,0.4881016430929308,0.0,0.48930739497571996,0.0,0.0,True,0.10232903003037386,0.2088915480152456,0.5,0.495,10.0,0.05,0.1,0.0,1000.0,3186.3526256243513,20.0,0.1,0.33849364963173234,0.2689076427852126,2.072593574070797,0.10409289044221522,0.36830954081499334,10.0
GP_DE,0.6,2,False,Maximum number of iterations has been exceeded.,0.07474506975869627,47.008339643478394,13117,1,3000,0.6000010491557684,0.008000656207318104,0.4898268811668969,0.0032687845171244143,0.4898268811668969,0.0,0.0,0.0,1.1007278263111558e-08,0.0,0.03200524987384885,0.04273980887756915,0.00010491557683733888,0.0,0.6023581833222134,0.002358183322213381,2.358183322213381,1.0491557683733888e-06,0.0023571341664450074,2.3571341664450074,-2.3571341664450074,0.420123709630682,0.420123709630682,0.0,0.4894067574572662,0.0,0.0,True,0.10235818332221336,0.2091322712800834,0.5,0.495,10.0,0.05,0.1,0.0,1000.0,3207.0332198292817,20.0,0.1,0.3382945672836828,0.2601540868217909,2.0727165595710657,0.10421630519890705,0.3682472065135049,10.0
GP_DE,0.6,3,False,Maximum number of iterations has been exceeded.,0.07474410626375153,42.01995491981506,13313,1,3000,0.600001029984022,0.008000775515328129,0.49001857928255765,0.0032687111845398496,0.49001857928255765,0.0,0.0,0.0,1.0608670857231459e-08,0.0,0.03200620442333704,0.04273789123174363,0.00010299840220717726,0.0,0.6022491777493452,0.002249177749345188,2.249177749345188,1.0299840220717726e-06,0.0022481477653231163,2.2481477653231163,-2.2481477653231163,0.47912025155483207,0.47912025155483207,0.0,0.4895394590310028,0.0,0.0,True,0.10224917774934517,0.20861320355871765,0.5,0.495,10.0,0.05,0.1,0.0,1000.0,3204.8135570977515,20.0,0.1,0.3395434912818051,0.2633934170328343,2.077188156488281,0.10403378842072938,0.36871264687306077,10.0
GP_DE,0.6,4,False,Maximum number of iterations has been exceeded.,0.07474344705726631,40.925151348114014,13096,1,3000,0.6000011159348242,0.008000849584168959,0.4897826485216158,0.0032686632424399694,0.4897826485216158,0.0,0.0,0.0,1.2453105318935656e-08,0.0,0.032006797034248295,0.042736637569912694,0.00011159348242140155,0.0,0.6023544493735429,0.0023544493735428995,2.3544493735428995,1.1159348242140155e-06,0.0023533334387186855,2.3533334387186855,-2.3533334387186855,0.4963129418871226,0.4963129418871226,0.0,0.48928633557972867,0.0,0.0,True,0.10235444937354288,0.20879060226148338,0.5,0.495,10.0,0.05,0.1,0.0,1000.0,3201.0201127238615,20.0,0.1,0.33953281560094867,0.2669028594296757,2.070668700675555,0.10404957294019904,0.3685244337253383,10.0
GP_DE,0.6,5,False,Maximum number of iterations has been exceeded.,0.07475093017269449,41.34802269935608,13096,1,3000,0.6000011208805311,0.008000867165954289,0.4894851357112239,0.0032689440154788567,0.4894851357112239,0.0,0.0,0.0,1.2563731651539226e-08,0.0,0.03200693770362271,0.04274397990534013,0.00011208805311690995,0.0,0.6025112142689685,0.002511214268968498,2.511214268968498,1.1208805311690995e-06,0.002510093388437329,2.510093388437329,-2.510093388437329,0.5185181304583897,0.5185181304583897,0.0,0.4889666175807655,0.0,0.0,True,0.10251121426896848,0.20861578535790232,0.5,0.495,10.0,0.05,0.1,0.0,1000.0,3200.8655783489494,20.0,0.1,0.3401407249152169,0.27110397397825964,2.0560937088727496,0.10389094252851179,0.3686529606633628,10.0
GP_DE,0.65,1,False,Maximum number of iterations has been exceeded.,0.0762106597644494,40.75032687187195,13208,1,3000,0.6499942270252402,0.008068108047792913,0.4950001806997857,0.0033039041184513146,0.4950001806997857,1.8069978569013045e-07,1.8069978569013045e-07,0.00018069978569013045,3.3327237577147994e-07,1.306096501938363e-08,0.032547183735430384,0.04366312969567823,-0.0005772974759787886,3.613995713802609e-05,0.6427895090749337,0.007210490925066315,7.210490925066315,5.7729747597878855e-06,0.007204717950306527,7.204717950306527,7.204717950306527,0.36725667409170937,-0.36725667409170937,7.210490925066315,0.4953674373738774,0.0,0.0,True,0.1427895090749337,0.23520830243118585,0.5,0.495,10.0,0.05,0.1,0.0,1000.0,2854.68640035395,20.0,0.1,0.18726402961662575,0.31526604742243985,1.1931749165912386,0.10895829728848,0.3675062249335208,10.0
