budget,n_runs,n_targets,feasibility_rate_percent,mean_target_error_mm,median_target_error_mm,std_target_error_mm,max_target_error_mm,mean_residual_margin_mm,min_residual_margin_mm,mean_best_iteration
50,4,2,100.0,49.52390693418509,49.76314385022729,53.1851917885123,97.44957439124069,4.289360607074438,1.4462439603786237,33.5
100,4,2,100.0,43.300794452914985,40.03561648075238,50.01157855429475,93.05349587845157,3.0665867671909597,0.2540226477512064,72.75
150,4,2,100.0,42.61915725518308,38.676744449786966,49.54737004473113,93.05349587845157,4.074260385696526,0.2540226477512064,106.0
200,4,2,100.0,39.39980125534848,38.676744449786966,45.424912205149184,80.17607187911312,4.263522788551133,1.011072259169632,129.0
