sample_index,y_achieved,error,extra_reach,max_xr,max_xb,constraint_violation,feasible,noise_Kb,noise_Mb,noise_hb,param_Kb,param_Kr,param_Mb,param_hb,param_hr,param_f0,param_f1,param_A,param_x_r_start
0,0.62030913069977,0.0003091306997700105,0.12030913069977,0.4895689361697321,0.21800958032913764,0.0,True,0.015235853987721568,-0.05199920531202478,0.03752255979032287,1015.2358539877215,2950.19838671802,18.960015893759504,0.10375225597903229,0.3033302659102848,0.2866431327964431,1.703699796515802,0.1049685598496239,0.3698172405431865
1,0.6457545415779198,0.025754541577919787,0.14575454157791978,0.4915176237406204,0.24522869814868042,0.0,True,0.0470282358195607,-0.09755175943269183,-0.06510897534311591,1047.0282358195607,2950.19838671802,18.048964811346163,0.09348910246568842,0.3033302659102848,0.2866431327964431,1.703699796515802,0.1049685598496239,0.3698172405431865
2,0.618786993310285,0.0012130066897150238,0.11878699331028497,0.489112222169033,0.21675845636670238,0.0,True,0.006392020158364269,-0.01581212961717911,-0.0008400578752144398,1006.3920201583643,2950.19838671802,19.683757407656415,0.09991599421247856,0.3033302659102848,0.2866431327964431,1.703699796515802,0.1049685598496239,0.3698172405431865
3,0.6019138357296367,0.018086164270363247,0.10191383572963675,0.48921791385129587,0.2016121800545943,0.0,True,-0.04265219637867901,0.04396989874314143,0.03888959677144742,957.347803621321,2950.19838671802,20.879397974862826,0.10388895967714473,0.3033302659102848,0.2866431327964431,1.703699796515802,0.1049685598496239,0.3698172405431865
4,0.6042947160542403,0.01570528394575965,0.10429471605424034,0.4890511815917992,0.20181514398028158,0.0,True,0.0033015348780608025,0.056362060348401646,0.023375467112602282,1003.3015348780607,2950.19838671802,21.127241206968034,0.10233754671126023,0.3033302659102848,0.2866431327964431,1.703699796515802,0.1049685598496239,0.3698172405431865
5,0.6170910634203123,0.0029089365796877154,0.11709106342031228,0.48876736375329427,0.2195249679033054,0.0,True,-0.04296462314416191,0.018437539204124942,-0.04794413004144995,957.0353768558381,2950.19838671802,20.3687507840825,0.09520558699585502,0.3033302659102848,0.2866431327964431,1.703699796515802,0.1049685598496239,0.3698172405431865
6,0.6191365017517069,0.0008634982482931264,0.11913650175170687,0.4895229611482037,0.21783645453502706,0.0,True,0.043922515065363626,-0.002496295549312645,-0.009243118177263029,1043.9225150653638,2950.19838671802,19.950074089013746,0.0990756881822737,0.3033302659102848,0.2866431327964431,1.703699796515802,0.1049685598496239,0.3698172405431865
7,0.6053648631040814,0.014635136895918555,0.10536486310408144,0.4895023473756455,0.2065742008739329,0.0,True,-0.03404647722019707,0.06112706693370151,-0.007726474103440108,965.9535227798029,2950.19838671802,21.222541338674034,0.099227352589656,0.3033302659102848,0.2866431327964431,1.703699796515802,0.1049685598496239,0.3698172405431865
8,0.6141370168089227,0.005862983191077253,0.11413701680892274,0.48849308385003826,0.21369913042669833,0.0,True,-0.021416391108155363,-0.01760667752441148,0.02661545927766744,978.5836088918446,2950.19838671802,19.64786644951177,0.10266154592776676,0.3033302659102848,0.2866431327964431,1.703699796515802,0.1049685598496239,0.3698172405431865
9,0.6107843750152269,0.00921562498477313,0.11078437501522687,0.48859568883027177,0.20800854435784485,0.0,True,0.018272203218203917,0.02063663057979942,0.021541050150394137,1018.2722032182039,2950.19838671802,20.412732611595988,0.10215410501503941,0.3033302659102848,0.2866431327964431,1.703699796515802,0.1049685598496239,0.3698172405431865
10,0.6277072825634081,0.0077072825634081354,0.12770728256340813,0.49086508087646197,0.22342452891199974,0.0,True,0.10708238004352306,-0.02032075081923078,-0.025612136453576868,1107.082380043523,2950.19838671802,19.593584983615383,0.09743878635464231,0.3033302659102848,0.2866431327964431,1.703699796515802,0.1049685598496239,0.3698172405431865
11,0.602387007949241,0.017612992050758947,0.10238700794924105,0.4889284255528043,0.20076331821940047,0.0,True,-0.04068863641239389,0.030798971128774784,0.056448614636044586,959.3113635876061,2950.19838671802,20.615979422575496,0.10564486146360447,0.3033302659102848,0.2866431327964431,1.703699796515802,0.1049685598496239,0.3698172405431865
12,0.6275875869209353,0.0075875869209353075,0.1275875869209353,0.4895662907564603,0.2293159154465325,0.0,True,-0.005697372882743754,-0.0420078238481264,-0.04122406078456198,994.3026271172563,2950.19838671802,19.159843523037473,0.09587759392154381,0.3033302659102848,0.2866431327964431,1.703699796515802,0.1049685598496239,0.3698172405431865
13,0.6082043001927171,0.0117956998072829,0.1082043001927171,0.48856657840179163,0.20439478788879595,0.0,True,0.03252963939123506,0.03716270856017211,0.02715771341525975,1032.5296393912352,2950.19838671802,20.74325417120344,0.10271577134152599,0.3033302659102848,0.2866431327964431,1.703699796515802,0.1049685598496239,0.3698172405431865
14,0.6115955715243282,0.008404428475671799,0.1115955715243282,0.4884998055405907,0.21054914506347477,0.0,True,-0.03327548536443472,0.01160806615333599,0.005834290457036411,966.7245146355654,2950.19838671802,20.23216132306672,0.10058342904570364,0.3033302659102848,0.2866431327964431,1.703699796515802,0.1049685598496239,0.3698172405431865
15,0.6072422984099483,0.01275770159005174,0.10724229840994826,0.48873132456123464,0.20660212570841138,0.0,True,0.010934429836450647,0.0435714388974095,0.011179777438734113,1010.9344298364507,2950.19838671802,20.87142877794819,0.10111797774387342,0.3033302659102848,0.2866431327964431,1.703699796515802,0.1049685598496239,0.3698172405431865
