sample_index,y_achieved,error,extra_reach,max_xr,max_xb,constraint_violation,feasible,noise_Kb,noise_Mb,noise_hb,param_Kb,param_Kr,param_Mb,param_hb,param_hr,param_f0,param_f1,param_A,param_x_r_start
0,0.6359748589863609,0.004025141013639155,0.13597485898636086,0.49493339453029483,0.23446618991004833,0.0,True,0.006094341595088627,-0.020799682124809912,0.015009023916129145,1006.0943415950887,3144.936955566098,19.584006357503803,0.10150090239161291,0.3044142373395884,0.3249399104662066,1.5263647030855385,0.1129304523413652,0.3672426049036467
1,0.647169572241122,0.007169572241122024,0.14716957224112204,0.4956821621214917,0.24513277722997084,0.0,True,0.018811294327824277,-0.03902070377307673,-0.026043590137246362,1018.8112943278243,3144.936955566098,19.219585924538464,0.09739564098627537,0.3044142373395884,0.3249399104662066,1.5263647030855385,0.1129304523413652,0.3672426049036467
2,0.6360827827169464,0.003917217283053609,0.1360827827169464,0.4946884321633873,0.23440425086882216,0.0,True,0.0025568080633457074,-0.006324851846871644,-0.0003360231500857759,1002.5568080633458,3144.936955566098,19.873502963062567,0.09996639768499144,0.3044142373395884,0.3249399104662066,1.5263647030855385,0.1129304523413652,0.3672426049036467
3,0.6280333465142706,0.01196665348572945,0.12803334651427056,0.4940182692950052,0.22722966828950986,0.0,True,-0.017060878551471603,0.017587959497256573,0.015555838708578967,982.9391214485283,3144.936955566098,20.35175918994513,0.1015555838708579,0.3044142373395884,0.3249399104662066,1.5263647030855385,0.1129304523413652,0.3672426049036467
4,0.6296013994654057,0.010398600534594293,0.12960139946540572,0.49424426300097235,0.22695702894834469,0.0,True,0.0013206139512243209,0.022544824139360656,0.009350186845040912,1001.3206139512243,3144.936955566098,20.450896482787215,0.10093501868450411,0.3044142373395884,0.3249399104662066,1.5263647030855385,0.1129304523413652,0.3672426049036467
5,0.6353398892642754,0.0046601107357245874,0.13533988926427543,0.4943542069211077,0.23545528547710423,0.0,True,-0.017185849257664764,0.007375015681649977,-0.019177652016579977,982.8141507423353,3144.936955566098,20.147500313632996,0.09808223479834201,0.3044142373395884,0.3249399104662066,1.5263647030855385,0.1129304523413652,0.3672426049036467
6,0.6356948676155934,0.0043051323844066625,0.13569486761559335,0.4949218979444832,0.2345112074193049,0.0,True,0.017569006026145452,-0.000998518219725058,-0.0036972472709052113,1017.5690060261455,3144.936955566098,19.980029635605497,0.09963027527290948,0.3044142373395884,0.3249399104662066,1.5263647030855385,0.1129304523413652,0.3672426049036467
7,0.6295200109657432,0.010479989034256842,0.12952001096574317,0.49407764509577357,0.2295463679523184,0.0,True,-0.013618590888078827,0.024450826773480604,-0.0030905896413760433,986.3814091119211,3144.936955566098,20.489016535469613,0.0996909410358624,0.3044142373395884,0.3249399104662066,1.5263647030855385,0.1129304523413652,0.3672426049036467
8,0.6343312622945505,0.005668737705449511,0.1343312622945505,0.4944797335888501,0.23137719322211742,0.0,True,-0.008566556443262145,-0.007042671009764592,0.010646183711066974,991.4334435567379,3144.936955566098,19.859146579804708,0.1010646183711067,0.3044142373395884,0.3249399104662066,1.5263647030855385,0.1129304523413652,0.3672426049036467
9,0.632609281993215,0.007390718006785035,0.13260928199321498,0.4944797230009698,0.22973309128504854,0.0,True,0.007308881287281567,0.008254652231919768,0.008616420060157655,1007.3088812872815,3144.936955566098,20.165093044638397,0.10086164200601577,0.3044142373395884,0.3249399104662066,1.5263647030855385,0.1129304523413652,0.3672426049036467
10,0.6399568171586446,4.318284135540473e-05,0.1399568171586446,0.4954579355350074,0.23649406121081792,0.0,True,0.04283295201740923,-0.008128300327692312,-0.010244854581430747,1042.8329520174093,3144.936955566098,19.837433993446155,0.09897551454185693,0.3044142373395884,0.3249399104662066,1.5263647030855385,0.1129304523413652,0.3672426049036467
11,0.6280113259584443,0.01198867404155568,0.12801132595844433,0.4940667153762786,0.22679523266553628,0.0,True,-0.016275454564957555,0.012319588451509914,0.02257944585441783,983.7245454350424,3144.936955566098,20.246391769030197,0.10225794458544178,0.3044142373395884,0.3249399104662066,1.5263647030855385,0.1129304523413652,0.3672426049036467
12,0.6399454099004585,5.459009954156269e-05,0.13994540990045845,0.4948887908324115,0.23963565821402347,0.0,True,-0.0022789491530975014,-0.01680312953925056,-0.01648962431382479,997.7210508469026,3144.936955566098,19.663937409214988,0.09835103756861752,0.3044142373395884,0.3249399104662066,1.5263647030855385,0.1129304523413652,0.3672426049036467
13,0.6313925920038709,0.008607407996129135,0.13139259200387088,0.49445053980770803,0.2282855306732255,0.0,True,0.013011855756494023,0.014865083424068845,0.0108630853661039,1013.011855756494,3144.936955566098,20.297301668481378,0.10108630853661038,0.3044142373395884,0.3249399104662066,1.5263647030855385,0.1129304523413652,0.3672426049036467
14,0.632996460668932,0.007003539331068009,0.132996460668932,0.49432367230840446,0.2315490497273614,0.0,True,-0.013310194145773887,0.0046432264613343955,0.0023337161828145647,986.6898058542262,3144.936955566098,20.092864529226688,0.10023337161828146,0.3044142373395884,0.3249399104662066,1.5263647030855385,0.1129304523413652,0.3672426049036467
15,0.6314881209901725,0.008511879009827528,0.13148812099017249,0.49436769782117757,0.22816875541209886,0.0,True,0.004373771934580259,0.017428575558963797,0.004471910975493646,1004.3737719345802,3144.936955566098,20.348571511179276,0.10044719109754936,0.3044142373395884,0.3249399104662066,1.5263647030855385,0.1129304523413652,0.3672426049036467
16,0.6341352309004992,0.005864769099500844,0.13413523090049917,0.49474164327025866,0.2321537103714738,0.0,True,0.013578271261437899,0.0013515813897778293,0.005782387973799683,1013.5782712614379,3144.936955566098,20.027031627795555,0.10057823879737998,0.3044142373395884,0.3249399104662066,1.5263647030855385,0.1129304523413652,0.3672426049036467
17,0.6417280063592672,0.0017280063592671757,0.1417280063592672,0.4953216310459054,0.23975894589666613,0.0,True,0.012625764516770808,-0.02914311639711333,-0.006393424327146027,1012.6257645167709,3144.936955566098,19.417137672057734,0.0993606575672854,0.3044142373395884,0.3249399104662066,1.5263647030855385,0.1129304523413652,0.3672426049036467
18,0.6376440939131041,0.0023559060868959536,0.13764409391310406,0.4946246705763537,0.2359084363348656,0.0,True,-0.00940745308585591,-0.012777556964866838,-0.005502845024533675,990.5925469141441,3144.936955566098,19.744448860702665,0.09944971549754664,0.3044142373395884,0.3249399104662066,1.5263647030855385,0.1129304523413652,0.3672426049036467
