region,n_samples,peak_y_rmse_mm,peak_y_mae_mm,max_abs_xr_rmse_mm,max_abs_xr_mae_mm,safety_margin_false_feasible_rate,safety_margin_unsafe_given_pred_safe_rate
high_outreach_peak_ge_0p60,175,26.786417260436114,10.798074245535808,6.712263842619543,3.117740858905056,0.0,0.0
top_reachable_peak_ge_0p65,113,14.285466608170022,9.047878839383934,7.413431447367024,3.111895637599105,0.0,0.0
