target_peak_y_m,tolerance_m,n_samples,peak_y_rmse_mm,peak_y_mae_mm,peak_y_mean_error_mm,max_abs_xr_rmse_mm,max_abs_xr_mae_mm,max_abs_xr_mean_error_mm,true_limit_accuracy,true_limit_false_feasible_rate,safety_margin_false_feasible_rate,safety_margin_unsafe_given_pred_safe_rate
0.55,0.025,111,9.193240558482659,6.88822741891047,-0.4369452452696203,4.588921905334474,3.260257993029258,0.08437363636797128,0.963963963963964,0.02702702702702703,0.0,0.0
0.6,0.025,75,29.651801542038907,10.47201266056245,4.776747888521779,5.321731630823464,3.3951321889177044,0.7589231913713582,1.0,0.0,0.0,0.0
0.65,0.025,52,30.27569090969863,11.010208586729176,2.04379637865949,5.441691954681749,3.70762135503807,0.49878653569774783,0.9807692307692307,0.0,0.0,0.0
0.7,0.025,44,17.917091165617805,10.037998193282107,0.41338037306164827,5.991188504039516,3.263921779935358,1.3397776704095086,0.9318181818181818,0.022727272727272728,0.0,0.0
0.75,0.025,25,14.641010371727145,10.247012760859263,-1.0821911553705066,9.594630927783548,4.298493799407776,-0.944095061856316,0.96,0.0,0.0,
