seed,best_epoch,best_val_loss,best_val_peak_y_loss,best_val_max_abs_xr_loss,training_time_s
42,344,0.07258044928312302,0.013731330633163452,0.011769823729991913,27.777733325958252
123,530,0.049428924918174744,0.010221624746918678,0.007841460406780243,41.12346076965332
2026,293,0.0580437146127224,0.008608867414295673,0.009886969812214375,25.92122983932495
