epoch,learning_rate,constraint_loss_weight,train_loss,train_peak_y_loss,train_max_abs_xr_loss,val_loss,val_peak_y_loss,val_max_abs_xr_loss
1,0.001,5.0,5.593583468467958,0.9358424582789021,0.9315481964618929,4.904586315155029,0.7222416996955872,0.8364689350128174
2,0.001,5.0,3.277860083887654,0.6160888460374647,0.532354248146857,2.1165783405303955,0.3313746452331543,0.35704073309898376
3,0.001,5.0,1.7675595898782053,0.2999078761185369,0.29353034304034326,1.4410557746887207,0.2043992429971695,0.24733130633831024
4,0.001,5.0,1.3416962239050096,0.22235457454958268,0.2238683287174471,1.1848868131637573,0.18313418328762054,0.20035052299499512
5,0.001,5.0,1.1018588466029013,0.20163796601756925,0.18004417779945558,1.037203311920166,0.16805940866470337,0.17382876574993134
6,0.001,5.0,0.9388076778381101,0.18627595877455128,0.150506344774077,0.8804482221603394,0.15862751007080078,0.1443641483783722
7,0.001,5.0,0.8176738110280806,0.1809297300154163,0.12734881572185025,0.795490562915802,0.14900165796279907,0.12929777801036835
8,0.001,5.0,0.7191067962877212,0.16997689633600174,0.1098259785963643,0.7151996493339539,0.13899238407611847,0.11524146050214767
9,0.001,5.0,0.6231953045052867,0.1570552213778419,0.09322801664952308,0.6219069957733154,0.1337943971157074,0.09762251377105713
10,0.001,5.0,0.5512308228400445,0.14960352331399918,0.08032546168373476,0.6009691953659058,0.12566378712654114,0.09506108611822128
11,0.001,5.0,0.5032613421640089,0.1417714145875746,0.07229798581571348,0.5479055643081665,0.11864206194877625,0.08585269749164581
12,0.001,5.0,0.4538730623260621,0.13339127912636725,0.06409635623135874,0.48898690938949585,0.10876285284757614,0.07604481279850006
13,0.001,5.0,0.4209635858574221,0.12781292031849584,0.05863013352838255,0.4418867230415344,0.10307886451482773,0.06776157021522522
14,0.001,5.0,0.3792184918157516,0.11996731017866442,0.05185023623128091,0.44954562187194824,0.10087977349758148,0.069733165204525
15,0.001,5.0,0.370890601508079,0.1196686428400778,0.050244391925873294,0.39256712794303894,0.09716266393661499,0.05908089131116867
16,0.001,5.0,0.3305318985254534,0.1090381411054442,0.04429875139988238,0.38084474205970764,0.09520649909973145,0.05712765082716942
17,0.001,5.0,0.3308486097281979,0.10445397647638474,0.045278926229765336,0.3963637053966522,0.08767066150903702,0.06173861026763916
18,0.001,5.0,0.29676199872647563,0.0956112836157122,0.040230143394681714,0.3370774984359741,0.08256986737251282,0.05090152472257614
19,0.001,5.0,0.2820686991176298,0.09192336843379083,0.03802906619685312,0.35160642862319946,0.08168085664510727,0.0539851151406765
20,0.001,5.0,0.2695935873254653,0.08818468751926575,0.03628178009943616,0.301948219537735,0.07645869255065918,0.04509790614247322
21,0.001,5.0,0.24685103278006276,0.08271887706172082,0.03282643139602676,0.286677747964859,0.07041802257299423,0.043251942843198776
22,0.001,5.0,0.23553328648690255,0.07801764398332565,0.031503128698996956,0.2834717929363251,0.06813988834619522,0.04306638240814209
23,0.001,5.0,0.23422219436014852,0.07560434745204064,0.03172356929750212,0.2832391560077667,0.06479024142026901,0.0436897836625576
24,0.001,5.0,0.21729296638119605,0.06988699421767265,0.029481194402662017,0.26604336500167847,0.061988893896341324,0.04081089422106743
25,0.001,5.0,0.2109939335815368,0.06618844261092524,0.028961098362361232,0.2592729926109314,0.05780096352100372,0.04029440879821777
26,0.001,5.0,0.20385686548486834,0.0645511579369345,0.02786114144950144,0.2457750141620636,0.05435812100768089,0.03828337788581848
27,0.001,5.0,0.19254634168840223,0.061370027401754935,0.026235262773210002,0.2561558485031128,0.05376529321074486,0.04047811031341553
28,0.001,5.0,0.18128524384190958,0.05685354865366413,0.02488633894151257,0.23212872445583344,0.050965696573257446,0.0362326055765152
29,0.001,5.0,0.17422788109510176,0.05342504940927029,0.024160566469354015,0.22765320539474487,0.04873976483941078,0.03578268736600876
30,0.001,5.0,0.17246087977001745,0.05442893457028174,0.023606389069989804,0.22860455513000488,0.04871444031596184,0.03597802296280861
31,0.001,5.0,0.16163624078035355,0.050366705523863915,0.02225390725558804,0.22011901438236237,0.045214101672172546,0.034980982542037964
32,0.001,5.0,0.16166314698996082,0.04899983029932745,0.022532663518382658,0.21898037195205688,0.0438639335334301,0.0350232869386673
33,0.001,5.0,0.16581340975338413,0.048673377702793764,0.02342800585733306,0.21416610479354858,0.04253273829817772,0.03432667255401611
34,0.001,5.0,0.1534410426693578,0.046405911445617676,0.021407025896253123,0.20813052356243134,0.04324837401509285,0.0329764299094677
35,0.001,5.0,0.14638778711518935,0.044196508404227994,0.020438255952490915,0.21915733814239502,0.04180579632520676,0.03547030687332153
36,0.001,5.0,0.14312417901331378,0.04487701439328732,0.019649432942030892,0.21089805662631989,0.04142377898097038,0.0338948555290699
37,0.001,5.0,0.1468237292382025,0.04285300997716765,0.020794143750061913,0.23326703906059265,0.039280615746974945,0.0387972854077816
38,0.001,5.0,0.14198376454653278,0.04236396275941403,0.019923960519654137,0.21134838461875916,0.04212283343076706,0.03384510800242424
39,0.001,5.0,0.14195657425349759,0.04003557953382692,0.020384199256377834,0.21378956735134125,0.03784625604748726,0.03518866375088692
40,0.001,5.0,0.12900918025162914,0.03812325205053053,0.01817718592862929,0.19997665286064148,0.03581986576318741,0.03283135965466499
41,0.001,5.0,0.12384397824925761,0.03726456758956755,0.0173158822581172,0.1928967535495758,0.035522282123565674,0.031474895775318146
