Kb,Kr,Mb,hb,hr,f0,f1,A,x_r_start,peak_y,max_xr,max_xb,extra_reach,constraint_violation,feasible
625.2223536957263,3872.628902707695,26.897287404452957,0.21558156281893015,0.4492384329346203,0.36931727873600245,7.552268292506906,0.09802755415209913,0.3542590122719203,0.4771882745194453,0.46112269088263735,0.07690260748913495,-0.022811725480554712,0.0,True
1181.577075114822,1812.8458164757337,21.541426238962593,0.18181757584039027,0.5787251829628188,0.10068316991324719,1.6382952092839362,0.11077826667336636,0.40713840459056966,0.5833485496154015,0.5247167037822984,0.1101364067635097,0.0833485496154015,0.0247167037822984,False
777.040612409966,4283.334128667082,61.8268955531314,0.24548340960067594,0.4494757738610258,0.17789388695586156,2.4238548170440004,0.10123432972874578,0.39517644333855545,0.5080115897163553,0.5130297625507483,0.03361257017404722,0.008011589716355294,0.01302976255074828,False
270.99022967027173,2540.9331488935095,57.263106309799255,0.06400828774274525,0.7744973584121172,0.35010091785351877,2.0014685539924164,0.10363211616286329,0.408486106735485,0.505862928197311,0.511202586454105,0.0525959335266374,0.005862928197311046,0.01120258645410499,False
1108.8420695127716,1058.3032511461015,37.81451967365269,0.23024729579159697,0.48322497961768185,0.464768771357716,3.6031673276012963,0.03838057663592533,0.3568413184181912,0.40659862273627234,0.3984501441320938,0.02142756923257721,-0.09340137726372766,0.0,True
359.48108042062444,2632.9674324272223,70.93386068274376,0.2232503298158205,0.1369360906129507,0.1523462696773492,3.9425985312328167,0.1192798568500818,0.3832309466126092,0.7328321377946057,0.7828212629692239,0.050060097925490044,0.23283213779460565,0.28282126296922394,False
1169.1968888411743,4135.038577764613,42.3107714178442,0.120838350874859,0.6014568706307961,0.3236425200249534,4.816751796373939,0.08585585353555482,0.36852169554568365,0.47878549296355294,0.4555183508533295,0.06814388081769966,-0.02121450703644706,0.0,True
1161.5937917469098,4231.858652500061,40.519221764922804,0.15875306492118318,0.49983175455924467,0.056312124480272584,4.109976358719421,0.0380781461368614,0.435474044242801,0.4839210782199057,0.47587317025086684,0.026853470314697626,-0.01607892178009429,0.0,True
249.51398631400554,1839.6977096325847,78.63253772643534,0.09755116161687968,0.5649364493100945,0.48588262720085307,1.4849955938784802,0.04474637390402749,0.40344970549833414,0.44485903010136485,0.4499372564768671,0.008587411404413577,-0.05514096989863515,0.0,True
530.6704647208978,592.0754540670532,66.92785041868194,0.06316956389032176,0.7507057122432383,0.3083111429309937,2.4163839389744295,0.09826960042699832,0.3578831235474695,0.4656599368801811,0.4534942107479168,0.0645585723687566,-0.03434006311981891,0.0,True
