# Dataset Outreach - ML Compliant Base Project
# Samples: 1000
# Sampling: Latin Hypercube
# Robot maximum relative position x_r_max: 0.500000 m
# Main targets: peak_y, max_xr, max_abs_xr
# Main feasibility metric: feasible_abs based on |x_r(t)| <= x_r_max
# Additional metrics: t_peak, final_y, max_xb, extra_reach, constraint_violation_abs
# Peak y statistics:
#   Mean:   0.511017 m
#   Std:    0.063208 m
#   Min:    0.391552 m
#   Max:    0.825151 m
#   Median: 0.502102 m
# Parameter ranges:
#   Kb          : [100.000000, 1500.000000]
#   Kr          : [500.000000, 5000.000000]
#   Mb          : [10.000000, 80.000000]
#   hb          : [0.050000, 0.250000]
#   hr          : [0.100000, 0.800000]
#   f0          : [0.050000, 0.500000]
#   f1          : [1.000000, 8.000000]
#   A           : [0.030000, 0.120000]
#   x_r_start   : [0.350000, 0.450000]
#
Kb,Kr,Mb,hb,hr,f0,f1,A,x_r_start,peak_y,t_peak,final_y,max_xr,min_xr,max_abs_xr,max_xb,min_xb,max_abs_xb,extra_reach,constraint_violation,constraint_violation_abs,feasible,feasible_abs,dataset_type
493.71646153202164,2145.025047021116,12.809898145606203,0.16526052639418815,0.20353407585647865,0.42711096994176345,2.7656720220860675,0.056299254212525074,0.4052871886367324,0.521938634300843,9.027000000000001,0.3766835368304247,0.5007357730050235,0.30994210318697335,0.5007357730050235,0.10485479456239867,-0.10407620767661971,0.10485479456239867,0.021938634300842974,0.0007357730050234768,0.0007357730050234768,False,False,uniform
818.9694596869462,4377.331408890954,43.1851264507806,0.12027122697598387,0.4340240668707105,0.16635046361052772,5.072409328947506,0.057040087369168574,0.35809361827438957,0.4293034027322448,5.787,0.33180601532072407,0.42485037722565183,0.2913358006788466,0.42485037722565183,0.04330228080857119,-0.044603868907438976,0.044603868907438976,-0.07069659726775518,0.0,0.0,True,True,uniform
1294.4413163592103,704.1575102039507,54.186933858194024,0.08312909480637404,0.14342051138292358,0.17334809549540503,6.979551315520484,0.05131248251629332,0.3725533278996273,0.4926795406202562,12.165000000000001,0.37368126321651113,0.5178683135605749,0.22943522560796598,0.5178683135605749,0.04944149944995954,-0.04981925160410125,0.04981925160410125,-0.007320459379743793,0.017868313560574944,0.017868313560574944,False,False,uniform
511.53867472789784,998.8056972856959,11.142186573273028,0.16365104756881846,0.19242274318729607,0.4499033785888379,4.924406782057755,0.10618773997698518,0.3937810528640916,0.6396335584240014,5.371,0.380824168740876,0.5594167504964637,0.2281216622725398,0.5594167504964637,0.21126910799830698,-0.21220932027882577,0.21220932027882577,0.13963355842400138,0.059416750496463666,0.059416750496463666,False,False,uniform
582.8181098925304,3647.859327831983,68.29411634556644,0.1392660372010635,0.15429399365678936,0.10047529481177397,4.005098144285984,0.05976188700227561,0.4421167740198605,0.5984963877082008,47.591,0.3629384815770778,0.6218524034989934,0.2623810254709752,0.6218524034989934,0.026404008616857332,-0.02610218853967803,0.026404008616857332,0.0984963877082008,0.1218524034989934,0.1218524034989934,False,False,uniform
1406.4733298995045,1636.756347294364,16.97981703272488,0.11946350089920502,0.23780217326147352,0.30506004130888625,2.518948464111743,0.04135917680602481,0.3743335149143408,0.4865029063262219,21.847,0.37471441540676514,0.43432042148471295,0.31434652364284216,0.43432042148471295,0.08208029619770403,-0.08160774615430676,0.08208029619770403,-0.013497093673778104,0.0,0.0,True,True,uniform
355.21276846992316,2273.9867193604014,18.577875895712317,0.20308625176080947,0.2595021421013107,0.050398461466908816,7.834321179267468,0.11158760134144712,0.35054347638935185,0.49775629619627426,4.182,0.35657571185938886,0.5227153142098301,0.17836910974327788,0.5227153142098301,0.12052280177318127,-0.10804014236941091,0.12052280177318127,-0.0022437038037257384,0.022715314209830084,0.022715314209830084,False,False,uniform
922.1290015996176,3845.1437675599973,34.32124944195394,0.12808815856785094,0.1375872349313562,0.2862361319744444,2.4529429782753733,0.10387068737944623,0.42785914713562756,0.5819678350743414,12.434000000000001,0.511836778023101,0.6050056561880194,0.2499950181903582,0.6050056561880194,0.10841366806176539,-0.10678388877502998,0.10841366806176539,0.08196783507434136,0.10500565618801938,0.10500565618801938,False,False,uniform
248.60523569742455,1223.447272313606,28.265918808081764,0.0627437232215956,0.5288944843695634,0.3021521375683729,4.951100774933611,0.08230944916118044,0.4383335686459673,0.53580721607807,6.159,0.44813106793667523,0.5232358210207483,0.3536616430588682,0.5232358210207483,0.08686763128935478,-0.08180519541205815,0.08686763128935478,0.035807216078070025,0.023235821020748282,0.023235821020748282,False,False,uniform
1258.631058393984,4681.336908269003,41.97831189560646,0.14979545758537322,0.7369369664974571,0.37277493829223163,2.2357668593882405,0.04744548553988698,0.41474989552248964,0.47637077059249205,11.514000000000001,0.4330215819600238,0.46223765536181044,0.36726199918644425,0.46223765536181044,0.033753059925065096,-0.034076572195689527,0.034076572195689527,-0.023629229407507946,0.0,0.0,True,True,uniform
