target_index,y_target,y_gp_pred,y_gp_std,y_sim,error_gp,error_sim,error_gp_vs_sim,optimization_time,success,param_Kb,param_Kr,param_Mb,param_hb,param_hr,param_f0,param_f1,param_A,param_x_r_start
0,0.520766828842603,0.5207668313910941,0.008720737606939824,0.5202893852233574,2.5484911958528755e-09,0.00047744361924551004,0.0004774461677367059,0.4649691581726074,True,2000.0,1693.2721679768238,50.0,0.2,0.5936854255754165,0.007250039614170073,5.36890270996107,0.11939097647481939,0.3768997832857639
1,0.5572778070556872,0.5572778065413873,0.00809889487262606,0.5549452700630111,5.142999359719624e-10,0.002332536992676104,0.002332536478376168,0.5595076084136963,True,2000.0,1847.401312242599,50.0,0.2,0.7925168248362577,0.007516619515070633,9.803940590389667,0.14748067321433725,0.3936605440908134
2,0.5927788869949255,0.5927788837249863,0.01298964299797141,0.604120853440541,3.2699392082946588e-09,0.01134196644561547,0.011341969715554678,1.1273725032806396,True,2000.0,609.7953998111915,50.0,0.2,0.35336061779882727,0.004082257334323912,6.5126614956296205,0.14627800895399767,0.38793473847575044
3,0.6289670318916046,0.6289699252411458,0.012318625902071311,0.6143406197046007,2.8933495411775922e-06,0.01462641218700389,0.014629305536545067,1.5110466480255127,True,2000.0,1151.8514379975306,50.0,0.2,0.2157202782352382,0.009905284216567934,9.652451373020082,0.11584905865971051,0.44351061490396815
4,0.6819659987608395,0.6819675774576499,0.011355842110186254,0.68596443231787,1.5786968103892463e-06,0.003998433557030445,0.003996854860220056,0.8964288234710693,True,2000.0,1049.5150126355184,50.0,0.2,0.6310111700644964,0.0035951984667167963,6.831159638499389,0.173493331117358,0.48481389301666056
