parameter,value,y_pred_gp
hr,0.1,0.7865939259414236
hr,0.13448275862068965,0.7405905512682459
hr,0.16896551724137931,0.7026109920973507
hr,0.20344827586206898,0.6735935872305543
hr,0.23793103448275862,0.6531084135625711
hr,0.27241379310344827,0.6396360361638944
hr,0.30689655172413793,0.631264650565764
hr,0.3413793103448276,0.6262005594703905
hr,0.3758620689655172,0.6229010077668838
hr,0.41034482758620694,0.6201315870770827
hr,0.44482758620689655,0.6171129284704677
hr,0.47931034482758617,0.6136478802605237
hr,0.5137931034482759,0.6100458807475446
hr,0.5482758620689655,0.606844492516369
hr,0.5827586206896551,0.6044890196284654
hr,0.6172413793103448,0.603107617926584
hr,0.6517241379310345,0.6024664272510735
hr,0.6862068965517241,0.6021387643089546
hr,0.7206896551724138,0.6017872763682296
hr,0.7551724137931034,0.6013264621351521
hr,0.7896551724137931,0.6008399282857045
hr,0.8241379310344827,0.6004008686271715
hr,0.8586206896551724,0.5999943357449486
hr,0.8931034482758621,0.599546548195745
hr,0.9275862068965517,0.5989577512166531
hr,0.9620689655172413,0.5980946557273552
hr,0.996551724137931,0.5967752545376372
hr,1.0310344827586206,0.5947935677029021
hr,1.0655172413793104,0.5919910935913532
hr,1.1,0.588321806048299
Mb,10.0,0.6354325412599315
Mb,13.10344827586207,0.6315779466097676
Mb,16.20689655172414,0.6279235307753968
Mb,19.310344827586206,0.6244552736593431
Mb,22.413793103448278,0.6211610523761827
Mb,25.517241379310345,0.6180336689568694
Mb,28.620689655172413,0.6150728977439124
Mb,31.724137931034484,0.6122858682805951
Mb,34.827586206896555,0.6096858472604294
Mb,37.93103448275862,0.6072901281795445
Mb,41.03448275862069,0.6051177424166385
Mb,44.13793103448276,0.6031872547586731
Mb,47.241379310344826,0.6015145485513479
Mb,50.3448275862069,0.6001104993058821
Mb,53.44827586206897,0.5989786650446478
Mb,56.55172413793103,0.5981133571424317
Mb,59.6551724137931,0.597498543510653
Mb,62.758620689655174,0.5971079496849283
Mb,65.86206896551724,0.5969065249879312
Mb,68.9655172413793,0.5968531978380242
Mb,72.06896551724138,0.5969045614256815
Mb,75.17241379310344,0.5970187678030926
Mb,78.27586206896552,0.5971585650505429
Mb,81.37931034482759,0.5972925891907817
Mb,84.48275862068965,0.5973949504652779
Mb,87.58620689655173,0.597443885420039
Mb,90.6896551724138,0.5974201831558941
Mb,93.79310344827586,0.5973058055970699
Mb,96.89655172413794,0.5970829743783546
Mb,100.0,0.5967338728449777
Kr,100.0,0.5902550482653945
Kr,268.9655172413793,0.5914127532483389
Kr,437.9310344827586,0.5925132855042439
Kr,606.8965517241379,0.5935552437722894
Kr,775.8620689655172,0.5945372569040743
Kr,944.8275862068965,0.5954579879069879
Kr,1113.7931034482758,0.5963161409243105
Kr,1282.7586206896551,0.5971104713050027
Kr,1451.7241379310344,0.5978397987138053
Kr,1620.6896551724137,0.5985030230258477
Kr,1789.655172413793,0.5990991425549328
Kr,1958.6206896551723,0.5996272740208655
Kr,2127.5862068965516,0.6000866735411678
Kr,2296.551724137931,0.6004767578822523
Kr,2465.5172413793102,0.6007971251857823
Kr,2634.4827586206893,0.6010475744195231
Kr,2803.448275862069,0.6012281228463203
Kr,2972.4137931034484,0.6013390208591568
Kr,3141.3793103448274,0.601380763564095
Kr,3310.3448275862065,0.6013540984920994
Kr,3479.310344827586,0.6012600287800034
Kr,3648.2758620689656,0.6010998110937266
Kr,3817.2413793103447,0.6008749474951379
Kr,3986.2068965517237,0.6005871704459401
Kr,4155.172413793103,0.6002384202819937
Kr,4324.137931034483,0.5998308148636949
Kr,4493.103448275862,0.5993666117636166
Kr,4662.068965517241,0.5988481642601824
Kr,4831.0344827586205,0.5982778734048413
Kr,5000.0,0.5976581392656957
A,0.1,0.5965804196559498
A,0.10344827586206898,0.6008362711934112
A,0.10689655172413794,0.6050778279954729
A,0.11034482758620691,0.6093045890990282
A,0.11379310344827587,0.6135161541952133
A,0.11724137931034484,0.6177121949579465
A,0.1206896551724138,0.6218924214830664
A,0.12413793103448277,0.6260565447469337
A,0.12758620689655173,0.630204236339997
A,0.1310344827586207,0.6343350870276121
A,0.13448275862068967,0.6384485659230459
A,0.13793103448275862,0.6425439821833905
A,0.1413793103448276,0.6466204511497164
A,0.14482758620689656,0.6506768667520628
A,0.14827586206896554,0.6547118817987743
A,0.1517241379310345,0.6587238974929134
A,0.15517241379310345,0.6627110631884864
A,0.15862068965517243,0.6666712870176459
A,0.1620689655172414,0.6706022575795104
A,0.16551724137931034,0.674501476385001
A,0.16896551724137931,0.6783663001675598
A,0.1724137931034483,0.6821939915331368
A,0.17586206896551726,0.6859817757408488
A,0.17931034482758623,0.6897269007799205
A,0.1827586206896552,0.6934266974057719
A,0.18620689655172415,0.6970786355774372
A,0.18965517241379312,0.7006803738870226
A,0.19310344827586207,0.7042297991588267
A,0.19655172413793104,0.7077250543920606
A,0.2,0.7111645544464472
Kb,100.0,0.5989419299660841
Kb,268.9655172413793,0.5994348562930267
Kb,437.9310344827586,0.5998548820271103
Kb,606.8965517241379,0.6002013910125439
Kb,775.8620689655172,0.6004739659179696
Kb,944.8275862068965,0.6006723980425768
Kb,1113.7931034482758,0.6007966952573377
Kb,1282.7586206896551,0.6008470876924898
Kb,1451.7241379310344,0.6008240308258165
Kb,1620.6896551724137,0.6007282056890318
Kb,1789.655172413793,0.6005605159888662
Kb,1958.6206896551723,0.6003220820446021
Kb,2127.5862068965516,0.600014231554974
Kb,2296.551724137931,0.5996384873370568
Kb,2465.5172413793102,0.5991965523063645
Kb,2634.4827586206893,0.5986902920917816
Kb,2803.448275862069,0.5981217157903411
Kb,2972.4137931034484,0.5974929554472912
Kb,3141.3793103448274,0.5968062449004837
Kb,3310.3448275862065,0.5960638986436578
Kb,3479.310344827586,0.5952682913301652
Kb,3648.2758620689656,0.5944218384726621
Kb,3817.2413793103447,0.5935269787960862
Kb,3986.2068965517237,0.5925861585789505
Kb,4155.172413793103,0.5916018181822841
Kb,4324.137931034483,0.5905763808424686
Kb,4493.103448275862,0.5895122436808412
Kb,4662.068965517241,0.588411770788651
Kb,4831.0344827586205,0.5872772881724208
Kb,5000.0,0.5861110803007182
