Parameter,LengthScale,Relevance
hr,3.270582460124234,0.378323614975441
Mb,5.470790457849074,0.22617180989160932
Kr,6.561189784832335,0.1885844823830363
Kb,12.19769344195883,0.10144037356547689
A,30.506651500386887,0.04055963268776906
hb,30.879085108108722,0.04007044169403034
x_r_start,57.97465379087749,0.021342750641560028
f1,545.189811332748,0.002269555581687643
f0,999.9999999999998,0.0012373385793894714
