sample_index,y_achieved,error
0,0.5949535212090318,0.0021746342141062414
1,0.5960920772759503,0.003313190281024725
2,0.5951583863518842,0.002379499356958692
3,0.5966737398718321,0.003894852876906607
4,0.6014103235177988,0.008631436522873237
5,0.5964199240862369,0.003641037091311361
6,0.5955571282564355,0.0027782412615099394
7,0.5970552950124028,0.004276408017477307
8,0.5964449212959219,0.0036660343009963237
9,0.5966515563969872,0.003872669402061657
10,0.5916918870872822,0.0010869999076433823
11,0.5945573688828023,0.0017784818878767705
12,0.6008005132428662,0.008021626247940672
13,0.5940858348376584,0.0013069478427328862
14,0.5977323019592391,0.004953414964313563
15,0.5944888266774984,0.0017099396825728252
16,0.597704816575518,0.0049259295805924586
17,0.5955726136612324,0.0027937266663068394
18,0.5953566685072902,0.002577781512364652
19,0.5934582908950646,0.0006794039001390972
20,0.5969420401154096,0.004163153120484098
21,0.5914700758396024,0.0013088111553231085
22,0.5931856132793595,0.00040672628443394476
23,0.5924165155252604,0.0003623714696651126
24,0.5962227115265556,0.0034438245316300575
25,0.5957827974133132,0.0030039104183876564
26,0.5988693665533646,0.00609047955843911
27,0.593803039748128,0.0010241527532024453
28,0.5946784510645169,0.001899564069591353
29,0.5956160059204184,0.0028371189254928764
30,0.59473487309681,0.0019559861018844105
31,0.5978162878251378,0.005037400830212313
32,0.5950904954677266,0.0023116084728010966
33,0.5979254539529452,0.005146566958019627
34,0.59673689653499,0.003958009540064422
35,0.592254678856876,0.0005242081380495422
36,0.5980206018244727,0.005241714829547162
37,0.5924237871269042,0.00035509986802129134
38,0.5948434066518962,0.0020645196569706314
39,0.5917081018262209,0.0010707851687046244
40,0.5950878919975282,0.002309005002602671
41,0.5909806145775861,0.0017982724173394304
42,0.5957173167475405,0.002938429752614935
43,0.5975348811458111,0.004755994150885567
44,0.5949081605086541,0.0021292735137286023
45,0.5975682616864373,0.00478937469151175
46,0.5970329784490978,0.004254091454172215
47,0.5984525684263703,0.005673681431444755
48,0.5958429045786863,0.0030640175837607364
49,0.5927495785310174,2.9308463908139792e-05
50,0.5957975407264449,0.0030186537315193274
51,0.5959164363517324,0.003137549356806879
52,0.5962494116114346,0.0034705246165090964
53,0.5958375764438928,0.0030586894489672556
54,0.5953746884630556,0.002595801468130099
55,0.5920892649882045,0.000689622006721069
56,0.5976078599706661,0.004828972975740586
57,0.5945967531238713,0.0018178661289457443
58,0.5941819303153739,0.0014030433204483828
59,0.5930113309553006,0.00023244396037502835
60,0.5978408170273896,0.005061930032464024
61,0.5949909272572572,0.0022120402623316826
62,0.5966413815457554,0.003862494550829876
63,0.5939677374055342,0.0011888504106086772
64,0.5969234150979892,0.004144528103063649
65,0.5964803298435399,0.0037014428486144
66,0.5966028902474159,0.0038240032524903267
67,0.592709276163648,6.961083127754453e-05
68,0.5956035083423502,0.0028246213474246717
69,0.5906210799423712,0.002157807052554306
70,0.5927459344216728,3.295257325275358e-05
71,0.5950760818709169,0.0022971948759913374
72,0.5960272299254744,0.0032483429305488754
73,0.5937533516247617,0.0009744646298361914
74,0.5989581158040231,0.006179228809097603
75,0.5967046322424853,0.003925745247559731
76,0.5946056910609715,0.0018268040660459617
77,0.5962012317577735,0.003422344762847973
78,0.597558816451031,0.004779929456105503
79,0.5953927872325104,0.0026139002375848985
80,0.5944789041744599,0.0017000171795343855
81,0.5978876453838841,0.005108758388958523
82,0.5941272662977143,0.0013483793027887492
83,0.5960702429023006,0.00329135590737506
84,0.5959941164027791,0.0032152294078535704
85,0.5936165309165193,0.0008376439215938003
86,0.5955273033905727,0.0027484163956471575
87,0.6032805686633289,0.010501681668403373
88,0.5952758778968351,0.0024969909019095793
89,0.5950229943675759,0.00224410737265035
90,0.5967849181144553,0.004006031119529796
91,0.596269345060632,0.00349045806570647
92,0.5962231590579056,0.003444272062980036
93,0.5941739639519047,0.0013950769569791577
94,0.5951826966943885,0.0024038096994629665
95,0.5932169816503556,0.00043809465543009907
96,0.5965853456427498,0.0038064586478242513
97,0.5950962694129709,0.002317382418045355
98,0.5953931806310736,0.0026142936361480684
99,0.5934790491130056,0.0007001621180801054
