kernel,train_r2,train_rmse,train_mae,test_r2,test_rmse,test_mae,log_marginal_likelihood,training_time_s
Matern_3/2,1.0,1.2900277923359762e-10,7.754712871843594e-11,0.9715644357360587,0.020568481735350887,0.01072005176455864,38.73287377039378,22.472182750701904
Matern_5/2,0.9999683240550852,0.0005448042930235234,0.00034245408809492785,0.9675558349711146,0.021970483323245284,0.011078057616065416,37.33478251587388,27.184015035629272
RBF,0.9983083276922018,0.003981382027476255,0.0026010586505910106,0.9660162519262059,0.02248572773965736,0.012260680387188964,-3.5684353625649123,26.002625703811646
Matern_1/2,1.0,7.649173496684233e-11,4.024367353250291e-11,0.939013661729487,0.030122262525585065,0.014821363729430546,-87.12079643940098,23.211718797683716
RationalQuadratic,0.944537943498015,0.022796790917155845,0.015531293738997996,0.8750568716152023,0.04311491139990396,0.02594022381712021,-220.06565817129666,3.171725273132324
