label,percentile,target,bo_best_y_sim,bo_best_error_m,bo_best_error_mm,bo_best_iteration,bo_best_Kr,bo_best_hr,bo_best_f0,bo_best_f1,bo_best_A,bo_best_x_r_start,de_y_sim,de_error_m,de_error_mm,bo_minus_de_error_mm,bo_better_than_de,n_initial,n_iter,total_evaluations,kappa,n_candidates
target1_p20,20,0.520767,0.5219875568082472,0.0012205568082471752,1.2205568082471752,18,4421.830197695784,0.43116613091167444,0.0004241603408060846,4.479736814226265,0.17297363853599396,0.31074705541599634,0.519726,0.0010409999999999586,1.0409999999999586,0.17955680824721654,False,10,40,50,0.5,3000
target2_p35,35,0.557278,0.5586688406671826,0.0013908406671825357,1.3908406671825357,50,4529.9361842733,1.061213874711247,0.003531604504501175,8.695058411395607,0.16593346341246812,0.37827606856543833,0.560575,0.0032969999999999944,3.2969999999999944,-1.9061593328174586,True,10,40,50,0.5,3000
target3_p50,50,0.592779,0.5928182680665791,3.9268066579167815e-05,0.039268066579167815,21,3482.193395963857,0.43035881226420136,0.009748381102507945,5.1851155121253685,0.11213105562341644,0.45542734978755484,0.593118,0.00033900000000008923,0.33900000000008923,-0.2997319334209214,True,10,40,50,0.5,3000
target4_p65,65,0.628967,0.6285359858026358,0.0004310141973642434,0.4310141973642434,49,2645.1890979263817,0.8300263366136715,0.001701449418719577,9.216962680520313,0.18030225197927482,0.43115419829360385,0.631119,0.0021519999999999317,2.1519999999999317,-1.7209858026356883,True,10,40,50,0.5,3000
target5_p80,80,0.681966,0.6793015005108811,0.0026644994891188434,2.6644994891188434,30,406.1972127265459,0.867457756371974,0.007647569750744249,9.658379004525155,0.19455088549920085,0.4763484517089677,0.68147,0.0004959999999999409,0.49599999999994093,2.1684994891189024,False,10,40,50,0.5,3000
