target_index,y_target,y_gp_pred,y_gp_std,y_sim,error_gp,error_sim,error_gp_vs_sim,optimization_time,success,param_Kb,param_Kr,param_Mb,param_hb,param_hr,param_f0,param_f1,param_A,param_x_r_start
0,0.531426776423333,0.5314313191207809,0.006946565602076439,0.5302455085389414,4.5426974478735005e-06,0.0011812678843916569,0.0011858105818395304,0.4779951572418213,True,2000.0,2411.278499144455,50.0,0.2,0.922651570599865,0.003065137426941395,7.753637842260406,0.17224241135601143,0.34242242397029315
1,0.560028661265753,0.5600286605750295,0.010245099398201793,0.5563998463810103,6.907234784137017e-10,0.0036288148847427593,0.003628814194019281,0.3592402935028076,True,2000.0,2964.4117426007742,50.0,0.2,1.0488424763818998,0.008175327024475657,8.24317393876149,0.15431164549622428,0.3894073722103846
2,0.6002530534704908,0.6002530531962564,0.011055633972347387,0.6010736964630633,2.742344129558205e-10,0.0008206429925724512,0.0008206432668068642,0.44371676445007324,True,2000.0,2196.0244432494696,50.0,0.2,0.8366218184961691,0.0034077824488535345,6.153277970467988,0.10297505185922363,0.48806331006212056
3,0.6345592793762443,0.6345592798155948,0.00856123610767977,0.6329187057583644,4.3935044491405506e-10,0.001640573617879948,0.0016405740572303928,0.4438786506652832,True,2000.0,4658.914869096542,50.0,0.2,0.9926242298620479,0.005367905790837437,9.824964331074382,0.15072421003306477,0.46900111310179116
4,0.6763964496126815,0.6763964478072354,0.007658944370222394,0.6784681187581564,1.8054461259353616e-09,0.0020716691454748526,0.0020716709509209785,0.5169777870178223,True,2000.0,1322.6882984017823,50.0,0.2,0.6708684075638331,0.0023150941461834956,6.032857218582711,0.16507604867691025,0.4891817662753847
