Parameter,LengthScale,Relevance
hr,12.528891236614006,0.3847892589097198
Mb,22.9104084841599,0.2104276218920488
Kr,27.53106881565992,0.17511062887449422
Kb,53.849825995629395,0.08952643178992763
A,75.89636379499903,0.06352060273821511
hb,115.05670927305935,0.041900926980761685
x_r_start,192.20454953392078,0.025082563267038407
f1,999.9999999999998,0.004820982773897187
f0,999.9999999999998,0.004820982773897187
