Feature,Importance
x_r_start,0.36369860168469514
hr,0.35752605775969315
A,0.168293401697768
Mb,0.03524223733362342
Kb,0.024951412246067877
hb,0.017292230842706282
Kr,0.0123792707167029
f0,0.011474280255004658
f1,0.009142507463738719
