run_label,target,kernel,acquisition,seed,total_evaluations,initial_points,bo_iterations,total_wall_time_s,mean_iteration_time_s,mean_simulation_time_s,mean_gp_fit_time_s,mean_acquisition_time_s,best_target_error_mm,best_peak_y_true,best_max_abs_xr_true,best_residual_margin_mm,best_feasible_abs,loaded_from_existing,kernel_label,acquisition_label,gp_alpha,alpha_label,long_total_evaluations
budget_long_PI_RBF_alpha1em08_target0650_seed2026,0.65,rbf,pi,2026,200,20,180,160.8760506999679,0.8042318070074543,0.40140770249534397,0.39325667700031774,0.009425870496779681,0.0784489717036152,0.6500784489717036,0.49352370475338486,6.476295246615138,True,False,RBF,PI,1e-08,1e-08,200
budget_long_PI_RBF_alpha1em08_target0650_seed2027,0.65,rbf,pi,2027,200,20,180,154.7144201998599,0.7735135359945707,0.39876326599274764,0.3656898915115744,0.008922690995968879,0.06964424270683445,0.6500696442427069,0.4946596249483211,5.340375051678892,True,False,RBF,PI,1e-08,1e-08,200
budget_long_PI_RBF_alpha1em08_target0750_seed2026,0.75,rbf,pi,2026,200,20,180,159.8761120000854,0.7993185165035538,0.39204927399754524,0.3975805424968712,0.00954707550117746,80.17607187911312,0.6698239281208869,0.49898892774083037,1.011072259169632,True,False,RBF,PI,1e-08,1e-08,200
budget_long_PI_RBF_alpha1em08_target0750_seed2027,0.75,rbf,pi,2027,200,20,180,147.71301100007258,0.73850659949705,0.405061276499182,0.3227617545053363,0.01054488000459969,77.27503992787032,0.6727249600721297,0.49577365140325913,4.22634859674087,True,False,RBF,PI,1e-08,1e-08,200
