constraint_loss_weight,seed,best_epoch,best_val_weighted_loss,best_val_peak_y_loss_scaled,best_val_max_abs_xr_loss_scaled,training_time_s,val_peak_y_rmse_mm,val_peak_y_mae_mm,val_max_abs_xr_rmse_mm,val_max_abs_xr_mae_mm,val_true_limit_false_feasible_rate,val_near_boundary_false_feasible_rate_true_limit,val_safety_margin_false_feasible_rate,val_safety_margin_unsafe_given_pred_safe_rate
1.0,42,364.0,0.021913008764386177,0.010698110796511173,0.011214897967875004,26.1554913520813,10.767994599664968,6.998181045500308,6.612109399512051,3.9477173812485136,0.017777777777777778,0.05405405405405406,0.006666666666666667,0.015151515151515152
1.0,123,406.0,0.01799115166068077,0.008336145430803299,0.009655007161200047,33.036460161209106,9.505261361571254,6.562871104542968,6.135060590682457,3.7552416748668715,0.02,0.060810810810810814,0.0022222222222222222,0.005128205128205128
1.0,2026,334.0,0.02325930818915367,0.009962859563529491,0.01329644862562418,27.668754816055298,10.391382876019666,6.454063109218598,7.199628509290965,3.9257728908790166,0.008888888888888889,0.02702702702702703,0.0,0.0
1.0,ensemble_mean,,,,,,8.375825785903938,5.236863557457884,5.22357366206525,2.9592754785179425,0.013333333333333334,0.04054054054054054,0.0022222222222222222,0.00510204081632653
2.0,42,253.0,0.03443396836519241,0.010982854291796684,0.01172555796802044,21.121132373809814,10.910357021873004,7.4185828156188345,6.7609714320028615,4.0525032996455295,0.013333333333333334,0.04054054054054054,0.0022222222222222222,0.005291005291005291
2.0,123,584.0,0.02798272855579853,0.008939186111092567,0.009521771222352982,39.597872495651245,9.843065629312957,6.850295119911642,6.092578743176549,3.5225194402557767,0.011111111111111112,0.033783783783783786,0.0,0.0
2.0,2026,538.0,0.026257656514644623,0.009807020425796509,0.008225318044424057,38.82771396636963,10.309790064522106,6.549440427608431,5.662635530436938,3.1632532341140016,0.011111111111111112,0.033783783783783786,0.0,0.0
2.0,ensemble_mean,,,,,,8.58662937540738,5.545548965115485,4.918874926914893,2.641960288942423,0.008888888888888889,0.02702702702702703,0.0,0.0
3.0,42,407.0,0.04340231791138649,0.012685419991612434,0.010238965973258018,32.55134177207947,11.725563349419938,7.721200866970142,6.317864501593506,3.958807395879672,0.0044444444444444444,0.013513513513513514,0.0,0.0
3.0,123,480.0,0.03596892207860947,0.007567337714135647,0.00946719478815794,37.20704174041748,9.05634333357263,6.304617406281083,6.075093600602498,3.4550940293032717,0.015555555555555555,0.04054054054054054,0.0044444444444444444,0.010256410256410256
3.0,2026,320.0,0.03783433884382248,0.008936029858887196,0.009632769972085953,26.935581922531128,9.84132431735058,6.452060091125947,6.127988193638811,3.310628016406685,0.011111111111111112,0.033783783783783786,0.0022222222222222222,0.005128205128205128
3.0,ensemble_mean,,,,,,8.306962568303335,5.306171101258915,4.945007514059884,2.6546709371020443,0.008888888888888889,0.02702702702702703,0.0,0.0
5.0,42,344.0,0.07258044928312302,0.013731330633163452,0.011769823729991913,31.930338621139526,12.199374900754197,9.023482175765242,6.773720941262763,4.078525392330569,0.011111111111111112,0.033783783783783786,0.0022222222222222222,0.00510204081632653
5.0,123,530.0,0.049428924918174744,0.010221624746918678,0.007841460406780243,40.13689303398132,10.525465424744734,7.166888329736691,5.528926875087811,3.3410616424237363,0.0044444444444444444,0.013513513513513514,0.0022222222222222222,0.005235602094240838
5.0,2026,293.0,0.0580437146127224,0.008608867414295673,0.009886969812214375,23.296876430511475,9.659492086511621,6.653760660478219,6.208316061567603,3.2032926556296957,0.0044444444444444444,0.013513513513513514,0.0,0.0
5.0,ensemble_mean,,,,,,8.647349699088132,5.760367387488712,4.989397294181134,2.634156034551191,0.0022222222222222222,0.006756756756756757,0.0,0.0
