target_peak_y_m,tolerance_m,n_samples,peak_y_rmse_mm,peak_y_mae_mm,peak_y_mean_error_mm,max_abs_xr_rmse_mm,max_abs_xr_mae_mm,max_abs_xr_mean_error_mm,true_limit_accuracy,true_limit_false_feasible_rate,safety_margin_false_feasible_rate,safety_margin_unsafe_given_pred_safe_rate
0.55,0.025,111,9.803111537836639,6.009952482968979,0.8769779332227453,3.4406975763356464,2.3124552842324295,-0.07296893288012508,0.972972972972973,0.018018018018018018,0.0,0.0
0.6,0.025,75,29.561427787804515,9.476519277542797,3.8627066872481786,4.9315256235388585,2.9024106092432165,0.8344414815731812,0.9866666666666667,0.0,0.0,0.0
0.65,0.025,52,27.80675718491795,9.618358409266586,1.4426606112363005,5.059810831525422,3.0431707096879865,-0.28881433920307,0.9615384615384616,0.019230769230769232,0.0,0.0
0.7,0.025,44,13.454438290751918,8.40221266285347,-1.2922309209044718,4.591918251248839,2.4486592028882423,0.672993378491881,0.9545454545454546,0.022727272727272728,0.0,0.0
0.75,0.025,25,13.716560481726871,9.235864645673727,-1.9519969682062,12.479211806840503,4.268356356138409,-1.5776662097750171,0.92,0.0,0.0,0.0
