epoch,train_loss,train_peak_y_loss,train_max_abs_xr_loss,val_loss,val_peak_y_loss,val_max_abs_xr_loss
1,0.7592458163990694,0.7108587657704073,0.8076328687808093,0.3736444115638733,0.3712191879749298,0.3760696053504944
2,0.3720991690369213,0.2891176640987396,0.45508064636412787,0.20747597515583038,0.24344047904014587,0.1715114265680313
3,0.2376769325312446,0.20352949333541534,0.27182437873938503,0.17966602742671967,0.21372799575328827,0.14560404419898987
4,0.19541362673044205,0.17404161481296315,0.216785636237439,0.14014483988285065,0.17529208958148956,0.10499759018421173
5,0.17294211729484446,0.15517985382500818,0.19070438470910578,0.120304174721241,0.15334035456180573,0.08726798743009567
6,0.15935697187395656,0.15158814323299072,0.16712579350261128,0.11145825684070587,0.14205127954483032,0.08086524158716202
7,0.13419286293141983,0.13177293276085572,0.1366128003334298,0.10125979781150818,0.13086701929569244,0.07165256142616272
8,0.1154330973239506,0.11926372217781403,0.11160247159354827,0.0876338928937912,0.11867047101259232,0.05659731850028038
9,0.10427262371077257,0.10810179920757518,0.10044344821396996,0.08623076230287552,0.11309205740690231,0.05936948582530022
10,0.0925277509890935,0.09596383144312046,0.08909166823415195,0.07464446872472763,0.09869176894426346,0.050597190856933594
11,0.0885916823411689,0.09436405932202059,0.08281930820906863,0.07063562422990799,0.09252674877643585,0.048744503408670425
12,0.07826650405631345,0.08252715516616316,0.0740058576578603,0.06716413050889969,0.09237153828144073,0.04195671156048775
13,0.07201830078573788,0.07756490523324293,0.06647169600953073,0.062290675938129425,0.08436036109924316,0.04022098705172539
14,0.06756961772985318,0.07265785161186666,0.06248138384783969,0.05523628368973732,0.07088755816221237,0.03958500921726227
15,0.06187610656899564,0.06567262660931139,0.058079589706133396,0.051055144518613815,0.06579922884702682,0.036311063915491104
16,0.05575515264097382,0.0572622514275067,0.05424805434749407,0.05006476491689682,0.061221733689308167,0.03890778869390488
17,0.053109150379896164,0.05530323745573268,0.05091506166054922,0.04313424602150917,0.05569475516676903,0.030573731288313866
18,0.04739548539852395,0.04891124291016775,0.04587972810601487,0.044767703860998154,0.05531187355518341,0.034223541617393494
19,0.04388729406192022,0.04641229856540175,0.04136228818884667,0.03771727904677391,0.0468018613755703,0.028632689267396927
20,0.043357827645890856,0.0434452849714195,0.04327036944382331,0.039672303944826126,0.04422316327691078,0.03512144833803177
