method,n_runs,n_targets,feasibility_rate_percent,mean_target_error_mm,median_target_error_mm,std_target_error_mm,max_target_error_mm,mean_peak_y_true,mean_max_abs_xr_true,max_max_abs_xr_true,mean_residual_margin_mm,min_residual_margin_mm,mean_best_iteration,mean_optimization_time_s,total_optimization_time_s,total_true_simulator_calls
BO,10,5,100.0,22.18626038972653,0.3082334544364795,32.514528259788555,80.17607187911312,0.627936484091361,0.4918879672889084,0.4998498234713299,8.112032711091604,0.1501765286701095,129.0,168.0021650800016,1680.0216508000158,2000
RandomSearch,10,5,100.0,31.852676361403912,4.203742522044696,42.339337382442544,106.13935980405633,0.6190877124459367,0.49006174088640747,0.4998720861332122,9.938259113592522,0.1279138667877322,100.1,85.372022630414,853.7202263041399,2000
